in s,C1 in V,C4 in V
-9.64000E-08,-3.41797E-01,-3.98242E-02
-9.62000E-08,-3.41797E-01,-4.47070E-02
-9.60000E-08,-2.44141E-01,-3.98242E-02
-9.58000E-08,-1.46484E-01,-3.49414E-02
-9.56000E-08,-1.46484E-01,-3.49414E-02
-9.54000E-08,-2.44141E-01,-3.00586E-02
-9.52000E-08,-2.44141E-01,-2.51758E-02
-9.50000E-08,-1.46484E-01,-3.00586E-02
-9.48000E-08,-1.46484E-01,-3.49414E-02
-9.46000E-08,-3.41797E-01,-3.49414E-02
-9.44000E-08,-5.37109E-01,-3.00586E-02
-9.42000E-08,-6.34766E-01,-2.51758E-02
-9.40000E-08,-4.39453E-01,-2.51758E-02
-9.38000E-08,-2.44141E-01,-2.02930E-02
-9.36000E-08,-1.46484E-01,-2.02930E-02
-9.34000E-08,-1.46484E-01,-2.51758E-02
-9.32000E-08,-1.46484E-01,-3.00586E-02
-9.30000E-08,-4.88281E-02,-3.49414E-02
-9.28000E-08,-1.46484E-01,-3.49414E-02
-9.26000E-08,-4.39453E-01,-3.00586E-02
-9.24000E-08,-6.34766E-01,-2.51758E-02
-9.22000E-08,-5.37109E-01,-2.51758E-02
-9.20000E-08,-3.41797E-01,-3.00586E-02
-9.18000E-08,-2.44141E-01,-4.47070E-02
-9.16000E-08,-1.46484E-01,-5.93555E-02
-9.14000E-08,-4.88281E-02,-5.93555E-02
-9.12000E-08,-4.88281E-02,-4.47070E-02
-9.10000E-08,-2.44141E-01,-3.00586E-02
-9.08000E-08,-4.39453E-01,-3.49414E-02
-9.06000E-08,-3.41797E-01,-4.47070E-02
-9.04000E-08,-2.44141E-01,-4.95898E-02
-9.02000E-08,-3.41797E-01,-3.98242E-02
-9.00000E-08,-3.41797E-01,-3.00586E-02
-8.98000E-08,-1.46484E-01,-3.00586E-02
-8.96000E-08,-4.88281E-02,-3.00586E-02
-8.94000E-08,-2.44141E-01,-2.02930E-02
-8.92000E-08,-4.39453E-01,-1.54102E-02
-8.90000E-08,-3.41797E-01,-2.51758E-02
-8.88000E-08,-4.88281E-02,-3.98242E-02
-8.86000E-08,-4.88281E-02,-4.47070E-02
-8.84000E-08,-3.41797E-01,-3.98242E-02
-8.82000E-08,-4.39453E-01,-3.98242E-02
-8.80000E-08,-1.46484E-01,-4.47070E-02
-8.78000E-08,2.44141E-01,-4.47070E-02
-8.76000E-08,2.44141E-01,-4.47070E-02
-8.74000E-08,-4.88281E-02,-4.47070E-02
-8.72000E-08,-3.41797E-01,-4.47070E-02
-8.70000E-08,-4.39453E-01,-3.49414E-02
-8.68000E-08,-2.44141E-01,-3.00586E-02
-8.66000E-08,-1.46484E-01,-3.49414E-02
-8.64000E-08,-1.46484E-01,-4.47070E-02
-8.62000E-08,-2.44141E-01,-5.44727E-02
-8.60000E-08,-1.46484E-01,-5.93555E-02
-8.58000E-08,-4.88281E-02,-5.44727E-02
-8.56000E-08,-2.44141E-01,-4.47070E-02
-8.54000E-08,-5.37109E-01,-3.00586E-02
-8.52000E-08,-6.34766E-01,-2.51758E-02
-8.50000E-08,-5.37109E-01,-3.00586E-02
-8.48000E-08,-3.41797E-01,-3.98242E-02
-8.46000E-08,-3.41797E-01,-3.98242E-02
-8.44000E-08,-3.41797E-01,-3.00586E-02
-8.42000E-08,-2.44141E-01,-2.51758E-02
-8.40000E-08,-1.46484E-01,-2.51758E-02
-8.38000E-08,-2.44141E-01,-3.00586E-02
-8.36000E-08,-3.41797E-01,-3.98242E-02
-8.34000E-08,-2.44141E-01,-4.95898E-02
-8.32000E-08,-4.88281E-02,-5.44727E-02
-8.30000E-08,-4.88281E-02,-4.95898E-02
-8.28000E-08,-4.88281E-02,-3.98242E-02
-8.26000E-08,4.88281E-02,-3.49414E-02
-8.24000E-08,4.88281E-02,-3.00586E-02
-8.22000E-08,-4.88281E-02,-3.00586E-02
-8.20000E-08,-1.46484E-01,-2.51758E-02
-8.18000E-08,-1.46484E-01,-2.51758E-02
-8.16000E-08,-2.44141E-01,-2.51758E-02
-8.14000E-08,-5.37109E-01,-2.51758E-02
-8.12000E-08,-6.34766E-01,-2.51758E-02
-8.10000E-08,-3.41797E-01,-3.00586E-02
-8.08000E-08,4.88281E-02,-3.98242E-02
-8.06000E-08,4.88281E-02,-5.44727E-02
-8.04000E-08,-1.46484E-01,-5.44727E-02
-8.02000E-08,-1.46484E-01,-4.47070E-02
-8.00000E-08,-4.88281E-02,-3.49414E-02
-7.98000E-08,-1.46484E-01,-3.98242E-02
-7.96000E-08,-3.41797E-01,-4.47070E-02
-7.94000E-08,-2.44141E-01,-3.98242E-02
-7.92000E-08,-4.88281E-02,-3.49414E-02
-7.90000E-08,-1.46484E-01,-3.98242E-02
-7.88000E-08,-3.41797E-01,-3.98242E-02
-7.86000E-08,-3.41797E-01,-3.49414E-02
-7.84000E-08,-1.46484E-01,-2.51758E-02
-7.82000E-08,4.88281E-02,-3.00586E-02
-7.80000E-08,-4.88281E-02,-3.98242E-02
-7.78000E-08,-3.41797E-01,-3.98242E-02
-7.76000E-08,-6.34766E-01,-3.49414E-02
-7.74000E-08,-6.34766E-01,-3.00586E-02
-7.72000E-08,-4.39453E-01,-2.51758E-02
-7.70000E-08,-2.44141E-01,-2.51758E-02
-7.68000E-08,-4.88281E-02,-3.00586E-02
-7.66000E-08,-4.88281E-02,-3.98242E-02
-7.64000E-08,-1.46484E-01,-4.47070E-02
-7.62000E-08,-1.46484E-01,-3.98242E-02
-7.60000E-08,-4.88281E-02,-3.49414E-02
-7.58000E-08,1.46484E-01,-3.49414E-02
