range of distance,number in the range
"(425.7923655269043,427.66267652251133)",394.0
"(468.8095184258669,470.679829421474)",165.0
"(4826.6341381903385,4828.504449185946)",3.0
"(5664.533464222306,5666.403775217913)",13.0
"(5703.809995130055,5705.680306125661)",1.0
"(5804.806788892836,5806.677099888443)",20.0
"(6083.48312723829,6085.353438233897)",6.0
"(10018.617461995564,10020.487772991171)",4.0
"(10398.290594103799,10400.160905099407)",3.0
"(10437.567125011548,10439.437436007154)",9.0
"(10817.240257119784,10819.11056811539)",13.0
"(64846.78429821681,64848.65460921242)",1.0
"(65435.93226183303,65437.802572828645)",1.0
"(66026.95053644487,66028.82084744048)",1.0
"(66619.83912205232,66621.70943304793)",1.0
"(67377.31507527317,67379.18538626879)",1.0
"(68533.16727055835,68535.03758155396)",1.0
"(71680.90067616505,71682.77098716065)",1.0
"(76362.28909816954,76364.15940916515)",1.0
"(79515.63343676306,79517.50374775867)",1.0
"(84614.10121078794,84615.97152178355)",1.0
"(87761.83461639463,87763.70492739024)",1.0
"(96178.23409662645,96180.10440762206)",1.0
"(98070.98882418081,98072.8591351764)",1.0
"(98162.63406296555,98164.50437396116)",1.0
"(98349.66516252626,98351.53547352186)",1.0
"(98759.2632705642,98761.13358155981)",1.0
"(99168.86137860215,99170.73168959776)",1.0
"(99408.26118603986,99410.13149703546)",1.0
"(99580.3297976357,99582.20010863131)",1.0
"(99860.87644697676,99862.74675797237)",1.0
"(99991.79821666927,99993.66852766486)",1.0
"(100313.49170791368,100315.36201890929)",1.0
"(100403.26663570282,100405.13694669842)",1.0
"(100702.51639499994,100704.38670599555)",1.0
"(100766.10696885058,100767.97727984619)",1.0
"(101125.20668000715,101127.07699100276)",1.0
"(101218.7222297875,101220.59254078311)",1.0
"(101398.27208536578,101400.14239636138)",1.0
"(101547.89696501434,101549.76727600995)",1.0
"(101632.06095981666,101633.93127081227)",1.0
"(101751.76086353551,101753.63117453112)",1.0
"(101972.45756101715,101974.32787201276)",1.0
"(102105.24964170525,102107.11995270086)",1.0
"(102397.01815701995,102398.88846801556)",1.0
"(102462.4790418662,102464.34935286181)",1.0
"(102720.58195925997,102722.45227025558)",1.0
"(102817.83813103155,102819.70844202716)",1.0
"(102967.4630106801,102969.33332167572)",1.0
"(103092.77384738579,103094.64415838139)",1.0
"(103190.03001915735,103191.90033015296)",1.0
"(103464.96573551159,103466.8360465072)",1.0
"(103650.1265240767,103651.99683507229)",1.0
"(103837.1576236374,103839.027934633)",1.0
"(104110.22302899603,104112.09333999164)",1.0
"(104211.21982275881,104213.09013375442)",1.0
"(104471.19305114819,104473.0633621438)",1.0
"(104587.15233287583,104589.02264387145)",1.0
"(104686.278815643,104688.14912663861)",1.0
"(104757.35063347608,104759.22094447169)",1.0
"(105064.08163675564,105065.95194775124)",1.0
"(105541.01094063543,105542.88125163104)",1.0
"(107794.73569034196,107796.60600133757)",1.0
"(108084.63389466105,108086.50420565666)",1.0
"(108125.78073656441,108127.65104756001)",1.0
"(108436.25236183518,108438.12267283078)",1.0
"(108505.45386867264,108507.32417966826)",1.0
"(108750.46460909717,108752.33492009278)",1.0
"(108956.19881861395,108958.06912960955)",1.0
"(109188.11738206922,109189.98769306483)",1.0
"(109887.61369442627,109889.48400542188)",1.0
"(112642.58179095548,112644.45210195109)",1.0
