pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
469.574,RowPad,1,A,T00-,1120.022,7239.935,-62397.886,5892.188,RowPad,1,A,X00+,1120.022,7239.935,-62866.616,5920.323
425.793,RowPad,1,A,X00+,1120.022,7239.935,-62866.616,5920.323,RowPad,1,A,X00-,1120.022,7239.935,-62537.886,5649.701
104534.875,RowPad,1,A,X00-,1120.022,7239.935,-62537.886,5649.701,ColumnPad,0,A,R01+,1120.022,7239.935,28286.158,57404.248
469.574,RowPad,0,B,T00-,3059.956,0.0,33841.728,55352.905,RowPad,0,B,X00+,3059.956,0.0,34100.458,55744.77
425.793,RowPad,0,B,X00+,3059.956,0.0,34100.458,55744.77,RowPad,0,B,X00-,3059.956,0.0,33701.728,55595.392
108570.145,RowPad,0,B,X00-,3059.956,0.0,33701.728,55595.392,ColumnPad,0,B,R00+,3059.956,0.0,35710.458,-52956.169
469.574,RowPad,2,A,T00-,3770.022,11829.869,-59747.886,10482.123,RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257
425.792,RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257,RowPad,2,A,X00-,3770.022,11829.869,-59887.886,10239.636
100242.798,RowPad,2,A,X00-,3770.022,11829.869,-59887.886,10239.636,ColumnPad,0,A,R02+,3770.022,11829.869,28566.158,57404.248
469.574,RowPad,1,B,T00-,5709.956,-4589.935,36301.728,51092.06,RowPad,1,B,X00+,5709.956,-4589.935,36560.458,51483.926
425.793,RowPad,1,B,X00+,5709.956,-4589.935,36560.458,51483.926,RowPad,1,B,X00-,5709.956,-4589.935,36161.728,51334.547
104534.875,RowPad,1,B,X00-,5709.956,-4589.935,36161.728,51334.547,ColumnPad,0,B,R01+,5709.956,-4589.935,35570.458,-53198.656
469.574,RowPad,3,A,T00-,6420.022,16419.804,-57097.886,15072.057,RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192
