range of distance,number in the range
"(139.99951803130884,10997.08738644273)",294.0
"(10997.08738644273,21854.17525485415)",8.0
"(21854.17525485415,32711.263123265573)",12.0
"(32711.263123265573,43568.35099167699)",8.0
"(43568.35099167699,54425.43886008841)",8.0
"(54425.43886008841,65282.52672849983)",28.0
"(65282.52672849983,76139.61459691127)",68.0
"(76139.61459691127,86996.70246532268)",72.0
"(86996.70246532268,97853.7903337341)",56.0
"(97853.7903337341,108710.87820214553)",56.0
