"distance  from  first pad(Gtype,GIndex,GSection,Label) to second pad(Gtype,GIndex,GSection,Label)"
"469.5736269478972, [['RowPad' '3' 'A' 'T00-']], [['RowPad' '3' 'A' 'X00+']]"
"425.79300109795344, [['RowPad' '3' 'A' 'X00+']], [['RowPad' '3' 'A' 'X00-']]"
"96036.79418950644, [['RowPad' '3' 'A' 'X00-']], [['ColumnPad' '0' 'A' 'R03+']]"
"469.57362694789623, [['RowPad' '2' 'B' 'T00-']], [['RowPad' '2' 'B' 'X00+']]"
"425.7926722995571, [['RowPad' '2' 'B' 'X00+']], [['RowPad' '2' 'B' 'X00-']]"
"100242.79870446771, [['RowPad' '2' 'B' 'X00-']], [['ColumnPad' '0' 'B' 'R02+']]"
"469.57362694789737, [['RowPad' '4' 'A' 'T00-']], [['RowPad' '4' 'A' 'X00+']]"
"425.79300109795344, [['RowPad' '4' 'A' 'X00+']], [['RowPad' '4' 'A' 'X00-']]"
"91928.6781347909, [['RowPad' '4' 'A' 'X00-']], [['ColumnPad' '0' 'A' 'R04+']]"
"469.57362694789015, [['RowPad' '3' 'B' 'T00-']], [['RowPad' '3' 'B' 'X00+']]"
"425.79267229955457, [['RowPad' '3' 'B' 'X00+']], [['RowPad' '3' 'B' 'X00-']]"
"96036.79427029914, [['RowPad' '3' 'B' 'X00-']], [['ColumnPad' '0' 'B' 'R03+']]"
"469.5735670329018, [['RowPad' '5' 'A' 'T00-']], [['RowPad' '5' 'A' 'X00+']]"
"425.79236552691225, [['RowPad' '5' 'A' 'X00+']], [['RowPad' '5' 'A' 'X00-']]"
"87932.17099350385, [['RowPad' '5' 'A' 'X00-']], [['ColumnPad' '0' 'A' 'R05+']]"
"469.57446146058595, [['RowPad' '4' 'B' 'T00-']], [['RowPad' '4' 'B' 'X00+']]"
"425.79302312390814, [['RowPad' '4' 'B' 'X00+']], [['RowPad' '4' 'B' 'X00-']]"
"91928.67791691828, [['RowPad' '4' 'B' 'X00-']], [['ColumnPad' '0' 'B' 'R04+']]"
"469.5736269478972, [['RowPad' '6' 'A' 'T00-']], [['RowPad' '6' 'A' 'X00+']]"
"425.79300109795344, [['RowPad' '6' 'A' 'X00+']], [['RowPad' '6' 'A' 'X00-']]"
"84063.192848415, [['RowPad' '6' 'A' 'X00-']], [['ColumnPad' '0' 'A' 'R06+']]"
"469.57362694789015, [['RowPad' '5' 'B' 'T00-']], [['RowPad' '5' 'B' 'X00+']]"
"425.79267229955457, [['RowPad' '5' 'B' 'X00+']], [['RowPad' '5' 'B' 'X00-']]"
"87932.17144993901, [['RowPad' '5' 'B' 'X00-']], [['ColumnPad' '0' 'B' 'R05+']]"
"469.57362694789697, [['RowPad' '7' 'A' 'T00-']], [['RowPad' '7' 'A' 'X00+']]"
