range of distance,number in the range
"(425.7923655269043,538.0110252633285)",559.0
"(4802.320095247447,4914.538754983871)",3.0
"(5587.850713402416,5700.06937313884)",13.0
"(5700.06937313884,5812.288032875264)",21.0
"(6036.725352348113,6148.944012084537)",6.0
"(9964.37844312296,10076.597102859383)",4.0
"(10301.034422332232,10413.253082068655)",3.0
"(10413.253082068655,10525.47174180508)",9.0
"(10749.909061277927,10862.127721014353)",13.0
"(64839.30305423438,64951.521713970804)",1.0
"(65400.3963529165,65512.615012652925)",1.0
"(65961.48965159862,66073.70831133505)",1.0
"(66522.58295028075,66634.80161001717)",1.0
"(67308.11356843571,67420.33222817215)",1.0
"(68430.30016579996,68542.51882553639)",1.0
"(71572.42263841984,71684.64129815626)",1.0
"(76285.60634734965,76397.82500708608)",1.0
"(79427.72881996953,79539.94747970595)",1.0
"(84589.78716784505,84702.00582758147)",1.0
"(87731.90964046492,87844.12830020134)",1.0
"(96148.30912069674,96260.52778043316)",1.0
"(98056.02633621595,98168.24499595237)",2.0
"(98280.46365568879,98392.68231542522)",1.0
"(98729.33829463448,98841.55695437091)",1.0
"(99065.99427384375,99178.21293358019)",1.0
"(99402.65025305303,99514.86891278946)",1.0
"(99514.86891278946,99627.08757252588)",1.0
"(99851.52489199872,99963.74355173516)",1.0
"(99963.74355173516,100075.96221147157)",1.0
"(100300.39953094443,100412.61819068085)",2.0
"(100637.0555101537,100749.27416989012)",1.0
"(100749.27416989012,100861.49282962654)",1.0
"(101085.9301490994,101198.14880883582)",1.0
"(101198.14880883582,101310.36746857224)",1.0
"(101310.36746857224,101422.58612830867)",1.0
"(101534.80478804509,101647.02344778151)",2.0
"(101647.02344778151,101759.24210751794)",1.0
"(101871.46076725436,101983.67942699078)",1.0
"(102095.89808672722,102208.11674646364)",1.0
"(102320.33540620006,102432.55406593648)",1.0
"(102432.55406593648,102544.77272567291)",1.0
"(102656.99138540933,102769.21004514575)",1.0
"(102769.21004514575,102881.42870488219)",1.0
"(102881.42870488219,102993.6473646186)",1.0
"(102993.6473646186,103105.86602435503)",1.0
"(103105.86602435503,103218.08468409146)",1.0
"(103442.5220035643,103554.74066330072)",1.0
"(103554.74066330072,103666.95932303715)",1.0
"(103779.17798277357,103891.39664251)",1.0
"(104003.61530224643,104115.83396198285)",1.0
"(104115.83396198285,104228.05262171927)",1.0
"(104452.48994119212,104564.70860092854)",1.0
"(104564.70860092854,104676.92726066496)",1.0
"(104676.92726066496,104789.1459204014)",2.0
"(105013.58323987424,105125.80189961067)",1.0
"(105462.45787881994,105574.67653855636)",1.0
"(107706.83107354843,107819.04973328485)",1.0
"(108043.48705275769,108155.70571249412)",2.0
"(108380.14303196696,108492.3616917034)",1.0
"(108492.3616917034,108604.58035143981)",1.0
"(108716.79901117623,108829.01767091267)",1.0
"(108941.23633064909,109053.45499038551)",1.0
"(109165.67365012193,109277.89230985836)",1.0
"(109838.98560854048,109951.20426827691)",1.0
"(112532.23344221465,112644.45210195109)",1.0
