range of distance,number in the range
"(24215.516777,24226.3860848)",3.0
"(24258.9940082,24269.863316)",3.0
"(24280.7326238,24291.6019316)",3.0
"(24345.9484706,24356.8177784)",3.0
"(24367.6870862,24378.556394)",3.0
"(24400.2950096,24411.1643174)",3.0
"(24422.033625199998,24432.902932999998)",3.0
"(24487.249472,24498.1187798)",3.0
"(24508.9880876,24519.8573954)",3.0
"(24541.596010999998,24552.465318799997)",3.0
"(24628.5504734,24639.4197812)",3.0
"(25954.606024999997,25965.4753328)",3.0
"(26030.6911796,26041.5604874)",3.0
"(26052.429795199998,26063.299102999998)",3.0
"(26085.0377186,26095.9070264)",3.0
"(26095.9070264,26106.7763342)",3.0
"(26139.3842576,26150.2535654)",3.0
"(26161.122873199998,26171.992180999998)",3.0
"(26193.7307966,26204.6001044)",3.0
"(26204.6001044,26215.4694122)",3.0
"(26215.4694122,26226.33872)",3.0
"(26258.9466434,26269.8159512)",3.0
"(26269.8159512,26280.685258999998)",6.0
"(26335.031798,26345.9011058)",3.0
"(26345.9011058,26356.7704136)",3.0
"(26356.7704136,26367.6397214)",3.0
"(26378.5090292,26389.378337)",9.0
"(26400.247644799998,26411.116952599998)",3.0
"(26465.4634916,26476.3327994)",6.0
"(26476.3327994,26487.2021072)",3.0
"(26487.2021072,26498.071415)",3.0
"(26498.071415,26508.9407228)",3.0
"(26508.9407228,26519.810030599998)",6.0
"(26595.8951852,26606.764493)",6.0
"(26628.503108599998,26639.372416399998)",3.0
"(26639.372416399998,26650.241724199997)",3.0
"(26758.934802199998,26769.804109999997)",3.0
"(26878.497187999998,26889.3664958)",6.0
"(26965.4516504,26976.320958199998)",3.0
"(26976.320958199998,26987.190265999998)",3.0
"(27019.7981894,27030.6674972)",6.0
"(27106.752651799998,27117.621959599997)",6.0
"(27248.0536532,27258.922961)",6.0
"(27291.5308844,27302.4001922)",3.0
"(27335.008115599998,27345.877423399997)",3.0
"(27345.877423399997,27356.7467312)",3.0
"(27389.3546546,27400.2239624)",9.0
"(27421.962578,27432.8318858)",3.0
"(27476.309117,27487.1784248)",9.0
"(27530.655656,27541.5249638)",6.0
"(27585.002194999997,27595.8715028)",3.0
"(27617.6101184,27628.4794262)",3.0
"(27628.4794262,27639.348734)",3.0
"(27661.0873496,27671.9566574)",3.0
"(27715.4338886,27726.3031964)",6.0
"(27758.9111198,27769.7804276)",3.0
"(27813.257658799997,27824.1269666)",3.0
"(27845.8655822,27856.73489)",3.0
"(27954.5586602,27965.427968)",3.0
"(29421.915213199998,29432.784520999998)",3.0
"(29498.0003678,29508.8696756)",3.0
"(29541.477598999998,29552.346906799998)",3.0
"(29552.346906799998,29563.216214599997)",3.0
"(29628.4320614,29639.3013692)",3.0
"(29639.3013692,29650.170677)",3.0
"(29682.778600399997,29693.6479082)",3.0
"(29715.3865238,29726.2558316)",3.0
"(29758.863755,29769.733062799998)",3.0
"(29791.471678399997,29802.3409862)",3.0
"(29834.9489096,29845.8182174)",3.0
"(29856.6875252,29867.556833)",3.0
"(29911.034064199997,29921.903372)",3.0
"(29932.7726798,29943.6419876)",3.0
"(29965.3806032,29976.249911)",3.0
"(30052.3350656,30063.2043734)",3.0
"(30476.238069799998,30487.107377599998)",3.0
"(30595.800455599998,30606.669763399997)",6.0
"(30606.669763399997,30617.5390712)",3.0
"(30715.362841399998,30726.232149199997)",6.0
"(30726.232149199997,30737.101457)",3.0
"(30769.7093804,30780.5786882)",6.0
"(30824.055919399998,30834.925227199998)",3.0
"(30845.794534999997,30856.6638428)",3.0
"(30867.5331506,30878.4024584)",3.0
"(30878.4024584,30889.2717662)",3.0
"(30889.2717662,30900.141074)",6.0
"(30900.141074,30911.0103818)",3.0
"(30921.8796896,30932.7489974)",3.0
"(30954.487612999998,30965.356920799997)",3.0
"(31008.834152,31019.7034598)",12.0
"(31063.180690999998,31074.049998799997)",3.0
"(31095.7886144,31106.6579222)",3.0
"(31106.6579222,31117.52723)",3.0
"(31128.3965378,31139.2658456)",3.0
"(31161.0044612,31171.873768999998)",3.0
"(31204.4816924,31215.3510002)",3.0
"(31215.3510002,31226.220308)",3.0
"(31226.220308,31237.0896158)",3.0
"(31237.0896158,31247.9589236)",3.0
"(31258.8282314,31269.6975392)",3.0
"(31291.436154799998,31302.305462599998)",6.0
"(31334.913386,31345.7826938)",3.0
"(31345.7826938,31356.6520016)",6.0
"(31400.129232799998,31410.998540599998)",3.0
"(31410.998540599998,31421.867848399997)",3.0
"(31421.867848399997,31432.7371562)",3.0
"(31443.606464,31454.4757718)",3.0
"(31465.3450796,31476.2143874)",3.0
"(31530.560926399998,31541.430234199997)",3.0
"(31541.430234199997,31552.299542)",3.0
"(31574.0381576,31584.9074654)",3.0
"(31639.254004399998,31650.123312199998)",3.0
"(31650.123312199998,31660.992619999997)",3.0
"(31769.685697999998,31780.555005799997)",3.0
"(31943.5946228,31954.4639306)",3.0
"(31954.4639306,31965.3332384)",3.0
"(32030.5490852,32041.418393)",3.0
"(32041.418393,32052.2877008)",3.0
"(32084.8956242,32095.764932)",3.0
"(32095.764932,32106.634239799998)",3.0
"(32171.8500866,32182.7193944)",3.0
"(32182.7193944,32193.5887022)",3.0
"(32313.151088,32324.0203958)",3.0
"(32334.889703599998,32345.759011399998)",3.0
"(32400.1055504,32410.9748582)",3.0
"(32421.844166,32432.7134738)",3.0
"(32454.452089399998,32465.321397199998)",3.0
"(32476.190704999997,32487.0600128)",3.0
"(32541.4065518,32552.2758596)",3.0
"(32563.145167399998,32574.014475199998)",3.0
"(32595.753090799997,32606.6223986)",3.0
"(32693.576860999998,32704.446168799997)",3.0
"(32737.0540922,32747.9234)",3.0
"(32769.6620156,32780.5313234)",3.0
"(32834.8778624,32845.747170200004)",3.0
"(32845.747170200004,32856.616477999996)",3.0
"(32867.4857858,32878.355093599996)",3.0
"(32910.963017,32921.8323248)",3.0
"(32943.5709404,32954.4402482)",3.0
"(32987.0481716,32997.9174794)",3.0
"(33008.7867872,33019.656095)",3.0
"(33019.656095,33030.5254028)",3.0
"(33084.8719418,33095.741249599996)",3.0
"(33117.479865199995,33128.349173)",3.0
"(33160.9570964,33171.8264042)",3.0
"(33258.7808666,33269.6501744)",3.0
"(34845.6998054,34856.5691132)",3.0
"(34932.6542678,34943.5235756)",3.0
"(34965.262191199996,34976.131498999996)",3.0
"(34987.000806799995,34997.8701146)",3.0
"(35052.2166536,35063.0859614)",3.0
"(35073.9552692,35084.824577)",6.0
"(35106.5631926,35117.4325004)",3.0
"(35150.0404238,35160.9097316)",3.0
"(35171.7790394,35182.648347199996)",3.0
"(35182.648347199996,35193.517654999996)",3.0
"(35193.517654999996,35204.386962799996)",3.0
"(35204.386962799996,35215.256270599995)",3.0
"(35226.1255784,35236.9948862)",3.0
"(35258.7335018,35269.6028096)",6.0
"(35280.4721174,35291.3414252)",3.0
"(35291.3414252,35302.210733)",3.0
"(35302.210733,35313.0800408)",3.0
"(35313.0800408,35323.9493486)",3.0
"(35345.6879642,35356.557272)",3.0
"(35367.4265798,35378.2958876)",3.0
"(35378.2958876,35389.1651954)",9.0
"(35400.0345032,35410.903811)",3.0
"(35410.903811,35421.773118799996)",3.0
"(35421.773118799996,35432.642426599996)",3.0
"(35476.1196578,35486.9889656)",3.0
"(35486.9889656,35497.8582734)",3.0
"(35497.8582734,35508.7275812)",6.0
"(35508.7275812,35519.596889)",3.0
"(35519.596889,35530.4661968)",3.0
"(35541.3355046,35552.2048124)",6.0
"(35584.8127358,35595.6820436)",3.0
"(35606.5513514,35617.4206592)",3.0
"(35628.289967,35639.1592748)",3.0
"(35650.028582599996,35660.897890399996)",6.0
"(35660.897890399996,35671.767198199996)",3.0
"(35682.636505999995,35693.5058138)",6.0
"(35715.2444294,35726.1137372)",6.0
"(35769.5909684,35780.4602762)",3.0
"(35780.4602762,35791.329584)",3.0
"(35802.1988918,35813.0681996)",6.0
"(35813.0681996,35823.9375074)",3.0
"(35823.9375074,35834.8068152)",3.0
"(35856.5454308,35867.4147386)",3.0
"(35910.891969799995,35921.7612776)",3.0
"(35921.7612776,35932.6305854)",3.0
"(35954.369201,35965.2385088)",3.0
"(36030.4543556,36041.3236634)",3.0
"(36063.062279,36073.9315868)",3.0
"(36128.278125799996,36139.147433599996)",3.0
"(36160.8860492,36171.755357)",3.0
"(36171.755357,36182.6246648)",3.0
"(36204.3632804,36215.2325882)",3.0
"(36236.9712038,36247.8405116)",3.0
"(36269.5791272,36280.448435)",3.0
"(36302.1870506,36313.0563584)",3.0
"(36345.6642818,36356.533589599996)",3.0
"(36367.402897399996,36378.272205199995)",3.0
"(36454.3573598,36465.2266676)",6.0
"(36476.0959754,36486.9652832)",3.0
"(36563.0504378,36573.9197456)",6.0
"(36584.789053399996,36595.658361199996)",6.0
"(36660.874208,36671.7435158)",3.0
"(36693.4821314,36704.3514392)",6.0
"(36769.567286,36780.4365938)",3.0
"(36791.3059016,36802.1752094)",3.0
"(36899.9989796,36910.8682874)",3.0
"(37030.4306732,37041.299981)",3.0
"(37052.169288799996,37063.038596599996)",3.0
"(37117.3851356,37128.2544434)",3.0
"(37139.1237512,37149.993059)",3.0
"(37171.7316746,37182.6009824)",3.0
"(37193.4702902,37204.339598)",3.0
"(37258.686137,37269.5554448)",3.0
"(37280.424752599996,37291.294060399996)",3.0
"(37410.8564462,37421.725754)",3.0
"(37443.4643696,37454.3336774)",3.0
"(37497.8109086,37508.6802164)",3.0
"(37519.549524199996,37530.418831999996)",3.0
"(37552.1574476,37563.0267554)",3.0
"(37573.8960632,37584.765371)",3.0
"(37639.11191,37649.9812178)",3.0
"(37660.8505256,37671.7198334)",3.0
"(37943.4525284,37954.3218362)",3.0
"(38041.2762986,38052.1456064)",3.0
"(38084.7535298,38095.6228376)",3.0
"(38106.4921454,38117.3614532)",3.0
"(38171.7079922,38182.5773)",3.0
"(38204.3159156,38215.185223399996)",6.0
"(38247.793146799995,38258.6624546)",3.0
"(38302.1396858,38313.0089936)",3.0
"(38334.7476092,38345.616917)",3.0
"(38345.616917,38356.4862248)",3.0
"(38367.3555326,38378.2248404)",3.0
"(38432.5713794,38443.440687199996)",3.0
"(38465.179302799996,38476.048610599995)",3.0
"(38497.7872262,38508.656534)",3.0
"(38595.6109964,38606.4803042)",3.0
"(39649.933853,39660.8031608)",3.0
"(39769.4962388,39780.3655466)",3.0
"(39780.3655466,39791.2348544)",6.0
"(39802.1041622,39812.97347)",3.0
"(39878.189316799995,39889.0586246)",3.0
"(39899.9279324,39910.7972402)",6.0
"(39910.7972402,39921.666548)",6.0
"(39943.4051636,39954.2744714)",6.0
"(39986.8823948,39997.7517026)",3.0
"(40008.6210104,40019.4903182)",3.0
"(40030.359626,40041.2289338)",3.0
"(40041.2289338,40052.0982416)",3.0
"(40062.9675494,40073.836857199996)",3.0
"(40073.836857199996,40084.706164999996)",6.0
"(40117.3140884,40128.1833962)",3.0
"(40139.052704,40149.9220118)",3.0
"(40182.5299352,40193.399243)",3.0
"(40193.399243,40204.2685508)",6.0
"(40204.2685508,40215.1378586)",3.0
"(40215.1378586,40226.0071664)",3.0
"(40236.8764742,40247.745782)",3.0
"(40269.4843976,40280.3537054)",3.0
"(40280.3537054,40291.2230132)",3.0
"(40312.961628799996,40323.830936599996)",6.0
"(40323.830936599996,40334.700244399995)",3.0
"(40334.700244399995,40345.569552199995)",6.0
"(40367.3081678,40378.1774756)",6.0
"(40399.9160912,40410.785399)",6.0
"(40421.6547068,40432.5240146)",3.0
"(40443.3933224,40454.2626302)",3.0
"(40454.2626302,40465.131938)",6.0
"(40486.8705536,40497.7398614)",3.0
"(40508.6091692,40519.478477)",6.0
"(40519.478477,40530.3477848)",3.0
"(40541.217092599996,40552.086400399996)",3.0
"(40573.825015999995,40584.6943238)",3.0
"(40584.6943238,40595.5636316)",6.0
"(40617.3022472,40628.171555)",3.0
"(40639.0408628,40649.9101706)",6.0
"(40660.7794784,40671.6487862)",3.0
"(40671.6487862,40682.518094)",3.0
"(40682.518094,40693.3874018)",3.0
"(40693.3874018,40704.2567096)",3.0
"(40704.2567096,40715.1260174)",3.0
"(40725.9953252,40736.864633)",3.0
"(40747.7339408,40758.6032486)",3.0
"(40758.6032486,40769.4725564)",6.0
"(40769.4725564,40780.341864199996)",3.0
"(40780.341864199996,40791.211171999996)",3.0
"(40802.080479799995,40812.949787599995)",3.0
"(40812.949787599995,40823.8190954)",6.0
"(40834.6884032,40845.557711)",3.0
"(40878.1656344,40889.0349422)",3.0
"(40889.0349422,40899.90425)",3.0
"(40910.7735578,40921.6428656)",3.0
"(40921.6428656,40932.5121734)",3.0
"(41019.466635799996,41030.335943599996)",3.0
"(41041.205251399995,41052.0745592)",3.0
"(41117.290406,41128.1597138)",3.0
"(41128.1597138,41139.0290216)",3.0
"(41160.7676372,41171.636945)",3.0
"(41171.636945,41182.5062528)",3.0
"(41247.722099599996,41258.591407399996)",3.0
"(41269.460715199995,41280.330022999995)",3.0
"(41454.2389478,41465.1082556)",3.0
"(41552.062718,41562.9320258)",3.0
"(41584.6706414,41595.5399492)",3.0
"(41649.8864882,41660.755796)",3.0
"(41682.4944116,41693.3637194)",3.0
"(41693.3637194,41704.233027199996)",3.0
"(41758.5795662,41769.448874)",3.0
"(41780.3181818,41791.1874896)",6.0
"(41812.9261052,41823.795413)",3.0
"(41878.141952,41889.0112598)",3.0
"(41889.0112598,41899.8805676)",3.0
"(41921.6191832,41932.488491)",3.0
"(41986.83503,41997.7043378)",3.0
"(42008.5736456,42019.4429534)",3.0
"(42117.2667236,42128.1360314)",3.0
"(42139.0053392,42149.874647)",3.0
"(42171.613262599996,42182.482570399996)",3.0
"(42225.9598016,42236.8291094)",3.0
"(42258.567725,42269.4370328)",3.0
"(42280.3063406,42291.1756484)",3.0
"(42312.914264,42323.7835718)",3.0
"(42356.3914952,42367.260803)",3.0
"(42388.9994186,42399.8687264)",3.0
"(42519.4311122,42530.30042)",3.0
"(42562.9083434,42573.7776512)",3.0
"(42606.3855746,42617.2548824)",3.0
"(42638.993497999996,42649.862805799996)",3.0
"(42660.732113599996,42671.601421399995)",3.0
"(42693.340037,42704.2093448)",3.0
"(42747.686576,42758.5558838)",3.0
"(42780.2944994,42791.1638072)",3.0
"(43312.8905816,43323.7598894)",3.0
"(43410.7143518,43421.5836596)",3.0
"(43454.191583,43465.0608908)",3.0
"(43465.0608908,43475.9301986)",3.0
"(43541.1460454,43552.0153532)",3.0
"(43562.884661,43573.753968799996)",3.0
"(43584.623276599996,43595.492584399995)",3.0
"(43606.361892199995,43617.2312)",3.0
"(43671.577739,43682.4470468)",3.0
"(43704.1856624,43715.0549702)",3.0
"(43725.924278,43736.7935858)",3.0
"(43736.7935858,43747.6628936)",3.0
"(43812.878740399996,43823.748048199996)",3.0
"(43823.748048199996,43834.617355999995)",3.0
"(43867.2252794,43878.0945872)",3.0
"(43965.0490496,43975.9183574)",3.0
"(44215.043129,44225.9124368)",3.0
"(44323.736207,44334.6055148)",3.0
"(44334.6055148,44345.4748226)",3.0
"(44345.4748226,44356.3441304)",3.0
"(44432.429285,44443.2985928)",6.0
"(44454.1679006,44465.0372084)",6.0
"(44519.383747399996,44530.253055199995)",3.0
"(44551.9916708,44562.8609786)",6.0
"(44562.8609786,44573.7302864)",3.0
"(44584.5995942,44595.468902)",3.0
"(44628.0768254,44638.9461332)",3.0
"(44638.9461332,44649.815441)",6.0
"(44649.815441,44660.6847488)",3.0
"(44671.5540566,44682.4233644)",3.0
"(44693.2926722,44704.16198)",3.0
"(44704.16198,44715.0312878)",6.0
"(44715.0312878,44725.9005956)",3.0
"(44736.769903399996,44747.639211199996)",6.0
"(44758.508518999995,44769.377826799995)",3.0
"(44769.377826799995,44780.2471346)",6.0
"(44801.9857502,44812.855058)",3.0
"(44823.7243658,44834.5936736)",9.0
"(44834.5936736,44845.4629814)",3.0
"(44856.3322892,44867.201597)",3.0
"(44867.201597,44878.0709048)",3.0
"(44878.0709048,44888.9402126)",3.0
"(44932.4174438,44943.2867516)",3.0
"(44943.2867516,44954.1560594)",3.0
"(44975.894674999996,44986.763982799996)",9.0
"(45030.241214,45041.1105218)",3.0
"(45073.7184452,45084.587753)",3.0
"(45095.4570608,45106.3263686)",3.0
"(45117.1956764,45128.0649842)",3.0
"(45138.934292,45149.8035998)",3.0
"(45160.6729076,45171.5422154)",3.0
"(45215.019446599996,45225.888754399995)",3.0
"(45269.3659856,45280.2352934)",3.0
"(45280.2352934,45291.1046012)",3.0
"(45388.9283714,45399.7976792)",3.0
"(45410.666987,45421.5362948)",3.0
"(45475.882833799995,45486.7521416)",3.0
"(45508.4907572,45519.360065)",3.0
"(45519.360065,45530.2293728)",3.0
"(45595.4452196,45606.3145274)",3.0
"(45606.3145274,45617.1838352)",3.0
"(45617.1838352,45628.053143)",3.0
"(45638.9224508,45649.7917586)",3.0
"(45682.399681999996,45693.268989799995)",6.0
"(45704.138297599995,45715.0076054)",3.0
"(45715.0076054,45725.8769132)",3.0
"(45725.8769132,45736.746221)",3.0
"(45747.6155288,45758.4848366)",3.0
"(45769.3541444,45780.2234522)",3.0
"(45780.2234522,45791.09276)",3.0
"(45801.9620678,45812.8313756)",3.0
"(45812.8313756,45823.7006834)",6.0
"(45823.7006834,45834.5699912)",3.0
"(45834.5699912,45845.439299)",6.0
"(45867.1779146,45878.0472224)",3.0
"(45910.655145799996,45921.524453599995)",3.0
"(45921.524453599995,45932.393761399995)",6.0
"(45943.2630692,45954.132377)",6.0
"(45975.8709926,45986.7403004)",3.0
"(46030.2175316,46041.0868394)",3.0
"(46041.0868394,46051.9561472)",3.0
"(46051.9561472,46062.825455)",6.0
"(46106.3026862,46117.171994)",3.0
"(46138.910609599996,46149.779917399996)",9.0
"(46171.518532999995,46182.3878408)",3.0
"(46182.3878408,46193.2571486)",3.0
"(46193.2571486,46204.1264564)",3.0
"(46214.9957642,46225.865072)",3.0
"(46247.6036876,46258.4729954)",3.0
"(46269.3423032,46280.211611)",6.0
"(46280.211611,46291.0809188)",3.0
"(46356.2967656,46367.166073399996)",3.0
"(46714.983923,46725.8532308)",3.0
"(46823.677001,46834.546308799996)",3.0
"(46856.284924399995,46867.154232199995)",3.0
"(46910.6314634,46921.5007712)",3.0
"(46954.1086946,46964.9780024)",3.0
"(46964.9780024,46975.8473102)",3.0
"(47008.4552336,47019.3245414)",3.0
"(47041.063157,47051.9324648)",3.0
"(47062.801772599996,47073.671080399996)",3.0
"(47095.409695999995,47106.279003799995)",3.0
"(47138.8869272,47149.756235)",3.0
"(47149.756235,47160.6255428)",3.0
"(47193.2334662,47204.102774)",3.0
"(47247.5800052,47258.449313)",3.0
"(47258.449313,47269.3186208)",3.0
"(47280.1879286,47291.057236399996)",3.0
"(47301.926544199996,47312.795851999996)",3.0
"(47345.4037754,47356.2730832)",3.0
"(47378.0116988,47388.8810066)",6.0
"(47399.7503144,47410.6196222)",3.0
"(47443.2275456,47454.0968534)",3.0
"(47475.835469,47486.7047768)",3.0
"(47519.3127002,47530.182007999996)",3.0
"(47649.7443938,47660.6137016)",3.0
"(47693.221625,47704.0909328)",3.0
"(47725.8295484,47736.6988562)",3.0
"(47769.306779599996,47780.176087399996)",3.0
"(47791.045395199995,47801.914702999995)",3.0
"(47823.6533186,47834.5226264)",3.0
"(47867.1305498,47877.9998576)",3.0
"(47910.607781,47921.4770888)",3.0
"(48704.067250399996,48714.936558199995)",3.0
"(48791.0217128,48801.8910206)",3.0
"(48834.498944,48845.3682518)",3.0
"(48845.3682518,48856.2375596)",6.0
"(48899.7147908,48910.5840986)",3.0
"(48932.322714199996,48943.192021999996)",3.0
"(48943.192021999996,48954.061329799995)",3.0
"(48954.061329799995,48964.930637599995)",3.0
"(48964.930637599995,48975.7999454)",6.0
"(48975.7999454,48986.6692532)",3.0
"(48986.6692532,48997.538561)",6.0
"(49008.4078688,49019.2771766)",3.0
"(49030.1464844,49041.0157922)",3.0
"(49062.7544078,49073.6237156)",3.0
"(49073.6237156,49084.4930234)",3.0
"(49084.4930234,49095.3623312)",6.0
"(49095.3623312,49106.231639)",6.0
"(49117.1009468,49127.9702546)",9.0
"(49127.9702546,49138.8395624)",3.0
"(49138.8395624,49149.7088702)",3.0
"(49204.055409199995,49214.924717)",3.0
"(49214.924717,49225.7940248)",9.0
"(49225.7940248,49236.6633326)",3.0
"(49236.6633326,49247.5326404)",3.0
"(49247.5326404,49258.4019482)",3.0
"(49258.4019482,49269.271256)",6.0
"(49301.8791794,49312.7484872)",3.0
"(49323.617795,49334.4871028)",3.0
"(49345.3564106,49356.2257184)",6.0
"(49356.2257184,49367.0950262)",3.0
"(49367.0950262,49377.964334)",6.0
"(49377.964334,49388.833641799996)",3.0
"(49410.572257399996,49421.441565199995)",3.0
"(49432.310872999995,49443.1801808)",3.0
"(49454.0494886,49464.9187964)",3.0
"(49464.9187964,49475.7881042)",3.0
"(49475.7881042,49486.657412)",3.0
"(49497.5267198,49508.3960276)",3.0
"(49530.1346432,49541.003951)",3.0
"(49541.003951,49551.8732588)",6.0
"(49584.4811822,49595.35049)",3.0
"(49595.35049,49606.2197978)",3.0
"(49606.2197978,49617.0891056)",3.0
"(49638.827721199996,49649.697028999995)",6.0
"(49649.697028999995,49660.566336799995)",3.0
"(49671.435644599995,49682.3049524)",3.0
"(49682.3049524,49693.1742602)",3.0
"(49714.9128758,49725.7821836)",3.0
"(49725.7821836,49736.6514914)",6.0
"(49769.2594148,49780.1287226)",6.0
"(49780.1287226,49790.9980304)",3.0
"(49812.736646,49823.6059538)",3.0
"(49845.3445694,49856.213877199996)",3.0
"(49888.821800599995,49899.691108399995)",6.0
"(49899.691108399995,49910.5604162)",3.0
"(49921.429724,49932.2990318)",3.0
"(49986.6455708,49997.5148786)",3.0
"(50019.2534942,50030.122802)",9.0
"(50062.7307254,50073.6000332)",3.0
"(50117.077264399995,50127.946572199995)",3.0
"(50160.5544956,50171.4238034)",3.0
"(50421.4178828,50432.2871906)",3.0
"(50530.1109608,50540.9802686)",3.0
"(50551.849576399996,50562.718884199996)",3.0
"(50638.8040388,50649.6733466)",6.0
