range of distance,number in the range
"(140.0,150.8693078)",1800.0
"(270.4316936,281.3010014)",72.0
"(422.6020028,433.4713106)",2664.0
"(466.079234,476.9485418)",936.0
"(542.1643885999999,553.0336964)",36.0
"(7868.0778457999995,7878.9471536)",3.0
"(7965.901616,7976.7709238)",3.0
"(7998.5095394,8009.3788472)",3.0
"(8074.594693999999,8085.4640018)",3.0
"(8096.3333096,8107.202617399999)",3.0
"(8107.202617399999,8118.0719252)",3.0
"(8183.287772,8194.1570798)",3.0
"(8194.1570798,8205.026387599999)",3.0
"(8205.026387599999,8215.895695399999)",3.0
"(8226.7650032,8237.634311)",3.0
"(8291.98085,8302.8501578)",3.0
"(8313.7194656,8324.588773399999)",3.0
"(8335.4580812,8346.327389)",3.0
"(8400.673928,8411.5432358)",3.0
"(8422.4125436,8433.2818514)",3.0
"(8531.1056216,8541.9749294)",3.0
"(12128.8465034,12139.7158112)",3.0
"(12237.5395814,12248.4088892)",6.0
"(12248.4088892,12259.278197)",3.0
"(12357.1019672,12367.971275)",3.0
"(12367.971275,12378.8405828)",6.0
"(12433.1871218,12444.0564296)",3.0
"(12476.664353,12487.5336608)",3.0
"(12531.010892,12541.8801998)",3.0
"(12541.8801998,12552.7495076)",3.0
"(12563.6188154,12574.488123199999)",3.0
"(12650.5732778,12661.4425856)",3.0
"(12661.4425856,12672.3118934)",3.0
"(12672.3118934,12683.1812012)",3.0
"(12781.0049714,12791.8742792)",3.0
"(13183.16936,13194.0386678)",3.0
"(13280.9931302,13291.862438)",3.0
"(13324.4703614,13335.339669199999)",3.0
"(13346.208977,13357.0782848)",3.0
"(13411.4248238,13422.2941316)",3.0
"(13444.032747199999,13454.902054999999)",3.0
"(13454.902054999999,13465.7713628)",3.0
"(13476.6406706,13487.5099784)",3.0
"(13541.8565174,13552.7258252)",3.0
"(13574.4644408,13585.3337486)",3.0
"(13585.3337486,13596.2030564)",3.0
"(13607.0723642,13617.941671999999)",3.0
"(13683.157518799999,13694.0268266)",3.0
"(13694.0268266,13704.8961344)",3.0
"(13737.504057799999,13748.3733656)",3.0
"(13835.327828,13846.1971358)",3.0
"(16900.4726276,16911.3419354)",3.0
"(16943.9498588,16954.8191666)",3.0
"(16954.8191666,16965.688474399998)",3.0
"(16998.2963978,17009.1657056)",3.0
"(17030.9043212,17041.773629)",3.0
"(17052.6429368,17063.5122446)",6.0
"(17063.5122446,17074.3815524)",3.0
"(17085.250860199998,17096.120167999998)",3.0
"(17117.8587836,17128.7280914)",3.0
"(17128.7280914,17139.5973992)",3.0
"(17183.0746304,17193.9439382)",6.0
"(17193.9439382,17204.813245999998)",3.0
"(17237.4211694,17248.2904772)",6.0
"(17248.2904772,17259.159785)",3.0
"(17291.7677084,17302.6370162)",3.0
"(17302.6370162,17313.506323999998)",3.0
"(17313.506323999998,17324.375631799998)",3.0
"(17335.2449396,17346.1142474)",3.0
"(17367.852863,17378.7221708)",6.0
"(17378.7221708,17389.5914786)",3.0
"(17389.5914786,17400.4607864)",3.0
"(17422.199402,17433.068709799998)",3.0
"(17433.068709799998,17443.938017599998)",3.0
"(17476.545941,17487.4152488)",6.0
"(17487.4152488,17498.2845566)",3.0
"(17520.0231722,17530.89248)",3.0
"(17606.9776346,17617.8469424)",3.0
"(18574.3460288,18585.2153366)",3.0
"(18661.3004912,18672.169799)",3.0
"(18715.647030199998,18726.516337999998)",6.0
"(18802.6014926,18813.4708004)",6.0
"(18856.9480316,18867.8173394)",6.0
"(18943.902493999998,18954.771801799998)",6.0
"(18987.3797252,18998.249033)",3.0
"(18998.249033,19009.1183408)",3.0
"(19085.2034954,19096.0728032)",6.0
"(19128.6807266,19139.5500344)",3.0
"(19215.635189,19226.5044968)",3.0
"(21291.672978799998,21302.5422866)",3.0
"(21411.2353646,21422.1046724)",3.0
"(21422.1046724,21432.9739802)",6.0
"(21541.6670582,21552.536366)",9.0
"(21596.0135972,21606.882905)",3.0
"(21661.229444,21672.0987518)",3.0
"(21704.7066752,21715.575983)",6.0
"(21715.575983,21726.4452908)",3.0
"(21824.269061,21835.1383688)",3.0
"(21835.1383688,21846.0076766)",6.0
"(21846.0076766,21856.876984399998)",3.0
"(21867.746292199998,21878.6156)",3.0
"(21943.8314468,21954.7007546)",3.0
"(21954.7007546,21965.5700624)",3.0
"(21965.5700624,21976.439370199998)",3.0
"(21987.308677999998,21998.1779858)",3.0
"(22009.0472936,22019.9166014)",3.0
"(22052.5245248,22063.3938326)",3.0
"(22085.132448199998,22096.001755999998)",3.0
"(22106.871063799998,22117.7403716)",3.0
"(22161.2176028,22172.0869106)",3.0
"(22182.9562184,22193.8255262)",3.0
"(22215.564141799998,22226.4334496)",3.0
"(22226.4334496,22237.3027574)",3.0
"(22259.041373,22269.9106808)",3.0
"(22269.9106808,22280.7799886)",3.0
"(22291.6492964,22302.5186042)",3.0
"(22302.5186042,22313.387912)",3.0
"(22324.257219799998,22335.126527599998)",3.0
"(22345.9958354,22356.8651432)",3.0
"(22367.734451,22378.6037588)",6.0
"(22378.6037588,22389.4730666)",3.0
"(22389.4730666,22400.3423744)",3.0
"(22400.3423744,22411.2116822)",3.0
"(22443.819605599998,22454.688913399998)",3.0
"(22454.688913399998,22465.5582212)",3.0
"(22476.427529,22487.2968368)",3.0
"(22498.1661446,22509.0354524)",3.0
"(22509.0354524,22519.9047602)",3.0
"(22585.120607,22595.9899148)",3.0
"(22606.8592226,22617.7285304)",3.0
"(22715.5523006,22726.4216084)",3.0
"(23987.2613132,23998.130621)",3.0
"(24074.215775599998,24085.085083399998)",3.0
"(24117.6930068,24128.5623146)",3.0
"(24128.5623146,24139.4316224)",3.0
"(24204.647469199997,24215.516777)",3.0
