"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['ColumnPad', 7, 'A', 'R10-']","['ColumnPad', 7, 'A', 'R10+']","[-12129.978, 48549.346]"
"['ColumnPad', 7, 'A', 'R10+']","['ColumnPad', 7, 'A', 'L10-']","[-12129.978, 48549.346]"
"['ColumnPad', 7, 'A', 'L10-']","['ColumnPad', 7, 'A', 'L10+']","[-12129.978, 48549.346]"
"['ColumnPad', 7, 'A', 'R11-']","['ColumnPad', 7, 'A', 'R11+']","[-9479.978, 53139.281]"
"['ColumnPad', 7, 'A', 'R11+']","['ColumnPad', 7, 'A', 'L11-']","[-9479.978, 53139.281]"
"['ColumnPad', 7, 'A', 'L11-']","['ColumnPad', 7, 'A', 'L11+']","[-9479.978, 53139.281]"
"['ColumnPad', 6, 'A', 'R00-']","['ColumnPad', 6, 'A', 'R00+']","[-33329.978, 2650.0]"
"['ColumnPad', 6, 'A', 'R00+']","['ColumnPad', 6, 'A', 'L00-']","[-33329.978, 2650.0]"
"['ColumnPad', 6, 'A', 'L00-']","['ColumnPad', 6, 'A', 'L00+']","[-33329.978, 2650.0]"
"['ColumnPad', 6, 'A', 'R01-']","['ColumnPad', 6, 'A', 'R01+']","[-30679.978, 7239.935]"
"['ColumnPad', 6, 'A', 'R01+']","['ColumnPad', 6, 'A', 'L01-']","[-30679.978, 7239.935]"
"['ColumnPad', 6, 'A', 'L01-']","['ColumnPad', 6, 'A', 'L01+']","[-30679.978, 7239.935]"
"['ColumnPad', 6, 'A', 'R02-']","['ColumnPad', 6, 'A', 'R02+']","[-28029.978, 11829.869]"
"['ColumnPad', 6, 'A', 'R02+']","['ColumnPad', 6, 'A', 'L02-']","[-28029.978, 11829.869]"
"['ColumnPad', 6, 'A', 'L02-']","['ColumnPad', 6, 'A', 'L02+']","[-28029.978, 11829.869]"
"['ColumnPad', 6, 'A', 'R03-']","['ColumnPad', 6, 'A', 'R03+']","[-25379.978, 16419.804]"
"['ColumnPad', 6, 'A', 'R03+']","['ColumnPad', 6, 'A', 'L03-']","[-25379.978, 16419.804]"
"['ColumnPad', 6, 'A', 'L03-']","['ColumnPad', 6, 'A', 'L03+']","[-25379.978, 16419.804]"
"['ColumnPad', 6, 'A', 'R04-']","['ColumnPad', 6, 'A', 'R04+']","[-22729.978, 21009.739]"
"['ColumnPad', 6, 'A', 'R04+']","['ColumnPad', 6, 'A', 'L04-']","[-22729.978, 21009.739]"
"['ColumnPad', 6, 'A', 'L04-']","['ColumnPad', 6, 'A', 'L04+']","[-22729.978, 21009.739]"
"['ColumnPad', 6, 'A', 'R05-']","['ColumnPad', 6, 'A', 'R05+']","[-20079.978, 25599.673]"
"['ColumnPad', 6, 'A', 'R05+']","['ColumnPad', 6, 'A', 'L05-']","[-20079.978, 25599.673]"
"['ColumnPad', 6, 'A', 'L05-']","['ColumnPad', 6, 'A', 'L05+']","[-20079.978, 25599.673]"
"['ColumnPad', 6, 'A', 'R06-']","['ColumnPad', 6, 'A', 'R06+']","[-17429.978, 30189.608]"
"['ColumnPad', 6, 'A', 'R06+']","['ColumnPad', 6, 'A', 'L06-']","[-17429.978, 30189.608]"
"['ColumnPad', 6, 'A', 'L06-']","['ColumnPad', 6, 'A', 'L06+']","[-17429.978, 30189.608]"
"['ColumnPad', 6, 'A', 'R07-']","['ColumnPad', 6, 'A', 'R07+']","[-14779.978, 34779.542]"
"['ColumnPad', 6, 'A', 'R07+']","['ColumnPad', 6, 'A', 'L07-']","[-14779.978, 34779.542]"
"['ColumnPad', 6, 'A', 'L07-']","['ColumnPad', 6, 'A', 'L07+']","[-14779.978, 34779.542]"
"['ColumnPad', 6, 'A', 'R08-']","['ColumnPad', 6, 'A', 'R08+']","[-12129.978, 39369.477]"
"['ColumnPad', 6, 'A', 'R08+']","['ColumnPad', 6, 'A', 'L08-']","[-12129.978, 39369.477]"
"['ColumnPad', 6, 'A', 'L08-']","['ColumnPad', 6, 'A', 'L08+']","[-12129.978, 39369.477]"
"['ColumnPad', 6, 'A', 'R09-']","['ColumnPad', 6, 'A', 'R09+']","[-9479.978, 43959.412]"
"['ColumnPad', 6, 'A', 'R09+']","['ColumnPad', 6, 'A', 'L09-']","[-9479.978, 43959.412]"
"['ColumnPad', 6, 'A', 'L09-']","['ColumnPad', 6, 'A', 'L09+']","[-9479.978, 43959.412]"
"['ColumnPad', 6, 'A', 'R10-']","['ColumnPad', 6, 'A', 'R10+']","[-6829.978, 48549.346]"
"['ColumnPad', 6, 'A', 'R10+']","['ColumnPad', 6, 'A', 'L10-']","[-6829.978, 48549.346]"
"['ColumnPad', 6, 'A', 'L10-']","['ColumnPad', 6, 'A', 'L10+']","[-6829.978, 48549.346]"
"['ColumnPad', 6, 'A', 'R11-']","['ColumnPad', 6, 'A', 'R11+']","[-4179.978, 53139.281]"
"['ColumnPad', 6, 'A', 'R11+']","['ColumnPad', 6, 'A', 'L11-']","[-4179.978, 53139.281]"
"['ColumnPad', 6, 'A', 'L11-']","['ColumnPad', 6, 'A', 'L11+']","[-4179.978, 53139.281]"
"['ColumnPad', 5, 'A', 'R00-']","['ColumnPad', 5, 'A', 'R00+']","[-28029.978, 2650.0]"
"['ColumnPad', 5, 'A', 'R00+']","['ColumnPad', 5, 'A', 'L00-']","[-28029.978, 2650.0]"
"['ColumnPad', 5, 'A', 'L00-']","['ColumnPad', 5, 'A', 'L00+']","[-28029.978, 2650.0]"
"['ColumnPad', 5, 'A', 'R01-']","['ColumnPad', 5, 'A', 'R01+']","[-25379.978, 7239.935]"
"['ColumnPad', 5, 'A', 'R01+']","['ColumnPad', 5, 'A', 'L01-']","[-25379.978, 7239.935]"
"['ColumnPad', 5, 'A', 'L01-']","['ColumnPad', 5, 'A', 'L01+']","[-25379.978, 7239.935]"
"['ColumnPad', 5, 'A', 'R02-']","['ColumnPad', 5, 'A', 'R02+']","[-22729.978, 11829.869]"
"['ColumnPad', 5, 'A', 'R02+']","['ColumnPad', 5, 'A', 'L02-']","[-22729.978, 11829.869]"
"['ColumnPad', 5, 'A', 'L02-']","['ColumnPad', 5, 'A', 'L02+']","[-22729.978, 11829.869]"
"['ColumnPad', 5, 'A', 'R03-']","['ColumnPad', 5, 'A', 'R03+']","[-20079.978, 16419.804]"
"['ColumnPad', 5, 'A', 'R03+']","['ColumnPad', 5, 'A', 'L03-']","[-20079.978, 16419.804]"
"['ColumnPad', 5, 'A', 'L03-']","['ColumnPad', 5, 'A', 'L03+']","[-20079.978, 16419.804]"
"['ColumnPad', 5, 'A', 'R04-']","['ColumnPad', 5, 'A', 'R04+']","[-17429.978, 21009.739]"
"['ColumnPad', 5, 'A', 'R04+']","['ColumnPad', 5, 'A', 'L04-']","[-17429.978, 21009.739]"
"['ColumnPad', 5, 'A', 'L04-']","['ColumnPad', 5, 'A', 'L04+']","[-17429.978, 21009.739]"
"['ColumnPad', 5, 'A', 'R05-']","['ColumnPad', 5, 'A', 'R05+']","[-14779.978, 25599.673]"
"['ColumnPad', 5, 'A', 'R05+']","['ColumnPad', 5, 'A', 'L05-']","[-14779.978, 25599.673]"
"['ColumnPad', 5, 'A', 'L05-']","['ColumnPad', 5, 'A', 'L05+']","[-14779.978, 25599.673]"
"['ColumnPad', 5, 'A', 'R06-']","['ColumnPad', 5, 'A', 'R06+']","[-12129.978, 30189.608]"
"['ColumnPad', 5, 'A', 'R06+']","['ColumnPad', 5, 'A', 'L06-']","[-12129.978, 30189.608]"
"['ColumnPad', 5, 'A', 'L06-']","['ColumnPad', 5, 'A', 'L06+']","[-12129.978, 30189.608]"
"['ColumnPad', 5, 'A', 'R07-']","['ColumnPad', 5, 'A', 'R07+']","[-9479.978, 34779.542]"
"['ColumnPad', 5, 'A', 'R07+']","['ColumnPad', 5, 'A', 'L07-']","[-9479.978, 34779.542]"
"['ColumnPad', 5, 'A', 'L07-']","['ColumnPad', 5, 'A', 'L07+']","[-9479.978, 34779.542]"
"['ColumnPad', 5, 'A', 'R08-']","['ColumnPad', 5, 'A', 'R08+']","[-6829.978, 39369.477]"
"['ColumnPad', 5, 'A', 'R08+']","['ColumnPad', 5, 'A', 'L08-']","[-6829.978, 39369.477]"
"['ColumnPad', 5, 'A', 'L08-']","['ColumnPad', 5, 'A', 'L08+']","[-6829.978, 39369.477]"
"['ColumnPad', 5, 'A', 'R09-']","['ColumnPad', 5, 'A', 'R09+']","[-4179.978, 43959.412]"
"['ColumnPad', 5, 'A', 'R09+']","['ColumnPad', 5, 'A', 'L09-']","[-4179.978, 43959.412]"
"['ColumnPad', 5, 'A', 'L09-']","['ColumnPad', 5, 'A', 'L09+']","[-4179.978, 43959.412]"
"['ColumnPad', 5, 'A', 'R10-']","['ColumnPad', 5, 'A', 'R10+']","[-1529.978, 48549.346]"
"['ColumnPad', 5, 'A', 'R10+']","['ColumnPad', 5, 'A', 'L10-']","[-1529.978, 48549.346]"
"['ColumnPad', 5, 'A', 'L10-']","['ColumnPad', 5, 'A', 'L10+']","[-1529.978, 48549.346]"
"['ColumnPad', 5, 'A', 'R11-']","['ColumnPad', 5, 'A', 'R11+']","[1120.022, 53139.281]"
"['ColumnPad', 5, 'A', 'R11+']","['ColumnPad', 5, 'A', 'L11-']","[1120.022, 53139.281]"
"['ColumnPad', 5, 'A', 'L11-']","['ColumnPad', 5, 'A', 'L11+']","[1120.022, 53139.281]"
"['ColumnPad', 4, 'A', 'R00-']","['ColumnPad', 4, 'A', 'R00+']","[-22729.978, 2650.0]"
"['ColumnPad', 4, 'A', 'R00+']","['ColumnPad', 4, 'A', 'L00-']","[-22729.978, 2650.0]"
"['ColumnPad', 4, 'A', 'L00-']","['ColumnPad', 4, 'A', 'L00+']","[-22729.978, 2650.0]"
"['ColumnPad', 4, 'A', 'R01-']","['ColumnPad', 4, 'A', 'R01+']","[-20079.978, 7239.935]"
"['ColumnPad', 4, 'A', 'R01+']","['ColumnPad', 4, 'A', 'L01-']","[-20079.978, 7239.935]"
"['ColumnPad', 4, 'A', 'L01-']","['ColumnPad', 4, 'A', 'L01+']","[-20079.978, 7239.935]"
"['ColumnPad', 4, 'A', 'R02-']","['ColumnPad', 4, 'A', 'R02+']","[-17429.978, 11829.869]"
"['ColumnPad', 4, 'A', 'R02+']","['ColumnPad', 4, 'A', 'L02-']","[-17429.978, 11829.869]"
"['ColumnPad', 4, 'A', 'L02-']","['ColumnPad', 4, 'A', 'L02+']","[-17429.978, 11829.869]"
"['ColumnPad', 4, 'A', 'R03-']","['ColumnPad', 4, 'A', 'R03+']","[-14779.978, 16419.804]"
"['ColumnPad', 4, 'A', 'R03+']","['ColumnPad', 4, 'A', 'L03-']","[-14779.978, 16419.804]"
"['ColumnPad', 4, 'A', 'L03-']","['ColumnPad', 4, 'A', 'L03+']","[-14779.978, 16419.804]"
"['ColumnPad', 4, 'A', 'R04-']","['ColumnPad', 4, 'A', 'R04+']","[-12129.978, 21009.739]"
"['ColumnPad', 4, 'A', 'R04+']","['ColumnPad', 4, 'A', 'L04-']","[-12129.978, 21009.739]"
"['ColumnPad', 4, 'A', 'L04-']","['ColumnPad', 4, 'A', 'L04+']","[-12129.978, 21009.739]"
"['ColumnPad', 4, 'A', 'R05-']","['ColumnPad', 4, 'A', 'R05+']","[-9479.978, 25599.673]"
"['ColumnPad', 4, 'A', 'R05+']","['ColumnPad', 4, 'A', 'L05-']","[-9479.978, 25599.673]"
"['ColumnPad', 4, 'A', 'L05-']","['ColumnPad', 4, 'A', 'L05+']","[-9479.978, 25599.673]"
"['ColumnPad', 4, 'A', 'R06-']","['ColumnPad', 4, 'A', 'R06+']","[-6829.978, 30189.608]"
"['ColumnPad', 4, 'A', 'R06+']","['ColumnPad', 4, 'A', 'L06-']","[-6829.978, 30189.608]"
"['ColumnPad', 4, 'A', 'L06-']","['ColumnPad', 4, 'A', 'L06+']","[-6829.978, 30189.608]"
"['ColumnPad', 4, 'A', 'R07-']","['ColumnPad', 4, 'A', 'R07+']","[-4179.978, 34779.542]"
"['ColumnPad', 4, 'A', 'R07+']","['ColumnPad', 4, 'A', 'L07-']","[-4179.978, 34779.542]"
"['ColumnPad', 4, 'A', 'L07-']","['ColumnPad', 4, 'A', 'L07+']","[-4179.978, 34779.542]"
"['ColumnPad', 4, 'A', 'R08-']","['ColumnPad', 4, 'A', 'R08+']","[-1529.978, 39369.477]"
"['ColumnPad', 4, 'A', 'R08+']","['ColumnPad', 4, 'A', 'L08-']","[-1529.978, 39369.477]"
"['ColumnPad', 4, 'A', 'L08-']","['ColumnPad', 4, 'A', 'L08+']","[-1529.978, 39369.477]"
"['ColumnPad', 4, 'A', 'R09-']","['ColumnPad', 4, 'A', 'R09+']","[1120.022, 43959.412]"
"['ColumnPad', 4, 'A', 'R09+']","['ColumnPad', 4, 'A', 'L09-']","[1120.022, 43959.412]"
"['ColumnPad', 4, 'A', 'L09-']","['ColumnPad', 4, 'A', 'L09+']","[1120.022, 43959.412]"
"['ColumnPad', 4, 'A', 'R10-']","['ColumnPad', 4, 'A', 'R10+']","[3770.022, 48549.346]"
"['ColumnPad', 4, 'A', 'R10+']","['ColumnPad', 4, 'A', 'L10-']","[3770.022, 48549.346]"
"['ColumnPad', 4, 'A', 'L10-']","['ColumnPad', 4, 'A', 'L10+']","[3770.022, 48549.346]"
"['ColumnPad', 4, 'A', 'R11-']","['ColumnPad', 4, 'A', 'R11+']","[6420.022, 53139.281]"
"['ColumnPad', 4, 'A', 'R11+']","['ColumnPad', 4, 'A', 'L11-']","[6420.022, 53139.281]"
"['ColumnPad', 4, 'A', 'L11-']","['ColumnPad', 4, 'A', 'L11+']","[6420.022, 53139.281]"
"['ColumnPad', 3, 'A', 'R00-']","['ColumnPad', 3, 'A', 'R00+']","[-17429.978, 2650.0]"
"['ColumnPad', 3, 'A', 'R00+']","['ColumnPad', 3, 'A', 'L00-']","[-17429.978, 2650.0]"
"['ColumnPad', 3, 'A', 'L00-']","['ColumnPad', 3, 'A', 'L00+']","[-17429.978, 2650.0]"
"['ColumnPad', 3, 'A', 'R01-']","['ColumnPad', 3, 'A', 'R01+']","[-14779.978, 7239.935]"
"['ColumnPad', 3, 'A', 'R01+']","['ColumnPad', 3, 'A', 'L01-']","[-14779.978, 7239.935]"
"['ColumnPad', 3, 'A', 'L01-']","['ColumnPad', 3, 'A', 'L01+']","[-14779.978, 7239.935]"
"['ColumnPad', 3, 'A', 'R02-']","['ColumnPad', 3, 'A', 'R02+']","[-12129.978, 11829.869]"
"['ColumnPad', 3, 'A', 'R02+']","['ColumnPad', 3, 'A', 'L02-']","[-12129.978, 11829.869]"
"['ColumnPad', 3, 'A', 'L02-']","['ColumnPad', 3, 'A', 'L02+']","[-12129.978, 11829.869]"
"['ColumnPad', 3, 'A', 'R03-']","['ColumnPad', 3, 'A', 'R03+']","[-9479.978, 16419.804]"
"['ColumnPad', 3, 'A', 'R03+']","['ColumnPad', 3, 'A', 'L03-']","[-9479.978, 16419.804]"
"['ColumnPad', 3, 'A', 'L03-']","['ColumnPad', 3, 'A', 'L03+']","[-9479.978, 16419.804]"
"['ColumnPad', 3, 'A', 'R04-']","['ColumnPad', 3, 'A', 'R04+']","[-6829.978, 21009.739]"
"['ColumnPad', 3, 'A', 'R04+']","['ColumnPad', 3, 'A', 'L04-']","[-6829.978, 21009.739]"
"['ColumnPad', 3, 'A', 'L04-']","['ColumnPad', 3, 'A', 'L04+']","[-6829.978, 21009.739]"
"['ColumnPad', 3, 'A', 'R05-']","['ColumnPad', 3, 'A', 'R05+']","[-4179.978, 25599.673]"
"['ColumnPad', 3, 'A', 'R05+']","['ColumnPad', 3, 'A', 'L05-']","[-4179.978, 25599.673]"
"['ColumnPad', 3, 'A', 'L05-']","['ColumnPad', 3, 'A', 'L05+']","[-4179.978, 25599.673]"
"['ColumnPad', 3, 'A', 'R06-']","['ColumnPad', 3, 'A', 'R06+']","[-1529.978, 30189.608]"
"['ColumnPad', 3, 'A', 'R06+']","['ColumnPad', 3, 'A', 'L06-']","[-1529.978, 30189.608]"
"['ColumnPad', 3, 'A', 'L06-']","['ColumnPad', 3, 'A', 'L06+']","[-1529.978, 30189.608]"
"['ColumnPad', 3, 'A', 'R07-']","['ColumnPad', 3, 'A', 'R07+']","[1120.022, 34779.542]"
"['ColumnPad', 3, 'A', 'R07+']","['ColumnPad', 3, 'A', 'L07-']","[1120.022, 34779.542]"
"['ColumnPad', 3, 'A', 'L07-']","['ColumnPad', 3, 'A', 'L07+']","[1120.022, 34779.542]"
"['ColumnPad', 3, 'A', 'R08-']","['ColumnPad', 3, 'A', 'R08+']","[3770.022, 39369.477]"
"['ColumnPad', 3, 'A', 'R08+']","['ColumnPad', 3, 'A', 'L08-']","[3770.022, 39369.477]"
"['ColumnPad', 3, 'A', 'L08-']","['ColumnPad', 3, 'A', 'L08+']","[3770.022, 39369.477]"
"['ColumnPad', 3, 'A', 'R09-']","['ColumnPad', 3, 'A', 'R09+']","[6420.022, 43959.412]"
"['ColumnPad', 3, 'A', 'R09+']","['ColumnPad', 3, 'A', 'L09-']","[6420.022, 43959.412]"
"['ColumnPad', 3, 'A', 'L09-']","['ColumnPad', 3, 'A', 'L09+']","[6420.022, 43959.412]"
"['ColumnPad', 3, 'A', 'R10-']","['ColumnPad', 3, 'A', 'R10+']","[9070.022, 48549.346]"
"['ColumnPad', 3, 'A', 'R10+']","['ColumnPad', 3, 'A', 'L10-']","[9070.022, 48549.346]"
"['ColumnPad', 3, 'A', 'L10-']","['ColumnPad', 3, 'A', 'L10+']","[9070.022, 48549.346]"
"['ColumnPad', 3, 'A', 'R11-']","['ColumnPad', 3, 'A', 'R11+']","[11720.022, 53139.281]"
"['ColumnPad', 3, 'A', 'R11+']","['ColumnPad', 3, 'A', 'L11-']","[11720.022, 53139.281]"
"['ColumnPad', 3, 'A', 'L11-']","['ColumnPad', 3, 'A', 'L11+']","[11720.022, 53139.281]"
"['ColumnPad', 2, 'A', 'R00-']","['ColumnPad', 2, 'A', 'R00+']","[-12129.978, 2650.0]"
"['ColumnPad', 2, 'A', 'R00+']","['ColumnPad', 2, 'A', 'L00-']","[-12129.978, 2650.0]"
"['ColumnPad', 2, 'A', 'L00-']","['ColumnPad', 2, 'A', 'L00+']","[-12129.978, 2650.0]"
"['ColumnPad', 2, 'A', 'R01-']","['ColumnPad', 2, 'A', 'R01+']","[-9479.978, 7239.935]"
"['ColumnPad', 2, 'A', 'R01+']","['ColumnPad', 2, 'A', 'L01-']","[-9479.978, 7239.935]"
"['ColumnPad', 2, 'A', 'L01-']","['ColumnPad', 2, 'A', 'L01+']","[-9479.978, 7239.935]"
"['ColumnPad', 2, 'A', 'R02-']","['ColumnPad', 2, 'A', 'R02+']","[-6829.978, 11829.869]"
"['ColumnPad', 2, 'A', 'R02+']","['ColumnPad', 2, 'A', 'L02-']","[-6829.978, 11829.869]"
"['ColumnPad', 2, 'A', 'L02-']","['ColumnPad', 2, 'A', 'L02+']","[-6829.978, 11829.869]"
"['ColumnPad', 2, 'A', 'R03-']","['ColumnPad', 2, 'A', 'R03+']","[-4179.978, 16419.804]"
"['ColumnPad', 2, 'A', 'R03+']","['ColumnPad', 2, 'A', 'L03-']","[-4179.978, 16419.804]"
"['ColumnPad', 2, 'A', 'L03-']","['ColumnPad', 2, 'A', 'L03+']","[-4179.978, 16419.804]"
"['ColumnPad', 2, 'A', 'R04-']","['ColumnPad', 2, 'A', 'R04+']","[-1529.978, 21009.739]"
"['ColumnPad', 2, 'A', 'R04+']","['ColumnPad', 2, 'A', 'L04-']","[-1529.978, 21009.739]"
"['ColumnPad', 2, 'A', 'L04-']","['ColumnPad', 2, 'A', 'L04+']","[-1529.978, 21009.739]"
"['ColumnPad', 2, 'A', 'R05-']","['ColumnPad', 2, 'A', 'R05+']","[1120.022, 25599.673]"
"['ColumnPad', 2, 'A', 'R05+']","['ColumnPad', 2, 'A', 'L05-']","[1120.022, 25599.673]"
"['ColumnPad', 2, 'A', 'L05-']","['ColumnPad', 2, 'A', 'L05+']","[1120.022, 25599.673]"
"['ColumnPad', 2, 'A', 'R06-']","['ColumnPad', 2, 'A', 'R06+']","[3770.022, 30189.608]"
"['ColumnPad', 2, 'A', 'R06+']","['ColumnPad', 2, 'A', 'L06-']","[3770.022, 30189.608]"
"['ColumnPad', 2, 'A', 'L06-']","['ColumnPad', 2, 'A', 'L06+']","[3770.022, 30189.608]"
"['ColumnPad', 2, 'A', 'R07-']","['ColumnPad', 2, 'A', 'R07+']","[6420.022, 34779.542]"
"['ColumnPad', 2, 'A', 'R07+']","['ColumnPad', 2, 'A', 'L07-']","[6420.022, 34779.542]"
"['ColumnPad', 2, 'A', 'L07-']","['ColumnPad', 2, 'A', 'L07+']","[6420.022, 34779.542]"
"['ColumnPad', 2, 'A', 'R08-']","['ColumnPad', 2, 'A', 'R08+']","[9070.022, 39369.477]"
"['ColumnPad', 2, 'A', 'R08+']","['ColumnPad', 2, 'A', 'L08-']","[9070.022, 39369.477]"
"['ColumnPad', 2, 'A', 'L08-']","['ColumnPad', 2, 'A', 'L08+']","[9070.022, 39369.477]"
"['ColumnPad', 2, 'A', 'R09-']","['ColumnPad', 2, 'A', 'R09+']","[11720.022, 43959.412]"
"['ColumnPad', 2, 'A', 'R09+']","['ColumnPad', 2, 'A', 'L09-']","[11720.022, 43959.412]"
"['ColumnPad', 2, 'A', 'L09-']","['ColumnPad', 2, 'A', 'L09+']","[11720.022, 43959.412]"
"['ColumnPad', 2, 'A', 'R10-']","['ColumnPad', 2, 'A', 'R10+']","[14370.022, 48549.346]"
"['ColumnPad', 2, 'A', 'R10+']","['ColumnPad', 2, 'A', 'L10-']","[14370.022, 48549.346]"
"['ColumnPad', 2, 'A', 'L10-']","['ColumnPad', 2, 'A', 'L10+']","[14370.022, 48549.346]"
"['ColumnPad', 2, 'A', 'R11-']","['ColumnPad', 2, 'A', 'R11+']","[17020.022, 53139.281]"
"['ColumnPad', 2, 'A', 'R11+']","['ColumnPad', 2, 'A', 'L11-']","[17020.022, 53139.281]"
"['ColumnPad', 2, 'A', 'L11-']","['ColumnPad', 2, 'A', 'L11+']","[17020.022, 53139.281]"
"['ColumnPad', 1, 'A', 'R00-']","['ColumnPad', 1, 'A', 'R00+']","[-6829.978, 2650.0]"
"['ColumnPad', 1, 'A', 'R00+']","['ColumnPad', 1, 'A', 'L00-']","[-6829.978, 2650.0]"
"['ColumnPad', 1, 'A', 'L00-']","['ColumnPad', 1, 'A', 'L00+']","[-6829.978, 2650.0]"
"['ColumnPad', 1, 'A', 'R01-']","['ColumnPad', 1, 'A', 'R01+']","[-4179.978, 7239.935]"
"['ColumnPad', 1, 'A', 'R01+']","['ColumnPad', 1, 'A', 'L01-']","[-4179.978, 7239.935]"
"['ColumnPad', 1, 'A', 'L01-']","['ColumnPad', 1, 'A', 'L01+']","[-4179.978, 7239.935]"
"['ColumnPad', 1, 'A', 'R02-']","['ColumnPad', 1, 'A', 'R02+']","[-1529.978, 11829.869]"
"['ColumnPad', 1, 'A', 'R02+']","['ColumnPad', 1, 'A', 'L02-']","[-1529.978, 11829.869]"
"['ColumnPad', 1, 'A', 'L02-']","['ColumnPad', 1, 'A', 'L02+']","[-1529.978, 11829.869]"
"['ColumnPad', 1, 'A', 'R03-']","['ColumnPad', 1, 'A', 'R03+']","[1120.022, 16419.804]"
"['ColumnPad', 1, 'A', 'R03+']","['ColumnPad', 1, 'A', 'L03-']","[1120.022, 16419.804]"
"['ColumnPad', 1, 'A', 'L03-']","['ColumnPad', 1, 'A', 'L03+']","[1120.022, 16419.804]"
"['ColumnPad', 1, 'A', 'R04-']","['ColumnPad', 1, 'A', 'R04+']","[3770.022, 21009.739]"
"['ColumnPad', 1, 'A', 'R04+']","['ColumnPad', 1, 'A', 'L04-']","[3770.022, 21009.739]"
"['ColumnPad', 1, 'A', 'L04-']","['ColumnPad', 1, 'A', 'L04+']","[3770.022, 21009.739]"
"['ColumnPad', 1, 'A', 'R05-']","['ColumnPad', 1, 'A', 'R05+']","[6420.022, 25599.673]"
"['ColumnPad', 1, 'A', 'R05+']","['ColumnPad', 1, 'A', 'L05-']","[6420.022, 25599.673]"
"['ColumnPad', 1, 'A', 'L05-']","['ColumnPad', 1, 'A', 'L05+']","[6420.022, 25599.673]"
"['ColumnPad', 1, 'A', 'R06-']","['ColumnPad', 1, 'A', 'R06+']","[9070.022, 30189.608]"
"['ColumnPad', 1, 'A', 'R06+']","['ColumnPad', 1, 'A', 'L06-']","[9070.022, 30189.608]"
"['ColumnPad', 1, 'A', 'L06-']","['ColumnPad', 1, 'A', 'L06+']","[9070.022, 30189.608]"
"['ColumnPad', 1, 'A', 'R07-']","['ColumnPad', 1, 'A', 'R07+']","[11720.022, 34779.542]"
"['ColumnPad', 1, 'A', 'R07+']","['ColumnPad', 1, 'A', 'L07-']","[11720.022, 34779.542]"
"['ColumnPad', 1, 'A', 'L07-']","['ColumnPad', 1, 'A', 'L07+']","[11720.022, 34779.542]"
"['ColumnPad', 1, 'A', 'R08-']","['ColumnPad', 1, 'A', 'R08+']","[14370.022, 39369.477]"
"['ColumnPad', 1, 'A', 'R08+']","['ColumnPad', 1, 'A', 'L08-']","[14370.022, 39369.477]"
"['ColumnPad', 1, 'A', 'L08-']","['ColumnPad', 1, 'A', 'L08+']","[14370.022, 39369.477]"
"['ColumnPad', 1, 'A', 'R09-']","['ColumnPad', 1, 'A', 'R09+']","[17020.022, 43959.412]"
"['ColumnPad', 1, 'A', 'R09+']","['ColumnPad', 1, 'A', 'L09-']","[17020.022, 43959.412]"
"['ColumnPad', 1, 'A', 'L09-']","['ColumnPad', 1, 'A', 'L09+']","[17020.022, 43959.412]"
"['ColumnPad', 1, 'A', 'R10-']","['ColumnPad', 1, 'A', 'R10+']","[19670.022, 48549.346]"
"['ColumnPad', 1, 'A', 'R10+']","['ColumnPad', 1, 'A', 'L10-']","[19670.022, 48549.346]"
"['ColumnPad', 1, 'A', 'L10-']","['ColumnPad', 1, 'A', 'L10+']","[19670.022, 48549.346]"
"['ColumnPad', 1, 'A', 'R11-']","['ColumnPad', 1, 'A', 'R11+']","[22320.022, 53139.281]"
"['ColumnPad', 1, 'A', 'R11+']","['ColumnPad', 1, 'A', 'L11-']","[22320.022, 53139.281]"
"['ColumnPad', 1, 'A', 'L11-']","['ColumnPad', 1, 'A', 'L11+']","[22320.022, 53139.281]"
"['ColumnPad', 0, 'A', 'R00-']","['ColumnPad', 0, 'A', 'R00+']","[-1529.978, 2650.0]"
"['ColumnPad', 0, 'A', 'R00+']","['ColumnPad', 0, 'A', 'L00-']","[-1529.978, 2650.0]"
"['ColumnPad', 0, 'A', 'L00-']","['ColumnPad', 0, 'A', 'L00+']","[-1529.978, 2650.0]"
"['ColumnPad', 0, 'A', 'R01-']","['ColumnPad', 0, 'A', 'R01+']","[1120.022, 7239.935]"
"['ColumnPad', 0, 'A', 'R01+']","['ColumnPad', 0, 'A', 'L01-']","[1120.022, 7239.935]"
"['ColumnPad', 0, 'A', 'L01-']","['ColumnPad', 0, 'A', 'L01+']","[1120.022, 7239.935]"
"['ColumnPad', 0, 'A', 'R02-']","['ColumnPad', 0, 'A', 'R02+']","[3770.022, 11829.869]"
"['ColumnPad', 0, 'A', 'R02+']","['ColumnPad', 0, 'A', 'L02-']","[3770.022, 11829.869]"
"['ColumnPad', 0, 'A', 'L02-']","['ColumnPad', 0, 'A', 'L02+']","[3770.022, 11829.869]"
"['ColumnPad', 0, 'A', 'R03-']","['ColumnPad', 0, 'A', 'R03+']","[6420.022, 16419.804]"
"['ColumnPad', 0, 'A', 'R03+']","['ColumnPad', 0, 'A', 'L03-']","[6420.022, 16419.804]"
"['ColumnPad', 0, 'A', 'L03-']","['ColumnPad', 0, 'A', 'L03+']","[6420.022, 16419.804]"
