"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['RowPad', 11, 'A', 'B01+']","['RowPad', 11, 'A', 'T01+']","[22320.022, 53139.281]"
"['RowPad', 11, 'A', 'B10-']","['RowPad', 11, 'A', 'T10-']","[-25379.978, 53139.281]"
"['RowPad', 11, 'A', 'B11-']","['RowPad', 11, 'A', 'T11-']","[-30679.978, 53139.281]"
"['ColumnPad', 11, 'A', 'R00-']","['ColumnPad', 11, 'A', 'R00+']","[-59829.978, 2650.0]"
"['ColumnPad', 11, 'A', 'R00+']","['ColumnPad', 11, 'A', 'L00-']","[-59829.978, 2650.0]"
"['ColumnPad', 11, 'A', 'L00-']","['ColumnPad', 11, 'A', 'L00+']","[-59829.978, 2650.0]"
"['ColumnPad', 11, 'A', 'R01-']","['ColumnPad', 11, 'A', 'R01+']","[-57179.978, 7239.935]"
"['ColumnPad', 11, 'A', 'R01+']","['ColumnPad', 11, 'A', 'L01-']","[-57179.978, 7239.935]"
"['ColumnPad', 11, 'A', 'L01-']","['ColumnPad', 11, 'A', 'L01+']","[-57179.978, 7239.935]"
"['ColumnPad', 11, 'A', 'R02-']","['ColumnPad', 11, 'A', 'R02+']","[-54529.978, 11829.869]"
"['ColumnPad', 11, 'A', 'R02+']","['ColumnPad', 11, 'A', 'L02-']","[-54529.978, 11829.869]"
"['ColumnPad', 11, 'A', 'L02-']","['ColumnPad', 11, 'A', 'L02+']","[-54529.978, 11829.869]"
"['ColumnPad', 11, 'A', 'R03-']","['ColumnPad', 11, 'A', 'R03+']","[-51879.978, 16419.804]"
"['ColumnPad', 11, 'A', 'R03+']","['ColumnPad', 11, 'A', 'L03-']","[-51879.978, 16419.804]"
"['ColumnPad', 11, 'A', 'L03-']","['ColumnPad', 11, 'A', 'L03+']","[-51879.978, 16419.804]"
"['ColumnPad', 11, 'A', 'R04-']","['ColumnPad', 11, 'A', 'R04+']","[-49229.978, 21009.739]"
"['ColumnPad', 11, 'A', 'R04+']","['ColumnPad', 11, 'A', 'L04-']","[-49229.978, 21009.739]"
"['ColumnPad', 11, 'A', 'L04-']","['ColumnPad', 11, 'A', 'L04+']","[-49229.978, 21009.739]"
"['ColumnPad', 11, 'A', 'R05-']","['ColumnPad', 11, 'A', 'R05+']","[-46579.978, 25599.673]"
"['ColumnPad', 11, 'A', 'R05+']","['ColumnPad', 11, 'A', 'L05-']","[-46579.978, 25599.673]"
"['ColumnPad', 11, 'A', 'L05-']","['ColumnPad', 11, 'A', 'L05+']","[-46579.978, 25599.673]"
"['ColumnPad', 11, 'A', 'R06-']","['ColumnPad', 11, 'A', 'R06+']","[-43929.978, 30189.608]"
"['ColumnPad', 11, 'A', 'R06+']","['ColumnPad', 11, 'A', 'L06-']","[-43929.978, 30189.608]"
"['ColumnPad', 11, 'A', 'L06-']","['ColumnPad', 11, 'A', 'L06+']","[-43929.978, 30189.608]"
"['ColumnPad', 11, 'A', 'R07-']","['ColumnPad', 11, 'A', 'R07+']","[-41279.978, 34779.542]"
"['ColumnPad', 11, 'A', 'R07+']","['ColumnPad', 11, 'A', 'L07-']","[-41279.978, 34779.542]"
"['ColumnPad', 11, 'A', 'L07-']","['ColumnPad', 11, 'A', 'L07+']","[-41279.978, 34779.542]"
"['ColumnPad', 11, 'A', 'R08-']","['ColumnPad', 11, 'A', 'R08+']","[-38629.978, 39369.477]"
"['ColumnPad', 11, 'A', 'R08+']","['ColumnPad', 11, 'A', 'L08-']","[-38629.978, 39369.477]"
