range of distance,number in the range
"(3857.941575709121,3858.9439474329947)",3.0
"(3870.9724081194768,3871.97477984335)",3.0
"(3907.057790178923,3908.060161902796)",33.0
"(3934.1218267235076,3935.124198447381)",33.0
"(4271.921097668879,4272.923469392753)",3.0
"(4281.944814907614,4282.947186631488)",3.0
"(4310.011223176072,4311.013594899946)",33.0
"(4333.065772825163,4334.068144549036)",33.0
"(5129.951293304601,5130.953665028474)",3.0
"(5223.171863624837,5224.17423534871)",3.0
"(5388.5631980639655,5389.565569787839)",33.0
"(5487.797998727442,5488.800370451316)",33.0
"(5495.816972518431,5496.8193442423035)",3.0
"(5585.028055943172,5586.030427667046)",3.0
"(5742.400416591313,5743.402788315187)",33.0
"(5837.625730359296,5838.628102083169)",33.0
"(9037.196272963529,9038.198644687402)",3.0
"(9088.317230881077,9089.319602604952)",3.0
"(9180.53542947744,9181.537801201313)",33.0
"(9236.668246014357,9237.67061773823)",33.0
"(9407.071439072854,9408.073810796726)",3.0
"(9455.18528181878,9456.187653542655)",3.0
"(9541.389250071901,9542.391621795776)",33.0
"(9594.514951437199,9595.517323161072)",33.0
"(10216.987791962645,10217.990163686518)",3.0
"(10296.175158148653,10297.177529872526)",3.0
"(10436.507199490943,10437.509571214818)",33.0
"(10518.701680848571,10519.704052572444)",33.0
"(10604.905649101693,10605.908020825565)",3.0
"(10682.088271839952,10683.090643563826)",3.0
"(10818.410826286748,10819.413198010623)",33.0
"(10899.602935920502,10900.605307644377)",33.0
"(14414.92057154489,14415.922943268764)",3.0
"(14475.0628749773,14476.065246701173)",3.0
"(14581.314277707892,14582.316649431767)",33.0
"(14644.463696311923,14645.466068035797)",33.0
"(14765.750674900617,14766.753046624492)",3.0
"(14824.890606609155,14825.892978333028)",3.0
"(14927.132522444252,14928.134894168126)",33.0
"(14988.277197600535,14989.27956932441)",33.0
"(15357.149991985985,15358.15236370986)",3.0
"(15431.325499552626,15432.327871276499)",3.0
"(15561.63382365618,15562.636195380055)",33.0
"(15638.816446394441,15639.818818118314)",33.0
"(15751.082079468275,15752.084451192148)",3.0
"(15824.255215311041,15825.257587034914)",3.0
"(15952.558795966848,15953.561167690723)",33.0
"(16027.736675257362,16028.739046981236)",33.0
"(19828.7302521857,19829.73262390957)",3.0
"(19893.884414237476,19894.88678596135)",3.0
"(20006.15004731131,20007.152419035185)",33.0
"(20073.308952810832,20074.311324534705)",33.0
"(20171.541381750438,20172.54375347431)",3.0
"(20234.690800354467,20235.69317207834)",3.0
"(20343.94931825668,20344.951689980553)",33.0
"(20410.105852032335,20411.108223756208)",33.0
"(20509.340652695806,20510.34302441968)",3.0
"(20581.511416814705,20582.513788538578)",3.0
"(20706.80788229889,20707.810254022763)",33.0
"(20780.983389865527,20781.9857615894)",33.0
"(20906.27985534972,20907.282227073592)",3.0
"(20977.44824774474,20978.45061946861)",3.0
"(21101.74234150505,21102.744713228924)",33.0
"(21174.915477347815,21175.917849071688)",33.0
"(25256.57313696074,25257.57550868461)",3.0
"(25323.73204246026,25324.73441418413)",3.0
"(25440.00716242959,25441.00953415346)",33.0
"(25508.16843965298,25509.170811376862)",33.0
"(25593.370036182234,25594.372407906107)",3.0
"(25659.52656995788,25660.52894168176)",3.0
"(25667.54554374887,25668.547915472744)",3.0
"(25737.711564420017,25738.71393614389)",3.0
"(25773.796946479466,25774.79931820334)",33.0
"(25840.955851978986,25841.958223702866)",33.0
"(25860.000914732584,25861.003286456456)",33.0
"(25932.171678851475,25933.174050575355)",33.0
"(26066.48948985053,26067.491861574403)",3.0
