range of distance,number in the range
"(26135.653138797803,26136.655510521676)",3.0
"(26256.940117386497,26257.94248911037)",33.0
"(26328.108509781516,26329.11088150539)",33.0
"(30690.430252079015,30691.432623802888)",3.0
"(30758.591529302408,30759.59390102629)",3.0
"(30827.75517824968,30828.757549973554)",3.0
"(30877.873764443357,30878.87613616723)",33.0
"(30897.921198920827,30898.9235706447)",3.0
"(30947.03741339063,30948.039785114503)",33.0
"(31017.203434061776,31018.20580578565)",33.0
"(31024.220036128892,31025.222407852765)",3.0
"(31088.371826456794,31089.374198180667)",33.0
"(31091.378941628413,31092.381313352293)",3.0
"(31208.656433321616,31209.65880504549)",33.0
"(31227.701496075213,31228.703867799086)",3.0
"(31276.817710545016,31277.82008226889)",33.0
"(31296.865145022486,31297.86751674636)",3.0
"(31416.147380163435,31417.149751887308)",33.0
"(31486.31340083458,31487.315772558453)",33.0
"(35989.969556198244,35990.97192792212)",3.0
"(36059.13320514551,36060.13557686939)",3.0
"(36128.29685409278,36129.299225816656)",3.0
"(36177.413068562586,36178.41544028646)",33.0
"(36197.460503040056,36198.46287476393)",3.0
"(36247.57908923373,36248.581460957605)",33.0
"(36317.74510990488,36318.74748162875)",33.0
"(36387.91113057602,36388.913502299896)",33.0
"(36390.91824574764,36391.920617471515)",3.0
"(36459.07952297104,36460.081894694915)",6.0
"(36528.243171918315,36529.24554364219)",3.0
"(36577.35938638812,36578.36175811199)",33.0
"(36646.52303533538,36647.52540705926)",66.0
"(36715.68668428266,36716.68905600653)",33.0
"(41153.18630587067,41154.188677594546)",3.0
"(41221.347583094066,41222.349954817946)",3.0
"(41338.62507478727,41339.62744651114)",33.0
"(41407.78872373454,41408.791095458415)",33.0
"(41554.13499542007,41555.13736714394)",3.0
"(41567.16582783043,41568.168199554304)",3.0
"(41622.29627264347,41623.29864436734)",3.0
"(41637.33184850158,41638.33422022545)",3.0
"(41739.573764336674,41740.57613606055)",33.0
"(41758.61882709027,41759.621198814144)",33.0
"(41807.735041560074,41808.73741328395)",33.0
"(41830.78959120916,41831.791962933035)",33.0
"(41896.94612498481,41897.94849670868)",3.0
"(41966.10977393208,41967.112145655956)",3.0
"(42086.394380796904,42087.39675252078)",33.0
"(42156.56040146805,42157.56277319192)",33.0
"(46316.4030555431,46317.405427266975)",3.0
"(46384.5643327665,46385.566704490375)",3.0
"(46500.839452735825,46501.8418244597)",33.0
"(46570.0031016831,46571.00547340697)",33.0
"(46718.35411681638,46719.35648854025)",3.0
"(46785.5130223159,46786.51539403978)",3.0
"(46901.78814228523,46902.7905140091)",33.0
"(46969.94941950863,46970.9517912325)",33.0
"(47008.039545015825,47009.0419167397)",3.0
"(47079.20793741084,47080.210309134716)",3.0
"(47201.49728772341,47202.49965944728)",33.0
"(47273.6680518423,47274.670423566175)",33.0
"(47335.81509872246,47336.81747044633)",3.0
"(47405.981119393604,47406.98349111748)",3.0
"(47527.2680979823,47528.27046970617)",33.0
"(47598.43649037732,47599.43886210119)",33.0
"(51480.6221769394,51481.62454866328)",3.0
"(51547.78108243893,51548.7834541628)",3.0
"(51664.05620240826,51665.058574132134)",33.0
"(51732.217479631654,51733.219851355534)",33.0
"(51882.57323821268,51883.57560993655)",3.0
"(51949.73214371221,51950.73451543608)",3.0
"(52065.00489195766,52066.00726368153)",33.0
"(52133.16616918106,52134.16854090493)",33.0
"(52449.915633925084,52450.918005648964)",3.0
"(52521.08402632011,52522.08639804398)",3.0
"(52644.37574835655,52645.37812008042)",33.0
"(52716.54651247544,52717.548884199314)",33.0
"(52776.68881590785,52777.691187631724)",3.0
"(52847.85720830287,52848.85958002674)",3.0
"(52969.144186891564,52970.14655861544)",33.0
"(53041.314951010456,53042.31732273433)",33.0
"(56644.84129833571,56645.843670059585)",3.0
"(56712.00020383524,56713.00257555911)",3.0
"(56827.27295208069,56828.27532380456)",33.0
"(56895.43422930409,56896.43660102796)",33.0
"(57047.79473133286,57048.797103056735)",3.0
"(57113.95126510851,57114.95363683239)",3.0
"(57229.22401335397,57230.22638507784)",33.0
"(57296.38291885349,57297.38529057737)",33.0
"(57892.79409455823,57893.7964662821)",3.0
"(57963.96248695325,57964.96485867712)",3.0
"(58088.25658071356,58089.258952437434)",33.0
"(58160.42734483245,58161.429716556326)",33.0
"(58218.56490481712,58219.56727654099)",3.0
"(58289.73329721214,58290.73566893601)",3.0
"(58412.022647524704,58413.02501924858)",33.0
"(58484.193411643595,58485.19578336747)",33.0
"(61809.06041973201,61810.06279145589)",3.0
"(61876.21932523154,61877.221696955414)",3.0
"(61991.49207347699,61992.49444520087)",33.0
"(62058.65097897652,62059.65335070039)",33.0
"(62212.013852729164,62213.01622445304)",3.0
"(62279.17275822869,62280.175129952564)",3.0
"(62393.44313475027,62394.44550647414)",33.0
"(62460.602040249796,62461.60441197367)",33.0
"(63335.67255519137,63336.67492691524)",3.0
"(63407.84331931026,63408.845691034134)",3.0
"(63480.01408342915,63481.016455153025)",3.0
"(63532.13741307057,63533.139784794446)",33.0
"(63604.308177189465,63605.31054891334)",33.0
"(63660.440993726384,63661.44336545026)",3.0
"(63677.48131303223,63678.48368475611)",33.0
"(63731.6093861214,63732.611757845276)",3.0
"(63803.780150240294,63804.78252196417)",3.0
"(63854.90110815784,63855.903479881716)",33.0
"(63927.071872276734,63928.07424400061)",33.0
"(63999.242636395626,64000.2450081195)",33.0
