range of distance,number in the range
"(59693.22339954866,59695.38628660195)",3.0
"(59725.66670534789,59727.82959240117)",3.0
"(59835.97394506525,59838.13683211853)",3.0
"(59909.51210487682,59911.6749919301)",3.0
"(60021.98223164746,60024.14511870075)",3.0
"(61070.98245248903,61073.14533954231)",3.0
"(61094.77421007513,61096.93709712841)",3.0
"(61267.80517433765,61269.96806139093)",3.0
"(61347.83199530907,61349.99488236235)",3.0
"(62154.5888661831,62156.75175323638)",3.0
"(62509.30234292128,62511.46522997456)",3.0
"(62576.35184157301,62578.51472862629)",3.0
"(62736.40548351584,62738.568370569126)",3.0
"(62846.7127232332,62848.875610286486)",3.0
"(62872.66736787258,62874.83025492586)",3.0
"(62905.11067367181,62907.27356072509)",3.0
"(63069.49008972121,63071.65297677449)",3.0
"(63071.65297677449,63073.81586382777)",3.0
"(63075.97875088105,63078.14163793433)",3.0
"(63188.44887765169,63190.61176470497)",3.0
"(63203.58908702466,63205.751974077946)",3.0
"(63683.75001285317,63685.912899906456)",3.0
"(63735.65930213193,63737.82218918521)",3.0
"(63748.63662445162,63750.7995115049)",3.0
"(63915.1789275543,63917.341814607586)",3.0
"(64728.424459588176,64730.587346641456)",3.0
"(64832.24303814569,64834.40592519897)",3.0
"(64853.871908678506,64856.034795731786)",3.0
"(65059.346178740256,65061.509065793536)",3.0
"(65070.160614006665,65072.323501059946)",3.0
"(65440.014300117815,65442.177187171095)",3.0
"(65809.86798622897,65812.03087328225)",3.0
"(65989.38761165134,65991.55049870462)",3.0
"(66341.93820133623,66344.10108838952)",3.0
"(66631.76506647597,66633.92795352924)",3.0
"(67377.9610998581,67380.12398691139)",3.0
"(67475.29101725579,67477.45390430906)",3.0
"(67492.59411368203,67494.75700073532)",3.0
"(67505.57143600173,67507.734323055)",3.0
"(67583.43536991985,67585.59825697314)",3.0
"(67639.67043330519,67641.83332035846)",3.0
"(67847.30759042021,67849.4704774735)",3.0
"(67873.26223505959,67875.42512211288)",3.0
"(67929.49729844491,67931.6601854982)",3.0
"(68076.57361806805,68078.73650512134)",3.0
"(68232.30148590433,68234.46437295762)",3.0
"(68571.87475326954,68574.03764032283)",3.0
"(68602.15517201548,68604.31805906877)",3.0
"(68684.34488004018,68686.50776709347)",3.0
"(68777.34902333129,68779.51191038458)",3.0
"(68978.49751928648,68980.66040633975)",3.0
"(69382.95739825013,69385.12028530342)",3.0
"(69519.21928260688,69521.38216966015)",3.0
"(70018.84619191491,70021.0090789682)",3.0
"(70274.06686420215,70276.22975125542)",6.0
"(70483.86690837046,70486.02979542373)",3.0
"(71636.68570776953,71638.84859482282)",3.0
"(71939.48989522895,71941.65278228224)",3.0
"(72015.19094209382,72017.35382914709)",3.0
"(72080.07755369226,72082.24044074555)",3.0
"(72175.24458403664,72177.40747108993)",3.0
"(72183.89613224978,72186.05901930305)",3.0
"(72250.94563090151,72253.10851795478)",3.0
"(72367.74153177871,72369.904418832)",3.0
"(72679.19726745125,72681.36015450454)",3.0
"(72722.45500851689,72724.61789557016)",3.0
"(72873.85710224659,72876.01998929988)",3.0
"(73044.72517945584,73046.88806650913)",3.0
"(73185.31283791915,73187.47572497242)",3.0
"(73282.64275531682,73284.80564237009)",3.0
"(73418.90463967355,73421.06752672684)",3.0
"(73578.95828161639,73581.12116866968)",3.0
"(73877.43669496925,73879.59958202254)",3.0
"(74095.8882873507,74098.05117440397)",3.0
"(75242.21842558992,75244.3813126432)",3.0
"(75510.41642019684,75512.57930725013)",3.0
"(76619.97747853029,76622.14036558357)",3.0
"(76661.07233254264,76663.23521959592)",3.0
"(76676.21254191561,76678.3754289689)",3.0
"(76767.05379815343,76769.21668520672)",3.0
"(76782.1940075264,76784.35689457969)",3.0
"(76898.98990840362,76901.15279545689)",3.0
"(76922.7816659897,76924.944553043)",3.0
"(76933.59610125612,76935.7589883094)",3.0
"(77100.1384043588,77102.30129141208)",3.0
"(77186.65388649006,77188.81677354334)",3.0
"(77240.7260628221,77242.88894987539)",3.0
"(77247.21472398195,77249.37761103523)",3.0
"(77885.26640470001,77887.42929175329)",3.0
"(78075.6004653888,78077.76335244207)",3.0
"(79022.94499472612,79025.1078817794)",3.0
"(79258.6996835338,79260.8625705871)",3.0
"(80340.1432101746,80342.30609722788)",3.0
"(80411.5184829329,80413.68136998617)",3.0
"(81187.99493506098,81190.15782211426)",3.0
"(81255.04443371271,81257.20732076599)",3.0
"(81291.81351361849,81293.97640067177)",3.0
"(81311.27949709803,81313.4423841513)",3.0
"(81354.53723816366,81356.70012521694)",3.0
"(81382.65476985632,81384.8176569096)",3.0
"(81432.4011720818,81434.56405913508)",3.0
"(81549.197072959,81551.35996001228)",3.0
"(82022.86933762766,82025.03222468095)",3.0
"(82185.08586662379,82187.24875367706)",3.0
"(82950.74788348546,82952.91077053874)",3.0
"(83158.3850406005,83160.54792765378)",3.0
"(84062.47182887219,84064.63471592548)",3.0
"(84097.0780217247,84099.24090877798)",3.0
"(85665.17113535384,85667.33402240713)",3.0
"(85667.33402240713,85669.4969094604)",3.0
"(85775.4783750712,85777.64126212448)",3.0
"(85820.89900319012,85823.06189024339)",3.0
"(85859.83097014918,85861.99385720247)",3.0
"(85950.672226387,85952.83511344029)",3.0
"(86270.77951027268,86272.94239732597)",3.0
"(86409.2042816827,86411.36716873599)",3.0
"(87008.3239954417,87010.48688249498)",3.0
"(87190.00650791735,87192.16939497064)",3.0
"(87931.87676719294,87934.03965424621)",6.0
"(90073.1349499417,90075.29783699497)",3.0
"(90101.25248163435,90103.41536868764)",3.0
"(90362.96181508142,90365.12470213471)",3.0
"(90434.33708783971,90436.499974893)",3.0
"(90616.01960031537,90618.18248736866)",3.0
"(90728.48972708601,90730.6526141393)",3.0
"(91178.37023416859,91180.53312122186)",3.0
"(91334.09810200485,91336.26098905814)",3.0
"(91896.44873585807,91898.61162291134)",3.0
"(91926.729154604,91928.89204165728)",3.0
"(94589.24311719362,94591.4060042469)",3.0
"(94641.15240647238,94643.31529352567)",3.0
"(95041.28651132947,95043.44939838276)",3.0
"(95134.29065462058,95136.45354167387)",3.0
"(95445.74639029313,95447.9092773464)",3.0
"(95579.8453875966,95582.00827464987)",3.0
"(95973.49083129384,95975.65371834712)",3.0
"(96036.214555839,96038.37744289228)",3.0
"(99198.35542773666,99200.51831478995)",3.0
"(99274.05647460152,99276.2193616548)",3.0
"(99799.63802854894,99801.80091560223)",3.0
"(99912.10815531958,99914.27104237287)",3.0
"(100154.35150528712,100156.51439234041)",3.0
"(100240.86698741838,100243.02987447167)",3.0
"(103889.65744630441,103891.82033335768)",3.0
"(103982.66158959552,103984.82447664879)",3.0
"(104421.72766141167,104423.89054846496)",3.0
"(104534.19778818231,104536.3606752356)",3.0
"(108436.04603230229,108438.20891935556)",3.0
"(108567.98214255246,108570.14502960573)",3.0
