distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
65810.94607422159,[['ColumnPad' '10' 'A' 'L00-']],[['RowPad' '0' 'A' 'B10+']]
425.79236552691106,[['RowPad' '2' 'A' 'B11+']],[['RowPad' '2' 'A' 'B11-']]
469.57362694789566,[['RowPad' '2' 'A' 'B11-']],[['RowPad' '2' 'A' 'T11+']]
425.79300109795344,[['RowPad' '2' 'A' 'T11+']],[['RowPad' '2' 'A' 'T11-']]
52830.29677541311,[['RowPad' '2' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R02+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R02+']],[['ColumnPad' '11' 'A' 'R02-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R02-']],[['ColumnPad' '11' 'A' 'L02+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L02+']],[['ColumnPad' '11' 'A' 'L02-']]
52614.050282566124,[['ColumnPad' '11' 'A' 'L02-']],[['RowPad' '2' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B03+']],[['RowPad' '11' 'C' 'B03-']]
469.5742752749558,[['RowPad' '11' 'C' 'B03-']],[['RowPad' '11' 'C' 'T03+']]
425.7933771208754,[['RowPad' '11' 'C' 'T03+']],[['RowPad' '11' 'C' 'T03-']]
51277.28568130747,[['RowPad' '11' 'C' 'T03-']],[['ColumnPad' '3' 'C' 'R11+']]
425.79302312391434,[['ColumnPad' '3' 'C' 'R11+']],[['ColumnPad' '3' 'C' 'R11-']]
469.5736269478972,[['ColumnPad' '3' 'C' 'R11-']],[['ColumnPad' '3' 'C' 'L11+']]
425.792672299562,[['ColumnPad' '3' 'C' 'L11+']],[['ColumnPad' '3' 'C' 'L11-']]
51693.25574836907,[['ColumnPad' '3' 'C' 'L11-']],[['RowPad' '11' 'C' 'B03+']]
425.7933771208754,[['RowPad' '10' 'C' 'B01+']],[['RowPad' '10' 'C' 'B01-']]
469.5742752749558,[['RowPad' '10' 'C' 'B01-']],[['RowPad' '10' 'C' 'T01+']]
