range of distance,number in the range
"(81425.91239700001,81534.05675)",3.0
"(81534.05675,81642.20110300001)",3.0
"(81966.634162,82074.77851500001)",3.0
"(82182.92286800001,82291.067221)",3.0
"(82939.93333900001,83048.077692)",3.0
"(83156.222045,83264.36639800001)",3.0
"(84021.37686900001,84129.52122200001)",6.0
"(85643.54216400001,85751.68651700001)",6.0
"(85751.68651700001,85859.83087)",6.0
"(85859.83087,85967.97522300002)",6.0
"(86184.26392900001,86292.408282)",3.0
"(86400.55263500001,86508.69698800001)",3.0
"(86941.27440000001,87049.418753)",3.0
"(87157.56310600002,87265.70745900001)",3.0
"(87914.573577,88022.71793000001)",6.0
"(89969.31628400002,90077.46063700001)",3.0
"(90077.46063700001,90185.60499)",3.0
"(90293.749343,90401.89369600001)",3.0
"(90401.89369600001,90510.03804900001)",3.0
"(90510.03804900001,90618.182402)",3.0
"(90726.32675500002,90834.47110800001)",3.0
"(91158.90416700002,91267.04852000001)",3.0
"(91267.04852000001,91375.192873)",3.0
"(91807.770285,91915.91463800002)",3.0
"(91915.91463800002,92024.05899100001)",3.0
"(94511.37911000001,94619.523463)",3.0
"(94619.523463,94727.66781600002)",3.0
"(94943.95652200001,95052.100875)",3.0
"(95052.100875,95160.24522800001)",3.0
"(95376.533934,95484.678287)",3.0
"(95484.678287,95592.82264000001)",3.0
"(95917.25569900002,96025.40005200001)",3.0
"(96025.40005200001,96133.54440500001)",3.0
"(99161.58628900001,99269.73064200001)",3.0
"(99269.73064200001,99377.874995)",3.0
"(99702.30805400001,99810.452407)",3.0
"(99810.452407,99918.59676000001)",3.0
"(100134.885466,100243.029819)",6.0
"(103811.793468,103919.93782100001)",3.0
"(103919.93782100001,104028.08217400001)",3.0
"(104352.51523300001,104460.65958600001)",3.0
"(104460.65958600001,104568.803939)",3.0
"(108353.85629400001,108462.00064700001)",3.0
"(108462.00064700001,108570.145)",3.0
