range of distance,number in the range
"(425.792,533.9363529999999)",2664.0
"(7995.896710000001,8104.0410630000015)",3.0
"(8320.329769,8428.474122000001)",3.0
"(12429.815183,12537.959536)",6.0
"(13294.970007,13403.114360000001)",3.0
"(13619.403066,13727.547419)",3.0
"(17188.166715000003,17296.311068000003)",9.0
"(17296.311068000003,17404.455421000002)",3.0
"(18702.187657000002,18810.332010000002)",3.0
"(19026.620716,19134.765069000005)",3.0
"(21513.940835000005,21622.085188000005)",3.0
"(21622.085188000005,21730.229541000004)",3.0
"(22054.662600000003,22162.806953000003)",3.0
"(22162.806953000003,22270.951306000003)",6.0
"(22487.240012000002,22595.384365)",3.0
"(24109.405307000005,24217.549660000004)",3.0
"(24433.838366000004,24541.982719000003)",3.0
"(26272.292367000002,26380.436720000005)",9.0
"(26488.581073000005,26596.725426000005)",3.0
"(27029.302838000003,27137.447191000003)",3.0
"(27245.591544000003,27353.735897000002)",3.0
"(27461.880250000002,27570.024603000005)",3.0
"(27678.168956000005,27786.313309000005)",3.0
"(29516.622957000003,29624.767310000003)",3.0
"(29841.056016000002,29949.200369000006)",3.0
"(30706.210840000003,30814.355193000003)",3.0
"(30814.355193000003,30922.499546000003)",3.0
"(31030.643899000002,31138.788252000006)",6.0
"(31246.932605000005,31355.076958000005)",3.0
"(31463.221311000005,31571.365664000004)",3.0
"(32112.087429000003,32220.231782000003)",3.0
"(32328.376135000006,32436.520488000006)",3.0
"(32760.953547000005,32869.0979)",3.0
"(33085.386606,33193.530959)",3.0
"(34923.840607000006,35031.98496)",3.0
"(35356.418019000004,35464.56237200001)",9.0
"(35464.56237200001,35572.706725000004)",3.0
"(35572.706725000004,35680.85107800001)",3.0
"(35897.139784000006,36005.284137)",3.0
"(36005.284137,36113.428490000006)",3.0
"(36437.861549,36546.005902000004)",3.0
"(36654.15025500001,36762.294608000004)",3.0
"(37194.87202,37303.016373000006)",3.0
"(37411.160726,37519.305079000005)",3.0
"(38060.02684400001,38168.171197)",3.0
"(38384.459903,38492.604256000006)",3.0
"(39898.480845000006,40006.625198)",3.0
"(40006.625198,40114.769551000005)",3.0
"(40114.769551000005,40222.91390400001)",6.0
"(40331.058257000004,40439.20261000001)",3.0
"(40439.20261000001,40547.346963)",3.0
"(40547.346963,40655.49131600001)",3.0
"(40763.635669,40871.780022000006)",3.0
"(40871.780022000006,40979.924375)",3.0
"(40979.924375,41088.068728000006)",3.0
"(41628.79049300001,41736.934846000004)",3.0
"(41845.07919900001,41953.223552)",3.0
"(42277.656611000006,42385.800964)",3.0
"(42493.945317000005,42602.08967000001)",3.0
"(43467.244494000006,43575.388847)",3.0
"(43791.67755300001,43899.821906000005)",3.0
"(44440.54367100001,44548.688024)",3.0
"(44548.688024,44656.832377000006)",3.0
"(44656.832377000006,44764.97673)",3.0
"(44764.97673,44873.121083000005)",3.0
"(44873.121083000005,44981.26543600001)",3.0
"(44981.26543600001,45089.409789000005)",3.0
"(45413.84284800001,45521.987201)",3.0
"(45630.13155400001,45738.275907)",3.0
"(45738.275907,45846.420260000006)",3.0
"(45846.420260000006,45954.564613)",3.0
"(45954.564613,46062.708966000006)",3.0
"(46170.85331900001,46278.997672000005)",3.0
"(46819.71943700001,46927.86379)",3.0
"(47144.152496,47252.296849000006)",3.0
"(47468.585555000005,47576.72990800001)",3.0
"(47684.874261000004,47793.01861400001)",3.0
"(48766.31779100001,48874.462144000005)",3.0
"(49090.750850000004,49198.89520300001)",3.0
"(49198.89520300001,49307.039556)",12.0
"(49523.328262,49631.472615000006)",3.0
"(49739.616968,49847.761321000005)",6.0
"(49847.761321000005,49955.90567400001)",3.0
"(50604.77179200001,50712.916145)",3.0
"(50821.060498000006,50929.204851)",3.0
"(50929.204851,51037.349204000006)",3.0
"(51037.349204000006,51145.49355700001)",3.0
"(51253.637910000005,51361.78226300001)",3.0
"(51686.215322000004,51794.35967500001)",3.0
"(52118.792734,52226.937087000006)",3.0
"(52443.225793000005,52551.37014600001)",3.0
"(52551.37014600001,52659.514499000004)",3.0
"(52767.65885200001,52875.803205000004)",3.0
"(53632.813676000005,53740.95802900001)",6.0
"(53849.102382000005,53957.24673500001)",3.0
"(53957.24673500001,54065.391088000004)",9.0
"(54173.53544100001,54281.679794)",3.0
"(54606.112853000006,54714.25720600001)",6.0
"(54714.25720600001,54822.401559000005)",6.0
"(54822.401559000005,54930.54591200001)",3.0
"(55795.700736000006,55903.84508900001)",3.0
"(56011.989442000006,56120.13379500001)",6.0
"(56120.13379500001,56228.278148000005)",3.0
"(56660.85556,56768.99991300001)",3.0
"(57093.43297200001,57201.577325000006)",3.0
"(57526.01038400001,57634.154737000004)",3.0
"(57742.29909000001,57850.443443000004)",6.0
"(57958.58779600001,58066.732149)",3.0
"(58283.02085500001,58391.165208000006)",9.0
"(58391.165208000006,58499.30956100001)",3.0
"(58715.59826700001,58823.742620000005)",6.0
"(58823.742620000005,58931.88697300001)",6.0
"(59580.753091000006,59688.89744400001)",3.0
"(59688.89744400001,59797.041797000005)",6.0
"(59797.041797000005,59905.18615000001)",3.0
"(59905.18615000001,60013.330503000005)",3.0
"(60013.330503000005,60121.47485600001)",3.0
"(60986.629680000005,61094.77403300001)",3.0
"(61094.77403300001,61202.918386000005)",3.0
"(61202.918386000005,61311.06273900001)",3.0
"(61311.06273900001,61419.207092000004)",3.0
"(62068.07321000001,62176.217563000006)",3.0
"(62500.65062200001,62608.794975000004)",6.0
"(62716.93932800001,62825.083681000004)",3.0
"(62825.083681000004,62933.22803400001)",9.0
"(63041.37238700001,63149.51674000001)",9.0
"(63149.51674000001,63257.66109300001)",6.0
"(63582.094152000005,63690.23850500001)",3.0
"(63690.23850500001,63798.382858000004)",6.0
"(63906.52721100001,64014.671564000004)",3.0
"(64663.53768200001,64771.682035000005)",3.0
"(64771.682035000005,64879.82638800001)",6.0
"(64987.970741000005,65096.11509400001)",6.0
"(65420.548153,65528.69250600001)",3.0
"(65744.981212,65853.12556500001)",3.0
"(65961.269918,66069.414271)",3.0
"(66285.70297700001,66393.84733)",3.0
"(66610.13603600001,66718.280389)",3.0
"(67367.14650700001,67475.29086000001)",3.0
"(67475.29086000001,67583.435213)",9.0
"(67583.435213,67691.579566)",6.0
"(67799.72391900001,67907.868272)",6.0
"(67907.868272,68016.012625)",3.0
"(68016.012625,68124.15697800001)",3.0
"(68232.30133100001,68340.445684)",3.0
"(68556.73439000001,68664.87874300001)",6.0
"(68664.87874300001,68773.023096)",3.0
"(68773.023096,68881.167449)",3.0
"(68881.167449,68989.31180200001)",3.0
"(69313.74486100001,69421.88921400001)",3.0
"(69421.88921400001,69530.033567)",3.0
"(69962.610979,70070.755332)",3.0
"(70178.89968500001,70287.04403800001)",6.0
"(70395.188391,70503.33274400001)",3.0
"(71584.776274,71692.92062700001)",3.0
"(71909.209333,72017.353686)",6.0
"(72017.353686,72125.49803900001)",3.0
"(72125.49803900001,72233.64239200001)",6.0
"(72233.64239200001,72341.786745)",3.0
"(72341.786745,72449.931098)",3.0
"(72666.21980400001,72774.364157)",6.0
"(72774.364157,72882.50851000001)",3.0
"(72990.65286300001,73098.797216)",3.0
"(73098.797216,73206.941569)",3.0
"(73206.941569,73315.08592200001)",3.0
"(73315.08592200001,73423.23027500001)",3.0
"(73531.374628,73639.518981)",3.0
"(73855.80768700001,73963.95204)",3.0
"(74072.09639300001,74180.24074600001)",3.0
"(75153.539923,75261.68427600001)",3.0
"(75477.972982,75586.117335)",3.0
"(76559.41651200001,76667.560865)",6.0
"(76667.560865,76775.705218)",6.0
"(76775.705218,76883.84957100001)",3.0
"(76883.84957100001,76991.99392400001)",9.0
"(77100.138277,77208.28263)",6.0
"(77208.28263,77316.42698300001)",6.0
"(77857.148748,77965.293101)",3.0
"(78073.43745400001,78181.58180700001)",3.0
"(78938.59227800001,79046.736631)",3.0
"(79154.880984,79263.02533700001)",3.0
"(80236.324514,80344.468867)",3.0
"(80344.468867,80452.61322000001)",3.0
"(81101.479338,81209.62369100002)",3.0
"(81209.62369100002,81317.76804400001)",9.0
"(81317.76804400001,81425.91239700001)",6.0
