range of distance,number in the range
"(140.0,248.693078)",1800.0
"(248.693078,357.386156)",72.0
"(357.386156,466.079234)",2664.0
"(466.079234,574.772312)",972.0
"(7857.208538,7965.901616)",3.0
"(7965.901616,8074.594694)",6.0
"(8074.594694,8183.287772)",9.0
"(8183.287772,8291.98085)",12.0
"(8291.98085,8400.673928)",9.0
"(8400.673928,8509.367006)",6.0
"(8509.367006,8618.060084)",3.0
"(12096.23858,12204.931658)",3.0
"(12204.931658,12313.624736)",9.0
"(12313.624736,12422.317814)",9.0
"(12422.317814,12531.010892)",6.0
"(12531.010892,12639.70397)",9.0
"(12639.70397,12748.397048)",9.0
"(12748.397048,12857.090126)",3.0
"(13183.16936,13291.862438)",6.0
"(13291.862438,13400.555516)",6.0
"(13400.555516,13509.248594)",12.0
"(13509.248594,13617.941672)",12.0
"(13617.941672,13726.63475)",6.0
"(13726.63475,13835.327828)",3.0
"(13835.327828,13944.020906)",3.0
"(16878.734012,16987.42709)",9.0
"(16987.42709,17096.120168)",18.0
"(17096.120168,17204.813246)",15.0
"(17204.813246,17313.506324)",15.0
"(17313.506324,17422.199402)",18.0
"(17422.199402,17530.89248)",18.0
"(17530.89248,17639.585558)",3.0
"(18509.130182,18617.82326)",3.0
"(18617.82326,18726.516338)",9.0
"(18726.516338,18835.209416)",6.0
"(18835.209416,18943.902494)",6.0
"(18943.902494,19052.595572)",12.0
"(19052.595572,19161.28865)",9.0
"(19161.28865,19269.981728)",3.0
"(21226.457132,21335.15021)",3.0
"(21335.15021,21443.843288)",9.0
"(21443.843288,21552.536366)",9.0
"(21552.536366,21661.229444)",3.0
"(21661.229444,21769.922522)",12.0
"(21769.922522,21878.6156)",15.0
"(21878.6156,21987.308678)",9.0
"(21987.308678,22096.001756)",12.0
"(22096.001756,22204.694834)",9.0
"(22204.694834,22313.387912)",18.0
"(22313.387912,22422.08099)",21.0
"(22422.08099,22530.774068)",15.0
"(22530.774068,22639.467146)",6.0
"(22639.467146,22748.160224)",3.0
"(23943.784082,24052.47716)",3.0
"(24052.47716,24161.170238)",9.0
"(24161.170238,24269.863316)",9.0
"(24269.863316,24378.556394)",9.0
"(24378.556394,24487.249472)",6.0
"(24487.249472,24595.94255)",9.0
"(24595.94255,24704.635628)",3.0
"(25900.259486,26008.952564)",3.0
"(26008.952564,26117.645642)",12.0
"(26117.645642,26226.33872)",15.0
"(26226.33872,26335.031798)",9.0
"(26335.031798,26443.724876)",21.0
"(26443.724876,26552.417954)",21.0
"(26552.417954,26661.111032)",12.0
"(26661.111032,26769.80411)",3.0
"(26878.497188,26987.190266)",12.0
"(26987.190266,27095.883344)",6.0
"(27095.883344,27204.576422)",6.0
"(27204.576422,27313.2695)",9.0
"(27313.2695,27421.962578)",15.0
"(27421.962578,27530.655656)",12.0
"(27530.655656,27639.348734)",15.0
"(27639.348734,27748.041812)",9.0
"(27748.041812,27856.73489)",9.0
"(27856.73489,27965.427968)",3.0
"(29378.437982,29487.13106)",3.0
"(29487.13106,29595.824138)",9.0
"(29595.824138,29704.517216)",9.0
"(29704.517216,29813.210294)",9.0
"(29813.210294,29921.903372)",9.0
"(29921.903372,30030.59645)",6.0
"(30030.59645,30139.289528)",3.0
"(30465.368762,30574.06184)",3.0
"(30574.06184,30682.754918)",9.0
"(30682.754918,30791.447996)",15.0
"(30791.447996,30900.141074)",18.0
"(30900.141074,31008.834152)",9.0
"(31008.834152,31117.52723)",21.0
"(31117.52723,31226.220308)",12.0
"(31226.220308,31334.913386)",15.0
"(31334.913386,31443.606464)",18.0
"(31443.606464,31552.299542)",12.0
"(31552.299542,31660.99262)",9.0
"(31769.685698,31878.378776)",3.0
"(31878.378776,31987.071854)",6.0
"(31987.071854,32095.764932)",9.0
"(32095.764932,32204.45801)",9.0
"(32313.151088,32421.844166)",9.0
"(32421.844166,32530.537244)",9.0
"(32530.537244,32639.230322)",9.0
"(32639.230322,32747.9234)",6.0
"(32747.9234,32856.616477999996)",9.0
"(32856.616477999996,32965.309556)",9.0
"(32965.309556,33074.002634)",9.0
"(33074.002634,33182.695712)",9.0
"(33182.695712,33291.38879)",3.0
"(34813.091882,34921.78496)",3.0
"(34921.78496,35030.478038)",9.0
"(35030.478038,35139.171116)",12.0
"(35139.171116,35247.864194)",18.0
"(35247.864194,35356.557272)",21.0
"(35356.557272,35465.25035)",21.0
"(35465.25035,35573.943428)",24.0
"(35573.943428,35682.636506)",18.0
"(35682.636506,35791.329584)",18.0
"(35791.329584,35900.022662)",15.0
"(35900.022662,36008.71574)",9.0
"(36008.71574,36117.408818)",6.0
"(36117.408818,36226.101896)",12.0
"(36226.101896,36334.794974)",9.0
"(36334.794974,36443.488052)",6.0
"(36443.488052,36552.18113)",9.0
"(36552.18113,36660.874208)",12.0
"(36660.874208,36769.567286)",9.0
"(36769.567286,36878.260364)",6.0
"(36878.260364,36986.953442)",3.0
"(36986.953442,37095.64652)",6.0
"(37095.64652,37204.339598)",12.0
"(37204.339598,37313.032676)",6.0
"(37313.032676,37421.725754)",3.0
"(37421.725754,37530.418832)",9.0
"(37530.418832,37639.11191)",6.0
"(37639.11191,37747.804988)",6.0
"(37856.498066,37965.191144)",3.0
"(37965.191144,38073.884222)",3.0
"(38073.884222,38182.5773)",9.0
"(38182.5773,38291.270378)",9.0
"(38291.270378,38399.963456)",12.0
"(38399.963456,38508.656534)",9.0
"(38508.656534,38617.349612)",3.0
"(39595.587314,39704.280392)",3.0
"(39704.280392,39812.97347)",12.0
"(39812.97347,39921.666548)",15.0
"(39921.666548,40030.359626)",12.0
"(40030.359626,40139.052704)",18.0
"(40139.052704,40247.745782)",21.0
"(40247.745782,40356.43886)",21.0
"(40356.43886,40465.131938)",24.0
"(40465.131938,40573.825016)",15.0
"(40573.825016,40682.518094)",24.0
"(40682.518094,40791.211172)",27.0
"(40791.211172,40899.90425)",18.0
"(40899.90425,41008.597328)",6.0
"(41008.597328,41117.290406)",6.0
"(41117.290406,41225.983484)",12.0
"(41225.983484,41334.676562)",6.0
"(41443.36964,41552.062718)",3.0
"(41552.062718,41660.755796)",9.0
"(41660.755796,41769.448874)",9.0
"(41769.448874,41878.141952)",9.0
"(41878.141952,41986.83503)",9.0
"(41986.83503,42095.528108)",6.0
"(42095.528108,42204.221186)",9.0
"(42204.221186,42312.914264)",9.0
"(42312.914264,42421.607342)",9.0
"(42421.607342,42530.30042)",3.0
"(42530.30042,42638.993498)",6.0
"(42638.993498,42747.686576)",9.0
"(42747.686576,42856.379654)",6.0
"(43291.151966,43399.845044)",3.0
"(43399.845044,43508.538122)",9.0
"(43508.538122,43617.2312)",12.0
"(43617.2312,43725.924278)",6.0
"(43725.924278,43834.617356)",12.0
"(43834.617356,43943.310434)",3.0
"(43943.310434,44052.003512)",3.0
"(44160.69659,44269.389668)",3.0
"(44269.389668,44378.082746)",9.0
"(44378.082746,44486.775824)",12.0
"(44486.775824,44595.468902)",15.0
"(44595.468902,44704.16198)",18.0
"(44704.16198,44812.855058)",27.0
"(44812.855058,44921.548136)",21.0
"(44921.548136,45030.241214)",15.0
"(45030.241214,45138.934292)",12.0
"(45138.934292,45247.62737)",9.0
"(45247.62737,45356.320448)",6.0
"(45356.320448,45465.013526)",6.0
"(45465.013526,45573.706604)",9.0
"(45573.706604,45682.399682)",12.0
"(45682.399682,45791.09276)",24.0
"(45791.09276,45899.785838)",21.0
"(45899.785838,46008.478916)",18.0
"(46008.478916,46117.171994)",15.0
"(46117.171994,46225.865072)",21.0
"(46225.865072,46334.55815)",12.0
"(46334.55815,46443.251228)",3.0
"(46660.637384,46769.330462)",3.0
"(46769.330462,46878.02354)",6.0
"(46878.02354,46986.716618)",9.0
"(46986.716618,47095.409696)",9.0
"(47095.409696,47204.102774)",12.0
"(47204.102774,47312.795852)",12.0
"(47312.795852,47421.48893)",12.0
"(47421.48893,47530.182008)",9.0
"(47638.875086,47747.568164)",9.0
"(47747.568164,47856.261242)",9.0
"(47856.261242,47964.95432)",6.0
"(48617.112788,48725.805866)",3.0
"(48725.805866,48834.498944)",3.0
"(48834.498944,48943.192022)",15.0
"(48943.192022,49051.8851)",27.0
"(49051.8851,49160.578178)",33.0
"(49160.578178,49269.271256)",27.0
"(49269.271256,49377.964334)",21.0
"(49377.964334,49486.657412)",18.0
"(49486.657412,49595.35049)",15.0
"(49595.35049,49704.043568)",21.0
"(49704.043568,49812.736646)",18.0
"(49812.736646,49921.429724)",15.0
"(49921.429724,50030.122802)",15.0
