"distance  from  first pad(Gtype,GIndex,GSection,Label) to second pad"
"61122.58203949385, ['RowPad', 3, 'B', 'T11-'], ['RowPad', 4, 'B', 'X00+']"
"0.0, ['RowPad', 4, 'B', 'X00+'], ['RowPad', 4, 'B', 'B00+']"
"0.0, ['RowPad', 4, 'B', 'B00+'], ['RowPad', 4, 'B', 'X00-']"
"0.0, ['RowPad', 4, 'B', 'X00-'], ['RowPad', 4, 'B', 'T00+']"
"61122.58113836673, ['RowPad', 4, 'B', 'T11-'], ['RowPad', 5, 'B', 'X00+']"
"0.0, ['RowPad', 5, 'B', 'X00+'], ['RowPad', 5, 'B', 'B00+']"
"0.0, ['RowPad', 5, 'B', 'B00+'], ['RowPad', 5, 'B', 'X00-']"
"0.0, ['RowPad', 5, 'B', 'X00-'], ['RowPad', 5, 'B', 'T00+']"
"61122.58203949385, ['RowPad', 5, 'B', 'T11-'], ['RowPad', 6, 'B', 'X00+']"
"0.0, ['RowPad', 6, 'B', 'X00+'], ['RowPad', 6, 'B', 'B00+']"
"0.0, ['RowPad', 6, 'B', 'B00+'], ['RowPad', 6, 'B', 'X00-']"
"0.0, ['RowPad', 6, 'B', 'X00-'], ['RowPad', 6, 'B', 'T00+']"
"61122.58113836673, ['RowPad', 6, 'B', 'T11-'], ['RowPad', 7, 'B', 'X00+']"
"0.0, ['RowPad', 7, 'B', 'X00+'], ['RowPad', 7, 'B', 'B00+']"
"0.0, ['RowPad', 7, 'B', 'B00+'], ['RowPad', 7, 'B', 'X00-']"
"0.0, ['RowPad', 7, 'B', 'X00-'], ['RowPad', 7, 'B', 'T00+']"
"61122.58203949385, ['RowPad', 7, 'B', 'T11-'], ['RowPad', 8, 'B', 'X00+']"
"0.0, ['RowPad', 8, 'B', 'X00+'], ['RowPad', 8, 'B', 'B00+']"
"0.0, ['RowPad', 8, 'B', 'B00+'], ['RowPad', 8, 'B', 'X00-']"
"0.0, ['RowPad', 8, 'B', 'X00-'], ['RowPad', 8, 'B', 'T00+']"
"61122.58203949385, ['RowPad', 8, 'B', 'T11-'], ['RowPad', 9, 'B', 'X00+']"
"0.0, ['RowPad', 9, 'B', 'X00+'], ['RowPad', 9, 'B', 'B00+']"
"0.0, ['RowPad', 9, 'B', 'B00+'], ['RowPad', 9, 'B', 'X00-']"
"0.0, ['RowPad', 9, 'B', 'X00-'], ['RowPad', 9, 'B', 'T00+']"
"61122.58113836673, ['RowPad', 9, 'B', 'T11-'], ['RowPad', 10, 'B', 'X00+']"
"0.0, ['RowPad', 10, 'B', 'X00+'], ['RowPad', 10, 'B', 'B00+']"
"0.0, ['RowPad', 10, 'B', 'B00+'], ['RowPad', 10, 'B', 'X00-']"
