pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
57748.928,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925
425.793,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248
469.574,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248
425.793,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248
56716.319,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501
425.793,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
469.574,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
425.793,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
57134.903,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248
425.793,RowPad,10,C,B00+,-54529.978,-2650.0,-21533.842,-57404.248,RowPad,10,C,B00-,-54529.978,-2650.0,-21463.842,-56984.248
469.574,RowPad,10,C,B00-,-54529.978,-2650.0,-21463.842,-56984.248,RowPad,10,C,T00+,-54529.978,-2650.0,-21673.842,-57404.248
425.793,RowPad,10,C,T00+,-54529.978,-2650.0,-21673.842,-57404.248,RowPad,10,C,T00-,-54529.978,-2650.0,-21603.842,-56984.248
469.574,RowPad,10,C,T00-,-54529.978,-2650.0,-21603.842,-56984.248,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248
425.793,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248
70274.625,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248,ColumnPad,0,C,R10+,-54529.978,-2650.0,-65116.616,-2023.209
425.793,ColumnPad,0,C,R10+,-54529.978,-2650.0,-65116.616,-2023.209,ColumnPad,0,C,R10-,-54529.978,-2650.0,-64717.886,-1873.83
469.574,ColumnPad,0,C,R10-,-54529.978,-2650.0,-64717.886,-1873.83,ColumnPad,0,C,L10+,-54529.978,-2650.0,-65186.616,-1901.965
425.793,ColumnPad,0,C,L10+,-54529.978,-2650.0,-65186.616,-1901.965,ColumnPad,0,C,L10-,-54529.978,-2650.0,-64787.886,-1752.587
70484.18,ColumnPad,0,C,L10-,-54529.978,-2650.0,-64787.886,-1752.587,RowPad,10,C,B00+,-54529.978,-2650.0,-21533.842,-57404.248
425.793,RowPad,0,A,B10+,-54529.978,2650.0,-63856.616,4205.593,RowPad,0,A,B10-,-54529.978,2650.0,-63527.886,3934.971
469.574,RowPad,0,A,B10-,-54529.978,2650.0,-63527.886,3934.971,RowPad,0,A,T10+,-54529.978,2650.0,-63786.616,4326.836
425.793,RowPad,0,A,T10+,-54529.978,2650.0,-63786.616,4326.836,RowPad,0,A,T10-,-54529.978,2650.0,-63457.886,4056.214
65991.458,RowPad,0,A,T10-,-54529.978,2650.0,-63457.886,4056.214,ColumnPad,10,A,R00+,-54529.978,2650.0,-24613.842,57404.248
425.793,ColumnPad,10,A,R00+,-54529.978,2650.0,-24613.842,57404.248,ColumnPad,10,A,R00-,-54529.978,2650.0,-24683.842,56984.248
469.574,ColumnPad,10,A,R00-,-54529.978,2650.0,-24683.842,56984.248,ColumnPad,10,A,L00+,-54529.978,2650.0,-24473.842,57404.248
425.793,ColumnPad,10,A,L00+,-54529.978,2650.0,-24473.842,57404.248,ColumnPad,10,A,L00-,-54529.978,2650.0,-24543.842,56984.248
65810.946,ColumnPad,10,A,L00-,-54529.978,2650.0,-24543.842,56984.248,RowPad,0,A,B10+,-54529.978,2650.0,-63856.616,4205.593
425.792,RowPad,2,A,B11+,-54529.978,11829.869,-58606.616,13298.859,RowPad,2,A,B11-,-54529.978,11829.869,-58277.886,13028.238
469.574,RowPad,2,A,B11-,-54529.978,11829.869,-58277.886,13028.238,RowPad,2,A,T11+,-54529.978,11829.869,-58536.616,13420.103
425.793,RowPad,2,A,T11+,-54529.978,11829.869,-58536.616,13420.103,RowPad,2,A,T11-,-54529.978,11829.869,-58207.886,13149.481
52830.297,RowPad,2,A,T11-,-54529.978,11829.869,-58207.886,13149.481,ColumnPad,11,A,R02+,-54529.978,11829.869,-29353.842,57404.248
425.793,ColumnPad,11,A,R02+,-54529.978,11829.869,-29353.842,57404.248,ColumnPad,11,A,R02-,-54529.978,11829.869,-29423.842,56984.248
469.574,ColumnPad,11,A,R02-,-54529.978,11829.869,-29423.842,56984.248,ColumnPad,11,A,L02+,-54529.978,11829.869,-29213.842,57404.248
425.793,ColumnPad,11,A,L02+,-54529.978,11829.869,-29213.842,57404.248,ColumnPad,11,A,L02-,-54529.978,11829.869,-29283.842,56984.248
52614.05,ColumnPad,11,A,L02-,-54529.978,11829.869,-29283.842,56984.248,RowPad,2,A,B11+,-54529.978,11829.869,-58606.616,13298.859
425.793,RowPad,11,C,B03+,-51879.978,-16419.804,-27673.842,-57404.248,RowPad,11,C,B03-,-51879.978,-16419.804,-27603.842,-56984.248
469.574,RowPad,11,C,B03-,-51879.978,-16419.804,-27603.842,-56984.248,RowPad,11,C,T03+,-51879.978,-16419.804,-27813.842,-57404.248
425.793,RowPad,11,C,T03+,-51879.978,-16419.804,-27813.842,-57404.248,RowPad,11,C,T03-,-51879.978,-16419.804,-27743.842,-56984.248
51277.286,RowPad,11,C,T03-,-51879.978,-16419.804,-27743.842,-56984.248,ColumnPad,3,C,R11+,-51879.978,-16419.804,-57496.616,-15221.436
425.793,ColumnPad,3,C,R11+,-51879.978,-16419.804,-57496.616,-15221.436,ColumnPad,3,C,R11-,-51879.978,-16419.804,-57097.886,-15072.057
469.574,ColumnPad,3,C,R11-,-51879.978,-16419.804,-57097.886,-15072.057,ColumnPad,3,C,L11+,-51879.978,-16419.804,-57566.616,-15100.192
425.793,ColumnPad,3,C,L11+,-51879.978,-16419.804,-57566.616,-15100.192,ColumnPad,3,C,L11-,-51879.978,-16419.804,-57167.886,-14950.814
51693.256,ColumnPad,3,C,L11-,-51879.978,-16419.804,-57167.886,-14950.814,RowPad,11,C,B03+,-51879.978,-16419.804,-27673.842,-57404.248
425.793,RowPad,10,C,B01+,-51879.978,-7239.935,-21813.842,-57404.248,RowPad,10,C,B01-,-51879.978,-7239.935,-21743.842,-56984.248
469.574,RowPad,10,C,B01-,-51879.978,-7239.935,-21743.842,-56984.248,RowPad,10,C,T01+,-51879.978,-7239.935,-21953.842,-57404.248
425.793,RowPad,10,C,T01+,-51879.978,-7239.935,-21953.842,-57404.248,RowPad,10,C,T01-,-51879.978,-7239.935,-21883.842,-56984.248
65060.962,RowPad,10,C,T01-,-51879.978,-7239.935,-21883.842,-56984.248,ColumnPad,1,C,R10+,-51879.978,-7239.935,-62656.616,-6284.054
425.793,ColumnPad,1,C,R10+,-51879.978,-7239.935,-62656.616,-6284.054,ColumnPad,1,C,R10-,-51879.978,-7239.935,-62257.886,-6134.675
469.574,ColumnPad,1,C,R10-,-51879.978,-7239.935,-62257.886,-6134.675,ColumnPad,1,C,L10+,-51879.978,-7239.935,-62726.616,-6162.81
