pixel distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
5300.0,RowPad,10,A,T01+,19670.022,48549.346,-38736.616,47714.709,RowPad,10,A,X00-,24970.022,48549.346,-38687.886,46959.113
10600.0,RowPad,10,A,X00-,24970.022,48549.346,-38687.886,46959.113,RowPad,10,A,B02+,14370.022,48549.346,-38666.616,47835.952
61122.58177878471,RowPad,10,A,T11-,-33329.978,48549.346,-37007.886,49868.958,RowPad,11,A,X00+,27620.022,53139.281,-36366.616,51819.669
0.0,RowPad,11,A,X00+,27620.022,53139.281,-36366.616,51819.669,RowPad,11,A,B00+,27620.022,53139.281,-36296.616,51940.913
5300.0,RowPad,11,A,T01+,22320.022,53139.281,-36086.616,52304.643,RowPad,11,A,X00-,27620.022,53139.281,-36037.886,51549.047
10600.0,RowPad,11,A,X00-,27620.022,53139.281,-36037.886,51549.047,RowPad,11,A,B02+,17020.022,53139.281,-36016.616,52425.887
58540.41362273858,ColumnPad,0,A,L11+,27620.022,53139.281,31226.158,57404.248,RowPad,0,B,X00+,3059.956,0.0,34100.458,55744.77
0.0,RowPad,0,B,X00+,3059.956,0.0,34100.458,55744.77,RowPad,0,B,B00+,3059.956,0.0,34170.458,55623.527
0.0,RowPad,0,B,B00+,3059.956,0.0,34170.458,55623.527,RowPad,0,B,X00-,3059.956,0.0,33701.728,55595.392
0.0,RowPad,0,B,X00-,3059.956,0.0,33701.728,55595.392,RowPad,0,B,T00+,3059.956,0.0,34240.458,55502.283
61122.58203949385,RowPad,0,B,T11-,32209.956,50489.281,35381.728,52685.547,RowPad,1,B,X00+,5709.956,-4589.935,36560.458,51483.926
0.0,RowPad,1,B,X00+,5709.956,-4589.935,36560.458,51483.926,RowPad,1,B,B00+,5709.956,-4589.935,36630.458,51362.682
0.0,RowPad,1,B,B00+,5709.956,-4589.935,36630.458,51362.682,RowPad,1,B,X00-,5709.956,-4589.935,36161.728,51334.547
0.0,RowPad,1,B,X00-,5709.956,-4589.935,36161.728,51334.547,RowPad,1,B,T00+,5709.956,-4589.935,36700.458,51241.438
61122.58113836673,RowPad,1,B,T11-,34859.956,45899.346,37841.728,48424.702,RowPad,2,B,X00+,8359.956,-9179.869,39210.458,46893.991
0.0,RowPad,2,B,X00+,8359.956,-9179.869,39210.458,46893.991,RowPad,2,B,B00+,8359.956,-9179.869,39280.458,46772.747
0.0,RowPad,2,B,B00+,8359.956,-9179.869,39280.458,46772.747,RowPad,2,B,X00-,8359.956,-9179.869,38811.728,46744.613
0.0,RowPad,2,B,X00-,8359.956,-9179.869,38811.728,46744.613,RowPad,2,B,T00+,8359.956,-9179.869,39350.458,46651.504
61122.58203949385,RowPad,2,B,T11-,37509.956,41309.412,40491.728,43834.767,RowPad,3,B,X00+,11009.956,-13769.804,41860.458,42304.056
0.0,RowPad,3,B,X00+,11009.956,-13769.804,41860.458,42304.056,RowPad,3,B,B00+,11009.956,-13769.804,41930.458,42182.813
0.0,RowPad,3,B,B00+,11009.956,-13769.804,41930.458,42182.813,RowPad,3,B,X00-,11009.956,-13769.804,41461.728,42154.678
0.0,RowPad,3,B,X00-,11009.956,-13769.804,41461.728,42154.678,RowPad,3,B,T00+,11009.956,-13769.804,42000.458,42061.569
61122.58203949385,RowPad,3,B,T11-,40159.956,36719.477,43141.728,39244.833,RowPad,4,B,X00+,13659.956,-18359.739,44510.458,37714.122
0.0,RowPad,4,B,X00+,13659.956,-18359.739,44510.458,37714.122,RowPad,4,B,B00+,13659.956,-18359.739,44580.458,37592.878
0.0,RowPad,4,B,B00+,13659.956,-18359.739,44580.458,37592.878,RowPad,4,B,X00-,13659.956,-18359.739,44111.728,37564.743
0.0,RowPad,4,B,X00-,13659.956,-18359.739,44111.728,37564.743,RowPad,4,B,T00+,13659.956,-18359.739,44650.458,37471.634
