pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label
140.0,ColumnPad,5,B,R07-,ColumnPad,5,B,L07-
140.0,RowPad,6,B,B06+,RowPad,6,B,T06+
140.0,RowPad,6,B,B06-,RowPad,6,B,T06-
140.0,ColumnPad,6,B,R06+,ColumnPad,6,B,L06+
140.0,ColumnPad,6,B,R06-,ColumnPad,6,B,L06-
140.0,RowPad,5,B,B07+,RowPad,5,B,T07+
140.0,RowPad,5,B,B07-,RowPad,5,B,T07-
140.0,ColumnPad,7,B,R05+,ColumnPad,7,B,L05+
140.0,ColumnPad,7,B,R05-,ColumnPad,7,B,L05-
140.0,RowPad,4,B,B08+,RowPad,4,B,T08+
140.0,RowPad,4,B,B08-,RowPad,4,B,T08-
140.0,ColumnPad,8,B,R04+,ColumnPad,8,B,L04+
140.0,ColumnPad,8,B,R04-,ColumnPad,8,B,L04-
140.0,RowPad,3,B,B09+,RowPad,3,B,T09+
140.0,RowPad,3,B,B09-,RowPad,3,B,T09-
140.0,ColumnPad,9,B,R03+,ColumnPad,9,B,L03+
140.0,ColumnPad,9,B,R03-,ColumnPad,9,B,L03-
140.0,RowPad,2,B,B10+,RowPad,2,B,T10+
140.0,RowPad,2,B,B10-,RowPad,2,B,T10-
140.0,ColumnPad,10,B,R02+,ColumnPad,10,B,L02+
