pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label
140.0,RowPad,6,B,B00-,RowPad,6,B,T00-
140.0,RowPad,6,B,B00-,RowPad,6,B,X00-
280.0,RowPad,6,B,T00+,RowPad,6,B,X00+
280.0,RowPad,6,B,T00-,RowPad,6,B,X00-
140.0,ColumnPad,0,B,R06+,ColumnPad,0,B,L06+
140.0,ColumnPad,0,B,R06-,ColumnPad,0,B,L06-
140.0,RowPad,5,B,B01+,RowPad,5,B,T01+
140.0,RowPad,5,B,B01-,RowPad,5,B,T01-
140.0,ColumnPad,1,B,R05+,ColumnPad,1,B,L05+
140.0,ColumnPad,1,B,R05-,ColumnPad,1,B,L05-
140.0,RowPad,4,B,B02+,RowPad,4,B,T02+
140.0,RowPad,4,B,B02-,RowPad,4,B,T02-
140.0,ColumnPad,2,B,R04+,ColumnPad,2,B,L04+
140.0,ColumnPad,2,B,R04-,ColumnPad,2,B,L04-
140.0,RowPad,3,B,B03+,RowPad,3,B,T03+
140.0,RowPad,3,B,B03-,RowPad,3,B,T03-
140.0,ColumnPad,3,B,R03+,ColumnPad,3,B,L03+
140.0,ColumnPad,3,B,R03-,ColumnPad,3,B,L03-
140.0,RowPad,2,B,B04+,RowPad,2,B,T04+
140.0,RowPad,2,B,B04-,RowPad,2,B,T04-
140.0,ColumnPad,4,B,R02+,ColumnPad,4,B,L02+
140.0,ColumnPad,4,B,R02-,ColumnPad,4,B,L02-
140.0,RowPad,1,B,B05+,RowPad,1,B,T05+
140.0,RowPad,1,B,B05-,RowPad,1,B,T05-
140.0,ColumnPad,5,B,R01+,ColumnPad,5,B,L01+
140.0,ColumnPad,5,B,R01-,ColumnPad,5,B,L01-
140.0,RowPad,0,B,B06+,RowPad,0,B,T06+
140.0,RowPad,0,B,B06-,RowPad,0,B,T06-
140.0,ColumnPad,6,B,R00+,ColumnPad,6,B,L00+
140.0,ColumnPad,6,B,R00-,ColumnPad,6,B,L00-
140.0,RowPad,1,C,B10+,RowPad,1,C,T10+
140.0,RowPad,1,C,B10-,RowPad,1,C,T10-
140.0,ColumnPad,10,C,R01+,ColumnPad,10,C,L01+
140.0,ColumnPad,10,C,R01-,ColumnPad,10,C,L01-
140.0,RowPad,0,C,B08+,RowPad,0,C,T08+
140.0,RowPad,0,C,B08-,RowPad,0,C,T08-
140.0,ColumnPad,8,C,R00+,ColumnPad,8,C,L00+
140.0,ColumnPad,8,C,R00-,ColumnPad,8,C,L00-
140.0,RowPad,8,A,B00+,RowPad,8,A,T00+
140.0,RowPad,8,A,B00+,RowPad,8,A,X00+
140.0,RowPad,8,A,B00-,RowPad,8,A,T00-
140.0,RowPad,8,A,B00-,RowPad,8,A,X00-
280.0,RowPad,8,A,T00+,RowPad,8,A,X00+
280.0,RowPad,8,A,T00-,RowPad,8,A,X00-
140.0,ColumnPad,0,A,R08+,ColumnPad,0,A,L08+
140.0,ColumnPad,0,A,R08-,ColumnPad,0,A,L08-
140.0,RowPad,10,A,B01+,RowPad,10,A,T01+
140.0,RowPad,10,A,B01-,RowPad,10,A,T01-
140.0,ColumnPad,1,A,R10+,ColumnPad,1,A,L10+
140.0,ColumnPad,1,A,R10-,ColumnPad,1,A,L10-
140.0,RowPad,7,B,B00+,RowPad,7,B,T00+
140.0,RowPad,7,B,B00+,RowPad,7,B,X00+
140.0,RowPad,7,B,B00-,RowPad,7,B,T00-
140.0,RowPad,7,B,B00-,RowPad,7,B,X00-
280.0,RowPad,7,B,T00+,RowPad,7,B,X00+
280.0,RowPad,7,B,T00-,RowPad,7,B,X00-
140.0,ColumnPad,0,B,R07+,ColumnPad,0,B,L07+
140.0,ColumnPad,0,B,R07-,ColumnPad,0,B,L07-
140.0,RowPad,6,B,B01+,RowPad,6,B,T01+
140.0,RowPad,6,B,B01-,RowPad,6,B,T01-
140.0,ColumnPad,1,B,R06+,ColumnPad,1,B,L06+
140.0,ColumnPad,1,B,R06-,ColumnPad,1,B,L06-
