1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
RowPad,8,A,B11-,-38629.978,39369.477,-42377.886,40567.845,RowPad,8,A,T11-,-38629.978,39369.477,-42307.886,40689.089
RowPad,9,A,X00+,22320.022,43959.412,-41666.616,42639.8,RowPad,9,A,B00+,22320.022,43959.412,-41596.616,42761.044
RowPad,9,A,B00+,22320.022,43959.412,-41596.616,42761.044,RowPad,9,A,T00+,22320.022,43959.412,-41526.616,42882.287
RowPad,9,A,B01+,17020.022,43959.412,-41456.616,43003.531,RowPad,9,A,T01+,17020.022,43959.412,-41386.616,43124.774
RowPad,9,A,B10-,-30679.978,43959.412,-39867.886,44915.293,RowPad,9,A,T10-,-30679.978,43959.412,-39797.886,45036.536
RowPad,9,A,B11-,-35979.978,43959.412,-39727.886,45157.78,RowPad,9,A,T11-,-35979.978,43959.412,-39657.886,45279.024
RowPad,10,A,X00+,24970.022,48549.346,-39016.616,47229.735,RowPad,10,A,B00+,24970.022,48549.346,-38946.616,47350.978
RowPad,10,A,B00+,24970.022,48549.346,-38946.616,47350.978,RowPad,10,A,T00+,24970.022,48549.346,-38876.616,47472.222
RowPad,10,A,B01+,19670.022,48549.346,-38806.616,47593.465,RowPad,10,A,T01+,19670.022,48549.346,-38736.616,47714.709
RowPad,10,A,B10-,-28029.978,48549.346,-37217.886,49505.228,RowPad,10,A,T10-,-28029.978,48549.346,-37147.886,49626.471
RowPad,10,A,B11-,-33329.978,48549.346,-37077.886,49747.715,RowPad,10,A,T11-,-33329.978,48549.346,-37007.886,49868.958
RowPad,11,A,X00+,27620.022,53139.281,-36366.616,51819.669,RowPad,11,A,B00+,27620.022,53139.281,-36296.616,51940.913
RowPad,11,A,B00+,27620.022,53139.281,-36296.616,51940.913,RowPad,11,A,T00+,27620.022,53139.281,-36226.616,52062.156
RowPad,11,A,B01+,22320.022,53139.281,-36156.616,52183.4,RowPad,11,A,T01+,22320.022,53139.281,-36086.616,52304.643
RowPad,11,A,B10-,-25379.978,53139.281,-34567.886,54095.162,RowPad,11,A,T10-,-25379.978,53139.281,-34497.886,54216.406
RowPad,11,A,B11-,-30679.978,53139.281,-34427.886,54337.649,RowPad,11,A,T11-,-30679.978,53139.281,-34357.886,54458.893
ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248
ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248
ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
ColumnPad,11,A,R02-,-54529.978,11829.869,-29423.842,56984.248,ColumnPad,11,A,R02+,-54529.978,11829.869,-29353.842,57404.248
ColumnPad,11,A,R02+,-54529.978,11829.869,-29353.842,57404.248,ColumnPad,11,A,L02-,-54529.978,11829.869,-29283.842,56984.248
ColumnPad,11,A,L02-,-54529.978,11829.869,-29283.842,56984.248,ColumnPad,11,A,L02+,-54529.978,11829.869,-29213.842,57404.248
ColumnPad,11,A,R03-,-51879.978,16419.804,-29143.842,56984.248,ColumnPad,11,A,R03+,-51879.978,16419.804,-29073.842,57404.248
ColumnPad,11,A,R03+,-51879.978,16419.804,-29073.842,57404.248,ColumnPad,11,A,L03-,-51879.978,16419.804,-29003.842,56984.248
ColumnPad,11,A,L03-,-51879.978,16419.804,-29003.842,56984.248,ColumnPad,11,A,L03+,-51879.978,16419.804,-28933.842,57404.248
ColumnPad,11,A,R04-,-49229.978,21009.739,-28863.842,56984.248,ColumnPad,11,A,R04+,-49229.978,21009.739,-28793.842,57404.248
ColumnPad,11,A,R04+,-49229.978,21009.739,-28793.842,57404.248,ColumnPad,11,A,L04-,-49229.978,21009.739,-28723.842,56984.248
ColumnPad,11,A,L04-,-49229.978,21009.739,-28723.842,56984.248,ColumnPad,11,A,L04+,-49229.978,21009.739,-28653.842,57404.248
ColumnPad,11,A,R05-,-46579.978,25599.673,-28583.842,56984.248,ColumnPad,11,A,R05+,-46579.978,25599.673,-28513.842,57404.248
ColumnPad,11,A,R05+,-46579.978,25599.673,-28513.842,57404.248,ColumnPad,11,A,L05-,-46579.978,25599.673,-28443.842,56984.248
ColumnPad,11,A,L05-,-46579.978,25599.673,-28443.842,56984.248,ColumnPad,11,A,L05+,-46579.978,25599.673,-28373.842,57404.248
ColumnPad,11,A,R06-,-43929.978,30189.608,-28303.842,56984.248,ColumnPad,11,A,R06+,-43929.978,30189.608,-28233.842,57404.248
ColumnPad,11,A,R06+,-43929.978,30189.608,-28233.842,57404.248,ColumnPad,11,A,L06-,-43929.978,30189.608,-28163.842,56984.248
ColumnPad,11,A,L06-,-43929.978,30189.608,-28163.842,56984.248,ColumnPad,11,A,L06+,-43929.978,30189.608,-28093.842,57404.248
ColumnPad,11,A,R07-,-41279.978,34779.542,-28023.842,56984.248,ColumnPad,11,A,R07+,-41279.978,34779.542,-27953.842,57404.248
ColumnPad,11,A,R07+,-41279.978,34779.542,-27953.842,57404.248,ColumnPad,11,A,L07-,-41279.978,34779.542,-27883.842,56984.248
ColumnPad,11,A,L07-,-41279.978,34779.542,-27883.842,56984.248,ColumnPad,11,A,L07+,-41279.978,34779.542,-27813.842,57404.248
ColumnPad,11,A,R08-,-38629.978,39369.477,-27743.842,56984.248,ColumnPad,11,A,R08+,-38629.978,39369.477,-27673.842,57404.248
ColumnPad,11,A,R08+,-38629.978,39369.477,-27673.842,57404.248,ColumnPad,11,A,L08-,-38629.978,39369.477,-27603.842,56984.248
ColumnPad,11,A,L08-,-38629.978,39369.477,-27603.842,56984.248,ColumnPad,11,A,L08+,-38629.978,39369.477,-27533.842,57404.248
ColumnPad,11,A,R09-,-35979.978,43959.412,-27463.842,56984.248,ColumnPad,11,A,R09+,-35979.978,43959.412,-27393.842,57404.248
ColumnPad,11,A,R09+,-35979.978,43959.412,-27393.842,57404.248,ColumnPad,11,A,L09-,-35979.978,43959.412,-27323.842,56984.248
ColumnPad,11,A,L09-,-35979.978,43959.412,-27323.842,56984.248,ColumnPad,11,A,L09+,-35979.978,43959.412,-27253.842,57404.248
ColumnPad,11,A,R10-,-33329.978,48549.346,-27183.842,56984.248,ColumnPad,11,A,R10+,-33329.978,48549.346,-27113.842,57404.248
ColumnPad,11,A,R10+,-33329.978,48549.346,-27113.842,57404.248,ColumnPad,11,A,L10-,-33329.978,48549.346,-27043.842,56984.248
ColumnPad,11,A,L10-,-33329.978,48549.346,-27043.842,56984.248,ColumnPad,11,A,L10+,-33329.978,48549.346,-26973.842,57404.248
ColumnPad,11,A,R11-,-30679.978,53139.281,-26903.842,56984.248,ColumnPad,11,A,R11+,-30679.978,53139.281,-26833.842,57404.248
ColumnPad,11,A,R11+,-30679.978,53139.281,-26833.842,57404.248,ColumnPad,11,A,L11-,-30679.978,53139.281,-26763.842,56984.248
ColumnPad,11,A,L11-,-30679.978,53139.281,-26763.842,56984.248,ColumnPad,11,A,L11+,-30679.978,53139.281,-26693.842,57404.248
ColumnPad,10,A,R00-,-54529.978,2650.0,-24683.842,56984.248,ColumnPad,10,A,R00+,-54529.978,2650.0,-24613.842,57404.248
ColumnPad,10,A,R00+,-54529.978,2650.0,-24613.842,57404.248,ColumnPad,10,A,L00-,-54529.978,2650.0,-24543.842,56984.248
ColumnPad,10,A,L00-,-54529.978,2650.0,-24543.842,56984.248,ColumnPad,10,A,L00+,-54529.978,2650.0,-24473.842,57404.248
ColumnPad,10,A,R01-,-51879.978,7239.935,-24403.842,56984.248,ColumnPad,10,A,R01+,-51879.978,7239.935,-24333.842,57404.248
ColumnPad,10,A,R01+,-51879.978,7239.935,-24333.842,57404.248,ColumnPad,10,A,L01-,-51879.978,7239.935,-24263.842,56984.248
ColumnPad,10,A,L01-,-51879.978,7239.935,-24263.842,56984.248,ColumnPad,10,A,L01+,-51879.978,7239.935,-24193.842,57404.248
ColumnPad,10,A,R02-,-49229.978,11829.869,-24123.842,56984.248,ColumnPad,10,A,R02+,-49229.978,11829.869,-24053.842,57404.248
ColumnPad,10,A,R02+,-49229.978,11829.869,-24053.842,57404.248,ColumnPad,10,A,L02-,-49229.978,11829.869,-23983.842,56984.248
ColumnPad,10,A,L02-,-49229.978,11829.869,-23983.842,56984.248,ColumnPad,10,A,L02+,-49229.978,11829.869,-23913.842,57404.248
ColumnPad,10,A,R03-,-46579.978,16419.804,-23843.842,56984.248,ColumnPad,10,A,R03+,-46579.978,16419.804,-23773.842,57404.248
ColumnPad,10,A,R03+,-46579.978,16419.804,-23773.842,57404.248,ColumnPad,10,A,L03-,-46579.978,16419.804,-23703.842,56984.248
