in s,C1 in V,C4 in V
-4.96000E-08,5.37109E-01,-1.62674E+00
-4.94000E-08,4.39453E-01,-1.61209E+00
-4.92000E-08,3.41797E-01,-1.59744E+00
-4.90000E-08,4.39453E-01,-1.59744E+00
-4.88000E-08,4.39453E-01,-1.60232E+00
-4.86000E-08,3.41797E-01,-1.60232E+00
-4.84000E-08,2.44141E-01,-1.59744E+00
-4.82000E-08,4.39453E-01,-1.59744E+00
-4.80000E-08,7.32422E-01,-1.59744E+00
-4.78000E-08,9.27734E-01,-1.58279E+00
-4.76000E-08,8.30078E-01,-1.57791E+00
-4.74000E-08,6.34766E-01,-1.59256E+00
-4.72000E-08,4.39453E-01,-1.61697E+00
-4.70000E-08,4.39453E-01,-1.62674E+00
-4.68000E-08,4.39453E-01,-1.61209E+00
-4.66000E-08,5.37109E-01,-1.60232E+00
-4.64000E-08,6.34766E-01,-1.60232E+00
-4.62000E-08,7.32422E-01,-1.60721E+00
-4.60000E-08,5.37109E-01,-1.60721E+00
-4.58000E-08,3.41797E-01,-1.60232E+00
-4.56000E-08,4.39453E-01,-1.59744E+00
-4.54000E-08,8.30078E-01,-1.60232E+00
-4.52000E-08,9.27734E-01,-1.60232E+00
-4.50000E-08,6.34766E-01,-1.59744E+00
-4.48000E-08,3.41797E-01,-1.58279E+00
-4.46000E-08,3.41797E-01,-1.57791E+00
-4.44000E-08,5.37109E-01,-1.58768E+00
-4.42000E-08,5.37109E-01,-1.61209E+00
-4.40000E-08,3.41797E-01,-1.63162E+00
-4.38000E-08,3.41797E-01,-1.63162E+00
-4.36000E-08,3.41797E-01,-1.61697E+00
-4.34000E-08,1.46484E-01,-1.60232E+00
-4.32000E-08,4.88281E-02,-1.60232E+00
-4.30000E-08,1.46484E-01,-1.60721E+00
-4.28000E-08,3.41797E-01,-1.61697E+00
-4.26000E-08,3.41797E-01,-1.61697E+00
-4.24000E-08,3.41797E-01,-1.60232E+00
-4.22000E-08,4.39453E-01,-1.59256E+00
-4.20000E-08,6.34766E-01,-1.59256E+00
-4.18000E-08,7.32422E-01,-1.60721E+00
-4.16000E-08,7.32422E-01,-1.61697E+00
-4.14000E-08,6.34766E-01,-1.61209E+00
-4.12000E-08,5.37109E-01,-1.59744E+00
-4.10000E-08,4.39453E-01,-1.59744E+00
-4.08000E-08,4.39453E-01,-1.60232E+00
-4.06000E-08,5.37109E-01,-1.60721E+00
-4.04000E-08,6.34766E-01,-1.59744E+00
-4.02000E-08,5.37109E-01,-1.58768E+00
-4.00000E-08,4.39453E-01,-1.59256E+00
-3.98000E-08,5.37109E-01,-1.60232E+00
-3.96000E-08,5.37109E-01,-1.61209E+00
-3.94000E-08,4.39453E-01,-1.61209E+00
-3.92000E-08,3.41797E-01,-1.60721E+00
-3.90000E-08,5.37109E-01,-1.60232E+00
-3.88000E-08,7.32422E-01,-1.60232E+00
-3.86000E-08,8.30078E-01,-1.60721E+00
-3.84000E-08,7.32422E-01,-1.60721E+00
-3.82000E-08,7.32422E-01,-1.60721E+00
-3.80000E-08,7.32422E-01,-1.60721E+00
-3.78000E-08,7.32422E-01,-1.60721E+00
-3.76000E-08,6.34766E-01,-1.61209E+00
-3.74000E-08,5.37109E-01,-1.61697E+00
-3.72000E-08,4.39453E-01,-1.61209E+00
-3.70000E-08,5.37109E-01,-1.60721E+00
-3.68000E-08,7.32422E-01,-1.60232E+00
-3.66000E-08,9.27734E-01,-1.60232E+00
-3.64000E-08,9.27734E-01,-1.59744E+00
-3.62000E-08,6.34766E-01,-1.59256E+00
-3.60000E-08,3.41797E-01,-1.58768E+00
-3.58000E-08,3.41797E-01,-1.59256E+00
-3.56000E-08,3.41797E-01,-1.60232E+00
-3.54000E-08,2.44141E-01,-1.60232E+00
-3.52000E-08,3.41797E-01,-1.60232E+00
-3.50000E-08,6.34766E-01,-1.60232E+00
-3.48000E-08,7.32422E-01,-1.60232E+00
-3.46000E-08,5.37109E-01,-1.60232E+00
-3.44000E-08,3.41797E-01,-1.59744E+00
-3.42000E-08,4.39453E-01,-1.59256E+00
-3.40000E-08,6.34766E-01,-1.59256E+00
