range of distance,number in the range
"(425.7923655269043,533.9367181909831)",2664.0
"(7995.897052012422,8104.041404676501)",3.0
"(8320.33011000466,8428.474462668737)",3.0
"(12429.815511239654,12537.959863903732)",6.0
"(13294.970332552284,13403.114685216364)",3.0
"(13619.403390544521,13727.547743208599)",3.0
"(17188.16702845912,17296.3113811232)",9.0
"(17296.3113811232,17404.45573378728)",3.0
"(18702.187965756224,18810.332318420304)",3.0
"(19026.621023748463,19134.76537641254)",3.0
"(21513.941135022276,21622.085487686352)",3.0
"(21622.085487686352,21730.229840350432)",3.0
"(22054.662898342667,22162.807251006747)",3.0
"(22162.807251006747,22270.951603670826)",6.0
"(22487.240308998986,22595.38466166306)",3.0
"(24109.405598960166,24217.549951624245)",3.0
"(24433.838656952405,24541.98300961648)",3.0
"(26272.292652241744,26380.437004905823)",9.0
"(26488.5813575699,26596.72571023398)",3.0
"(27029.303120890294,27137.447473554374)",3.0
"(27245.591826218453,27353.736178882533)",3.0
"(27461.88053154661,27570.02488421069)",3.0
"(27678.169236874768,27786.313589538848)",3.0
"(29516.623232164107,29624.767584828187)",3.0
"(29841.056290156343,29949.200642820422)",3.0
"(30706.211111468976,30814.355464133052)",3.0
"(30814.355464133052,30922.49981679713)",3.0
"(31030.64416946121,31138.78852212529)",6.0
"(31246.93287478937,31355.077227453447)",3.0
"(31463.221580117526,31571.365932781606)",3.0
"(32112.087696102,32220.23204876608)",3.0
"(32328.376401430156,32436.520754094236)",3.0
"(32760.95381208647,32869.098164750554)",3.0
"(33085.38687007871,33193.53122274279)",3.0
"(34923.840865368045,35031.985218032125)",3.0
"(35356.418276024364,35464.56262868844)",9.0
"(35464.56262868844,35572.70698135252)",3.0
"(35572.70698135252,35680.8513340166)",3.0
"(35897.140039344755,36005.284392008834)",3.0
"(36005.284392008834,36113.428744672914)",3.0
"(36437.86180266515,36546.00615532923)",3.0
"(36654.15050799331,36762.29486065739)",3.0
"(37194.8722713137,37303.01662397778)",3.0
"(37411.16097664186,37519.30532930594)",3.0
"(38060.02709262633,38168.17144529041)",3.0
"(38384.46015061857,38492.60450328265)",3.0
"(39898.48108791567,40006.62544057975)",3.0
"(40006.62544057975,40114.76979324383)",3.0
"(40114.76979324383,40222.91414590791)",6.0
"(40331.05849857199,40439.20285123607)",3.0
"(40439.20285123607,40547.34720390015)",3.0
"(40547.34720390015,40655.49155656423)",3.0
"(40763.6359092283,40871.78026189238)",3.0
"(40871.78026189238,40979.92461455646)",3.0
"(40979.92461455646,41088.06896722054)",3.0
"(41628.79073054094,41736.93508320501)",3.0
"(41845.07943586909,41953.22378853317)",3.0
"(42277.65684652541,42385.80119918949)",3.0
"(42493.94555185357,42602.08990451765)",3.0
"(43467.24472583028,43575.38907849436)",3.0
"(43791.67778382251,43899.82213648659)",3.0
"(44440.54389980699,44548.68825247107)",3.0
"(44548.68825247107,44656.83260513514)",3.0
"(44656.83260513514,44764.97695779922)",3.0
"(44764.97695779922,44873.1213104633)",3.0
"(44873.1213104633,44981.26566312738)",3.0
"(44981.26566312738,45089.41001579146)",3.0
"(45413.8430737837,45521.98742644778)",3.0
"(45630.13177911185,45738.27613177593)",3.0
"(45738.27613177593,45846.42048444001)",3.0
"(45846.42048444001,45954.56483710409)",3.0
"(45954.56483710409,46062.70918976817)",3.0
"(46170.85354243225,46278.99789509633)",3.0
"(46819.71965841672,46927.8640110808)",3.0
"(47144.15271640896,47252.297069073036)",3.0
"(47468.585774401196,47576.73012706527)",3.0
"(47684.87447972935,47793.01883239343)",3.0
"(48766.31800637014,48874.462359034216)",3.0
"(49090.751064362375,49198.895417026455)",3.0
"(49198.895417026455,49307.039769690535)",12.0
"(49523.32847501869,49631.47282768277)",3.0
"(49739.617180346846,49847.761533010926)",6.0
"(49847.761533010926,49955.905885675005)",3.0
"(50604.772001659476,50712.916354323555)",3.0
"(50821.060706987635,50929.205059651715)",3.0
"(50929.205059651715,51037.349412315794)",3.0
"(51037.349412315794,51145.493764979874)",3.0
"(51253.63811764395,51361.78247030803)",3.0
"(51686.215528300265,51794.359880964344)",3.0
"(52118.79293895658,52226.93729162066)",3.0
"(52443.225996948815,52551.370349612895)",3.0
"(52551.370349612895,52659.514702276974)",3.0
"(52767.659054941054,52875.80340760513)",3.0
"(53632.813876253684,53740.95822891776)",6.0
"(53849.10258158184,53957.24693424592)",3.0
"(53957.24693424592,54065.39128691)",9.0
"(54173.53563957408,54281.67999223816)",3.0
"(54606.11305023039,54714.25740289447)",6.0
"(54714.25740289447,54822.40175555855)",6.0
"(54822.40175555855,54930.54610822263)",3.0
