range of distance,number in the range
"(3857.941575709121,4459.364610033224)",144.0
"(5060.787644357329,5662.210678681433)",78.0
"(5662.210678681433,6263.633713005536)",66.0
"(8669.325850301952,9270.748884626055)",72.0
"(9270.748884626055,9872.17191895016)",72.0
"(9872.17191895016,10473.594953274263)",39.0
"(10473.594953274263,11075.017987598367)",105.0
"(14082.133159218885,14683.556193542989)",72.0
"(14683.556193542989,15284.979227867094)",72.0
"(15284.979227867094,15886.402262191197)",78.0
"(15886.402262191197,16487.8252965153)",66.0
"(19494.94046813582,20096.363502459924)",72.0
"(20096.363502459924,20697.786536784028)",78.0
"(20697.786536784028,21299.209571108135)",138.0
"(24907.747777052755,25509.170811376855)",72.0
"(25509.170811376855,26110.59384570096)",147.0
"(26110.59384570096,26712.01688002507)",69.0
"(30320.55508596969,30921.978120293796)",45.0
"(30921.978120293796,31523.401154617895)",243.0
"(35733.36239488662,36334.78542921073)",111.0
"(36334.78542921073,36936.20846353483)",177.0
"(41146.169703803556,41747.592738127656)",117.0
"(41747.592738127656,42349.01577245176)",171.0
"(45957.55397839638,46558.97701272049)",39.0
"(46558.97701272049,47160.40004704459)",111.0
"(47160.40004704459,47761.8230813687)",138.0
"(51370.36128731332,51971.784321637424)",78.0
"(51971.784321637424,52573.20735596153)",72.0
"(52573.20735596153,53174.63039028563)",138.0
"(56181.74556190615,56783.16859623026)",6.0
"(56783.16859623026,57384.59163055436)",138.0
"(57384.59163055436,57986.014664878465)",6.0
"(57986.014664878465,58587.437699202565)",138.0
"(61594.552870823085,62195.97590514719)",72.0
"(62195.97590514719,62797.39893947129)",72.0
"(62797.39893947129,63398.8219737954)",3.0
"(63398.8219737954,64000.2450081195)",213.0
