range of distance,number in the range
"(59650.145899070805,59651.04710200967)",3.0
"(59693.403640136436,59694.304843075304)",3.0
"(59725.84694593566,59726.748148874525)",3.0
"(59836.69490741634,59837.5961103552)",3.0
"(59910.593548403456,59911.494751342325)",3.0
"(60023.24391576187,60024.14511870074)",3.0
"(61072.24413660344,61073.14533954231)",3.0
"(61096.57661595286,61097.477818891726)",3.0
"(61267.80517433765,61268.70637727652)",3.0
"(61348.913438835705,61349.814641774574)",3.0
"(62156.39127206083,62157.2924749997)",3.0
"(62508.76162115795,62509.66282409682)",3.0
"(62576.351841573,62577.25304451187)",3.0
"(62737.66716763025,62738.56837056912)",3.0
"(62847.61392617207,62848.515129110936)",3.0
"(62872.84760846035,62873.74881139922)",3.0
"(62906.19211719844,62907.09332013731)",3.0
"(63069.30984913343,63070.21105207229)",3.0
"(63072.01345795003,63072.9146608889)",3.0
"(63076.519472644366,63077.420675583235)",3.0
"(63189.16984000278,63190.07104294165)",3.0
"(63203.58908702466,63204.49028996353)",3.0
"(63684.83145637981,63685.73265931868)",3.0
"(63736.200023895246,63737.101226834115)",3.0
"(63749.718067978254,63750.61927091712)",3.0
"(63915.53940872985,63916.44061166871)",3.0
"(64730.226865465906,64731.128068404774)",3.0
"(64833.86520343565,64834.76640637452)",3.0
"(64854.5928710296,64855.49407396846)",3.0
"(65060.06714109135,65060.96834403021)",3.0
"(65070.88157635775,65071.78277929662)",3.0
"(65439.47357835449,65440.37478129336)",3.0
"(65810.76918916783,65811.6703921067)",3.0
"(65991.0097769413,65991.91097988017)",3.0
"(66341.57772016068,66342.47892309955)",3.0
"(66632.66626941483,66633.5674723537)",3.0
"(67378.86230279697,67379.76350573584)",3.0
"(67475.29101725577,67476.19222019464)",3.0
"(67493.31507603312,67494.21627897199)",3.0
"(67506.83312011613,67507.734323055)",3.0
"(67583.43536991985,67584.33657285872)",3.0
"(67640.2111550685,67641.11235800736)",3.0
"(67849.29023688572,67850.19143982459)",3.0
"(67874.52391917401,67875.42512211287)",3.0
"(67930.39850138378,67931.29970432265)",3.0
"(68077.29458041915,68078.19578335802)",3.0
"(68233.2026888432,68234.10389178207)",3.0
"(68572.95619679618,68573.85739973505)",3.0
"(68603.59709671767,68604.49829965654)",3.0
"(68685.6065641546,68686.50776709347)",3.0
"(68777.52926391906,68778.43046685793)",3.0
"(68979.39872222535,68980.2999251642)",3.0
"(69383.1376388379,69384.03884177677)",3.0
"(69519.21928260686,69520.12048554573)",3.0
"(70020.2881166171,70021.18931955597)",3.0
"(70274.42734537768,70275.32854831655)",6.0
"(70483.50642719491,70484.40763013378)",3.0
"(71637.94739188395,71638.84859482282)",3.0
"(71940.75157934337,71941.65278228224)",3.0
"(72016.45262620822,72017.35382914709)",3.0
"(72080.43803486781,72081.33923780666)",3.0
"(72175.06434344887,72175.96554638774)",3.0
"(72184.07637283755,72184.97757577641)",3.0
"(72250.76539031373,72251.6665932526)",3.0
"(72368.82297530535,72369.72417824421)",3.0
"(72678.8367862757,72679.73798921457)",3.0
"(72723.89693321908,72724.79813615794)",3.0
"(72874.39782400991,72875.29902694878)",3.0
"(73044.72517945584,73045.62638239471)",3.0
"(73186.214040858,73187.11524379687)",3.0
"(73282.64275531682,73283.54395825569)",3.0
"(73419.62560202465,73420.52680496352)",3.0
"(73580.03972514303,73580.9409280819)",3.0
"(73877.43669496925,73878.33789790812)",3.0
"(74097.33021205287,74098.23141499174)",3.0
