range of distance,number in the range
"(52753.634266258756,52813.77656969117)",3.0
"(52813.77656969117,52873.91887312358)",3.0
"(52934.06117655599,52994.2034799884)",33.0
"(52994.2034799884,53054.34578342081)",33.0
"(56602.74168593302,56662.88398936543)",3.0
"(56662.88398936543,56723.02629279784)",3.0
"(56783.16859623025,56843.31089966266)",33.0
"(56843.31089966266,56903.45320309507)",33.0
"(57023.737809959894,57083.880113392304)",3.0
"(57083.880113392304,57144.022416824715)",3.0
"(57204.164720257126,57264.30702368954)",33.0
"(57264.30702368954,57324.44932712195)",33.0
"(57865.73005801364,57925.87236144605)",3.0
"(57925.87236144605,57986.01466487846)",3.0
"(58046.15696831087,58106.29927174328)",33.0
"(58106.29927174328,58166.44157517569)",33.0
"(58166.44157517569,58226.5838786081)",3.0
"(58286.72618204051,58346.86848547292)",3.0
"(58407.01078890533,58467.15309233774)",33.0
"(58467.15309233774,58527.295395770154)",33.0
"(61774.97978112032,61835.12208455273)",3.0
"(61835.12208455273,61895.26438798514)",3.0
"(61955.40669141755,62015.54899484996)",33.0
"(62015.54899484996,62075.69129828236)",33.0
"(62195.975905147185,62256.118208579595)",3.0
"(62256.118208579595,62316.260512012006)",3.0
"(62376.40281544442,62436.54511887683)",33.0
"(62436.54511887683,62496.68742230924)",33.0
"(63278.53736693058,63338.67967036299)",3.0
"(63398.82197379539,63458.9642772278)",3.0
"(63458.9642772278,63519.10658066021)",3.0
"(63519.10658066021,63579.24888409262)",33.0
"(63579.24888409262,63639.391187525034)",33.0
"(63639.391187525034,63699.533490957445)",36.0
"(63699.533490957445,63759.675794389856)",3.0
"(63759.675794389856,63819.818097822266)",3.0
"(63819.818097822266,63879.96040125468)",33.0
"(63879.96040125468,63940.10270468709)",33.0
"(63940.10270468709,64000.2450081195)",33.0
