range of distance,number in the range
"(50882.70298800616,50883.784431532804)",3.0
"(50958.40403487102,50959.485478397655)",3.0
"(51104.398910967524,51105.48035449416)",3.0
"(51276.34843170341,51277.429875230046)",3.0
"(51692.70418946011,51693.78563298675)",3.0
"(52206.38986461449,52207.471308141125)",3.0
"(52512.43838265383,52513.51982618047)",3.0
"(52613.01263063142,52614.09407415806)",3.0
"(52829.30133595958,52830.38277948622)",3.0
"(53683.6417220058,53684.72316553244)",3.0
"(53735.55101128456,53736.6324548112)",3.0
"(53888.03454854091,53889.11599206755)",3.0
"(53984.28302241194,53985.36446593858)",3.0
"(54005.91189294476,54006.9933364714)",3.0
"(54011.31911057796,54012.4005541046)",3.0
"(54247.07379938565,54248.1552429123)",3.0
"(54612.60171139024,54613.68315491688)",3.0
"(54613.68315491688,54614.76459844352)",3.0
"(54753.18936985354,54754.270813380186)",3.0
"(54805.0986591323,54806.18010265894)",3.0
"(54845.11206961801,54846.19351314465)",3.0
"(55836.79578354761,55837.877227074256)",3.0
"(56018.47829602326,56019.559739549906)",3.0
"(56095.26078641476,56096.3422299414)",3.0
"(56178.5319379661,56179.613381492745)",3.0
"(56716.009370706575,56717.09081423321)",3.0
"(57134.52801551656,57135.6094590432)",3.0
"(57529.254902740446,57530.33634626709)",3.0
"(57748.78793864853,57749.869382175166)",3.0
"(57848.28074309948,57849.36218662612)",3.0
"(57971.56530513653,57972.64674866317)",3.0
"(58311.13857250174,58312.220016028376)",3.0
"(58340.337547721036,58341.41899124768)",3.0
"(58361.966418253854,58363.04786178049)",3.0
"(58399.81694168628,58400.898385212924)",3.0
"(58765.34485369087,58766.426297217506)",3.0
"(58807.521151229856,58808.6025947565)",3.0
"(58852.941779348774,58854.02322287541)",3.0
"(58919.991278000496,58921.07272152714)",3.0
"(59649.96565848303,59651.047102009674)",3.0
"(59693.22339954866,59694.304843075304)",3.0
"(59725.66670534789,59726.748148874525)",3.0
"(59835.97394506525,59837.055388591885)",3.0
"(59910.59354840346,59911.6749919301)",3.0
"(60023.063675174104,60024.14511870075)",3.0
"(61072.063896015665,61073.14533954231)",3.0
"(61095.855653601764,61096.93709712841)",3.0
"(61267.80517433765,61268.88661786429)",3.0
"(61348.91343883571,61349.99488236235)",3.0
"(62155.67030970974,62156.75175323638)",3.0
"(62509.30234292128,62510.383786447914)",3.0
"(62576.35184157301,62577.43328509964)",3.0
"(62737.48692704248,62738.568370569126)",3.0
"(62847.79416675984,62848.875610286486)",3.0
"(62872.66736787258,62873.74881139922)",3.0
"(62906.19211719844,62907.27356072509)",3.0
"(63069.49008972121,63070.57153324784)",3.0
"(63072.73442030112,63073.81586382777)",3.0
"(63075.97875088105,63077.06019440769)",3.0
"(63189.53032117833,63190.61176470497)",3.0
"(63203.58908702466,63204.6705305513)",3.0
"(63684.83145637981,63685.912899906456)",3.0
"(63735.65930213193,63736.74074565857)",3.0
"(63749.71806797826,63750.7995115049)",3.0
"(63916.26037108094,63917.341814607586)",3.0
"(64729.50590311481,64730.587346641456)",3.0
"(64833.32448167233,64834.40592519897)",3.0
"(64854.95335220514,64856.034795731786)",3.0
"(65060.42762226689,65061.509065793536)",3.0
"(65071.2420575333,65072.323501059946)",3.0
"(65440.014300117815,65441.09574364445)",3.0
"(65809.86798622897,65810.94942975561)",3.0
"(65990.46905517798,65991.55049870462)",3.0
"(66341.93820133623,66343.01964486287)",3.0
"(66632.84651000261,66633.92795352924)",3.0
"(67377.9610998581,67379.04254338476)",3.0
"(67475.29101725579,67476.37246078243)",3.0
"(67493.67555720867,67494.75700073532)",3.0
"(67506.65287952837,67507.734323055)",3.0
"(67583.43536991985,67584.5168134465)",3.0
"(67640.75187683183,67641.83332035846)",3.0
"(67848.38903394685,67849.4704774735)",3.0
"(67874.34367858623,67875.42512211288)",3.0
"(67930.57874197155,67931.6601854982)",3.0
"(68077.6550615947,68078.73650512134)",3.0
"(68233.38292943097,68234.46437295762)",3.0
"(68572.95619679618,68574.03764032283)",3.0
"(68603.23661554212,68604.31805906877)",3.0
"(68685.42632356682,68686.50776709347)",3.0
"(68777.34902333129,68778.43046685793)",3.0
"(68979.57896281312,68980.66040633975)",3.0
"(69382.95739825013,69384.03884177677)",3.0
"(69519.21928260688,69520.30072613352)",3.0
"(70019.92763544156,70021.0090789682)",3.0
"(70274.06686420215,70275.14830772878)",6.0
"(70483.86690837046,70484.9483518971)",3.0
"(71637.76715129618,71638.84859482282)",3.0
"(71940.5713387556,71941.65278228224)",3.0
"(72016.27238562045,72017.35382914709)",3.0
"(72080.07755369226,72081.1589972189)",3.0
"(72175.24458403664,72176.3260275633)",3.0
"(72183.89613224978,72184.97757577641)",3.0
"(72250.94563090151,72252.02707442814)",3.0
"(72368.82297530535,72369.904418832)",3.0
"(72679.19726745125,72680.2787109779)",3.0
"(72723.53645204353,72724.61789557016)",3.0
"(72874.93854577324,72876.01998929988)",3.0
"(73044.72517945584,73045.80662298248)",3.0
"(73186.39428144578,73187.47572497242)",3.0
"(73282.64275531682,73283.72419884345)",3.0
"(73418.90463967355,73419.9860832002)",3.0
"(73580.03972514303,73581.12116866968)",3.0
"(73877.43669496925,73878.51813849589)",3.0
"(74096.96973087733,74098.05117440397)",3.0
"(75243.29986911657,75244.3813126432)",3.0
"(75511.49786372347,75512.57930725013)",3.0
"(76621.05892205692,76622.14036558357)",3.0
"(76661.07233254264,76662.15377606927)",3.0
"(76676.21254191561,76677.29398544224)",3.0
"(76767.05379815343,76768.13524168008)",3.0
"(76783.27545105305,76784.35689457969)",3.0
"(76898.98990840362,76900.07135193025)",3.0
"(76923.86310951634,76924.944553043)",3.0
"(76934.67754478275,76935.7589883094)",3.0
"(77100.1384043588,77101.21984788544)",3.0
"(77186.65388649006,77187.7353300167)",3.0
"(77240.7260628221,77241.80750634873)",3.0
"(77247.21472398195,77248.29616750858)",3.0
"(77885.26640470001,77886.34784822665)",3.0
"(78075.6004653888,78076.68190891543)",3.0
"(79022.94499472612,79024.02643825275)",3.0
"(79258.6996835338,79259.78112706046)",3.0
"(80340.1432101746,80341.22465370124)",3.0
"(80412.59992645953,80413.68136998617)",3.0
"(81189.07637858762,81190.15782211426)",3.0
"(81256.12587723935,81257.20732076599)",3.0
"(81292.89495714514,81293.97640067177)",3.0
"(81312.36094062467,81313.4423841513)",3.0
"(81355.6186816903,81356.70012521694)",3.0
"(81382.65476985632,81383.73621338296)",3.0
"(81433.48261560843,81434.56405913508)",3.0
"(81549.197072959,81550.27851648565)",3.0
"(82022.86933762766,82023.9507811543)",3.0
"(82185.08586662379,82186.16731015043)",3.0
"(82950.74788348546,82951.8293270121)",3.0
"(83158.3850406005,83159.46648412713)",3.0
"(84062.47182887219,84063.55327239883)",3.0
"(84098.15946525134,84099.24090877798)",3.0
"(85665.17113535384,85666.25257888048)",3.0
"(85667.33402240713,85668.41546593377)",3.0
"(85775.4783750712,85776.55981859785)",3.0
"(85821.98044671676,85823.06189024339)",3.0
"(85859.83097014918,85860.91241367582)",3.0
"(85951.75366991365,85952.83511344029)",3.0
"(86271.86095379932,86272.94239732597)",3.0
"(86409.2042816827,86410.28572520934)",3.0
"(87009.40543896834,87010.48688249498)",3.0
"(87190.00650791735,87191.08795144399)",3.0
"(87931.87676719294,87932.95821071957)",6.0
"(90073.1349499417,90074.21639346833)",3.0
"(90102.333925161,90103.41536868764)",3.0
"(90364.04325860807,90365.12470213471)",3.0
"(90434.33708783971,90435.41853136636)",3.0
"(90616.01960031537,90617.101043842)",3.0
"(90729.57117061265,90730.6526141393)",3.0
"(91179.45167769522,91180.53312122186)",3.0
"(91335.1795455315,91336.26098905814)",3.0
"(91896.44873585807,91897.5301793847)",3.0
"(91927.81059813064,91928.89204165728)",3.0
"(94589.24311719362,94590.32456072027)",3.0
"(94642.23384999903,94643.31529352567)",3.0
"(95042.36795485612,95043.44939838276)",3.0
"(95135.37209814723,95136.45354167387)",3.0
"(95446.82783381977,95447.9092773464)",3.0
"(95579.8453875966,95580.92683112323)",3.0
"(95974.57227482047,95975.65371834712)",3.0
"(96036.214555839,96037.29599936564)",3.0
"(99199.4368712633,99200.51831478995)",3.0
"(99274.05647460152,99275.13791812817)",3.0
"(99799.63802854894,99800.71947207558)",3.0
"(99912.10815531958,99913.18959884622)",3.0
"(100154.35150528712,100155.43294881376)",3.0
"(100241.94843094502,100243.02987447167)",3.0
"(103889.65744630441,103890.73888983105)",3.0
"(103983.74303312215,103984.82447664879)",3.0
"(104421.72766141167,104422.80910493831)",3.0
"(104534.19778818231,104535.27923170895)",3.0
"(108436.04603230229,108437.12747582892)",3.0
"(108569.0635860791,108570.14502960573)",3.0
