range of distance,number in the range
"(425.7923655269043,426.8738090535451)",1764.0
"(469.0501065925358,470.1315501191766)",900.0
"(8079.168203563762,8080.249647090403)",3.0
"(8337.633206430912,8338.714649957552)",3.0
"(12436.3041723995,12437.38561592614)",3.0
"(12486.050574624975,12487.132018151615)",3.0
"(13350.123952410964,13351.205395937604)",3.0
"(13685.371445669609,13686.452889196249)",3.0
"(17193.574246092325,17194.655689618965)",3.0
"(17194.655689618965,17195.73713314561)",3.0
"(17245.483535371084,17246.564978897724)",3.0
"(17368.768097408134,17369.849540934774)",3.0
"(18720.57250570912,18721.65394923576)",3.0
"(19088.263304766988,19089.344748293628)",3.0
"(21596.130843046976,21597.212286573616)",3.0
"(21666.424672278627,21667.506115805267)",3.0
"(22107.653631148067,22108.735074674707)",3.0
"(22215.797983812146,22216.879427338787)",3.0
"(22267.707273090906,22268.788716617546)",3.0
"(22511.03206658508,22512.11351011172)",3.0
"(24124.54580833314,24125.62725185978)",3.0
"(24509.53970381726,24510.6211473439)",3.0
"(26277.69986987495,26278.78131340159)",3.0
"(26278.78131340159,26279.86275692823)",3.0
"(26355.563803793084,26356.645247319724)",3.0
"(26504.803010469514,26505.884453996154)",3.0
"(27115.81860302156,27116.9000465482)",3.0
"(27258.569148538143,27259.650592064783)",3.0
"(27484.590845606068,27485.672289132708)",3.0
"(27769.010493112593,27770.091936639234)",3.0
"(29543.659320330127,29544.740763856767)",3.0
"(29939.467651080657,29940.549094607297)",3.0
"(30770.01627954078,30771.09772306742)",3.0
"(30848.96165698556,30850.0431005122)",3.0
"(31065.250362313716,31066.331805840357)",3.0
"(31112.83387748591,31113.91532101255)",3.0
"(31339.937018080476,31341.018461607116)",3.0
"(31542.166957562305,31543.248401088946)",3.0
"(32172.648533593885,32173.729977120525)",3.0
"(32340.272280223206,32341.353723749846)",3.0
"(32776.094021459445,32777.17546498609)",3.0
"(33087.549757131994,33088.63120065863)",3.0
"(34971.424380540244,34972.50582406689)",3.0
"(35374.80281597726,35375.8842595039)",3.0
"(35387.78013829695,35388.861581823585)",3.0
"(35413.73478293633,35414.816226462965)",3.0
"(35529.44924028689,35530.53068381353)",3.0
"(35665.71112464363,35666.79256817027)",3.0
"(35956.61943331,35957.70087683664)",3.0
"(36039.89058486134,36040.97202838799)",3.0
"(36456.24634261805,36457.327786144684)",3.0
"(36696.3268055323,36697.40824905894)",3.0
"(37259.75888291215,37260.840326438796)",3.0
"(37444.68572596773,37445.767169494364)",3.0
"(38110.854938378456,38111.93638190509)",3.0
"(38441.776657530536,38442.85810105717)",3.0
"(39948.22749014115,39949.308933667795)",3.0
"(40032.58008521913,40033.661528745775)",3.0
"(40125.58422851024,40126.665672036885)",3.0
"(40139.642994356574,40140.72443788321)",3.0
"(40403.515214856925,40404.59665838356)",3.0
"(40462.99460882217,40464.076052348806)",3.0
"(40641.432790717896,40642.51423424454)",3.0
"(40812.300867927144,40813.38231145378)",3.0
"(40916.119446484656,40917.2008900113)",3.0
"(41025.34524267538,41026.426686202016)",3.0
"(41656.9082622336,41657.989705760236)",3.0
"(41924.024813313874,41925.10625684051)",3.0
"(42366.33521570995,42367.416659236595)",3.0
"(42564.239381085215,42565.32082461186)",3.0
"(43473.73338699012,43474.81483051676)",3.0
"(43818.71387198853,43819.79531551517)",3.0
"(44528.14082546489,44529.22226899153)",3.0
"(44569.23567947724,44570.31712300388)",3.0
"(44707.66045088726,44708.7418944139)",3.0
"(44836.35223055752,44837.43367408415)",3.0
"(44935.84503500847,44936.926478535104)",3.0
"(44982.34710665402,44983.42855018066)",3.0
"(45513.33587823465,45514.41732176129)",3.0
"(45725.29880945624,45726.38025298288)",3.0
"(45838.85037975352,45839.93182328017)",3.0
"(45921.04008777822,45922.12153130487)",3.0
"(46050.81331097512,46051.89475450176)",3.0
"(46251.9618069303,46253.04325045695)",3.0
"(46911.64235818118,46912.72380170783)",3.0
"(47200.38777979428,47201.46922332092)",3.0
"(47484.8074273008,47485.888870827446)",3.0
"(47693.52602794248,47694.60747146912)",3.0
"(48853.91493202804,48854.996375554685)",3.0
"(49129.683031321445,49130.76447484808)",3.0
"(49210.7912958195,49211.872739346145)",3.0
"(49216.198513452706,49217.27995697935)",3.0
"(49224.850061665835,49225.93150519247)",3.0
"(49231.338722825676,49232.42016635232)",3.0
"(49608.76251362331,49609.843957149955)",3.0
"(49773.14192967271,49774.223373199355)",3.0
"(49818.56255779163,49819.644001318266)",3.0
"(49889.93783054992,49891.019274076556)",3.0
"(50644.78541214519,50645.866855671826)",3.0
