Sum of ND is 3528
10
8
8
8
8
10
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
10
8
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
10
8
8
8
8
8
10
8
8
8
8
10
8
8
8
8
8
8
10
8
8
8
8
10
8
8
8
8
8
8
10
8
8
8
10
8
8
8
8
8
8
8
10
8
8
8
10
8
8
8
8
8
8
8
10
8
8
10
8
8
8
8
8
8
8
8
10
8
8
10
8
8
8
8
8
8
8
8
10
8
10
8
8
8
8
8
8
8
8
8
10
8
10
8
8
8
8
8
8
8
8
8
10
10
8
8
8
8
8
8
8
8
8
8
10
10
8
8
8
8
8
8
8
8
8
8
10
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
