range of distance,number in the range
"(59905.18633077026,59916.00076603666)",3.0
"(60013.33068343433,60024.14511870074)",3.0
"(61062.3309042759,61073.14533954231)",3.0
"(61094.77421007512,61105.58864534153)",3.0
"(61267.80517433765,61278.61960960406)",3.0
"(61343.5062212025,61354.32065646891)",3.0
"(62154.5888661831,62165.4033014495)",3.0
"(62500.65079470815,62511.46522997456)",3.0
"(62576.351841573,62587.16627683941)",3.0
"(62727.75393530271,62738.56837056912)",3.0
"(62846.7127232332,62857.52715849961)",3.0
"(62868.34159376602,62879.15602903242)",3.0
"(62900.78489956524,62911.59933483165)",3.0
"(63063.00142856136,63073.81586382777)",6.0
"(63073.81586382777,63084.63029909417)",3.0
"(63181.96021649185,63192.77465175825)",3.0
"(63203.58908702466,63214.40352229107)",3.0
"(63679.42423874661,63690.23867401302)",3.0
"(63733.49641507865,63744.31085034506)",3.0
"(63744.31085034506,63755.12528561146)",3.0
"(63906.52737934117,63917.34181460758)",3.0
"(64728.42445958817,64739.23889485458)",3.0
"(64825.75437698584,64836.56881225225)",3.0
"(64847.38324751866,64858.19768278507)",3.0
"(65052.85751758041,65063.67195284682)",3.0
"(65063.67195284682,65074.486388113226)",3.0
"(65431.362751904686,65442.17718717109)",3.0
"(65809.86798622896,65820.68242149537)",3.0
"(65982.8989504915,65993.7133857579)",3.0
"(66339.77531428295,66350.58974954936)",3.0
"(66631.76506647597,66642.57950174237)",3.0
"(67377.9610998581,67388.77553512451)",3.0
"(67475.29101725577,67486.10545252218)",3.0
"(67486.10545252218,67496.9198877886)",3.0
"(67496.9198877886,67507.734323055)",3.0
"(67583.43536991985,67594.24980518626)",3.0
"(67637.5075462519,67648.32198151831)",3.0
"(67842.98181631365,67853.79625158006)",3.0
"(67864.61068684647,67875.42512211287)",3.0
"(67929.49729844491,67940.31173371132)",3.0
"(68070.08495690822,68080.89939217462)",3.0
"(68232.30148590433,68243.11592117074)",3.0
"(68567.54897916298,68578.36341442939)",3.0
"(68599.9922849622,68610.8067202286)",3.0
"(68675.69333182706,68686.50776709347)",3.0
"(68773.02324922473,68783.83768449114)",3.0
"(68978.49751928648,68989.31195455289)",3.0
"(69378.63162414357,69389.44605940998)",3.0
"(69519.21928260686,69530.03371787327)",3.0
"(70016.68330486164,70027.49774012803)",3.0
"(70265.41531598901,70276.22975125542)",6.0
"(70481.70402131717,70492.51845658358)",3.0
"(71628.03415955641,71638.84859482282)",3.0
"(71930.83834701583,71941.65278228224)",3.0
"(72006.53939388068,72017.35382914709)",3.0
"(72071.42600547912,72082.24044074553)",3.0
"(72168.75592287681,72179.5703581432)",3.0
"(72179.5703581432,72190.38479340961)",3.0
"(72244.45696974166,72255.27140500807)",3.0
"(72363.41575767215,72374.23019293856)",3.0
"(72677.03438039798,72687.84881566437)",3.0
"(72720.2921214636,72731.10655673001)",3.0
"(72871.69421519332,72882.50865045973)",3.0
"(73044.72517945584,73055.53961472225)",3.0
"(73185.31283791915,73196.12727318554)",3.0
"(73282.64275531682,73293.45719058323)",3.0
"(73412.4159785137,73423.23041378011)",3.0
"(73574.63250750983,73585.44694277624)",3.0
"(73877.43669496925,73888.25113023566)",3.0
"(74093.72540029741,74104.53983556382)",3.0
"(75240.05553853665,75250.86997380304)",3.0
"(75510.41642019684,75521.23085546325)",3.0
"(76613.48881737044,76624.30325263685)",3.0
"(76656.74655843608,76667.56099370249)",3.0
"(76667.56099370249,76678.37542896888)",3.0
"(76764.89091110016,76775.70534636657)",3.0
"(76775.70534636657,76786.51978163296)",3.0
"(76894.66413429704,76905.47856956345)",3.0
"(76916.29300482986,76927.10744009627)",3.0
"(76927.10744009627,76937.92187536268)",3.0
"(77100.13840435879,77110.9528396252)",3.0
"(77186.65388649006,77197.46832175646)",3.0
"(77240.7260628221,77251.5404980885)",6.0
"(77878.77774354017,77889.59217880658)",3.0
"(78073.4375783355,78084.25201360192)",3.0
"(79014.293446513,79025.1078817794)",3.0
"(79252.21102237396,79263.02545764037)",3.0
"(80333.65454901475,80344.46898428116)",3.0
"(80409.3555958796,80420.17003114602)",3.0
"(81187.99493506097,81198.80937032738)",3.0
"(81252.88154665942,81263.69598192583)",3.0
"(81285.32485245864,81296.13928772505)",3.0
"(81306.95372299146,81317.76815825787)",3.0
"(81350.2114640571,81361.0258993235)",3.0
"(81382.65476985632,81393.46920512272)",3.0
"(81425.91251092195,81436.72694618836)",3.0
"(81544.87129885243,81555.68573411884)",3.0
"(82020.70645057438,82031.52088584079)",3.0
"(82182.9229795705,82193.73741483691)",3.0
"(82950.74788348546,82961.56231875186)",3.0
"(83156.2221535472,83167.03658881361)",3.0
"(84053.82028065906,84064.63471592547)",3.0
"(84097.0780217247,84107.8924569911)",3.0
"(85665.17113535384,85675.98557062025)",6.0
"(85773.31548801792,85784.12992328433)",3.0
"(85816.57322908354,85827.38766434995)",3.0
"(85859.83097014918,85870.64540541559)",3.0
"(85946.34645228044,85957.16088754685)",3.0
"(86270.77951027268,86281.59394553909)",3.0
"(86400.55273346958,86411.36716873597)",3.0
"(87006.16110838842,87016.97554365483)",3.0
"(87190.00650791735,87200.82094318376)",3.0
"(87925.38810603309,87936.2025412995)",6.0
"(90066.64628878185,90077.46072404826)",3.0
"(90099.08959458106,90109.90402984747)",3.0
"(90358.63604097486,90369.45047624127)",3.0
"(90434.33708783971,90445.15152310612)",3.0
"(90607.36805210223,90618.18248736864)",3.0
"(90726.32684003272,90737.14127529913)",3.0
"(91169.71868595545,91180.53312122186)",3.0
"(91331.93521495156,91342.74965021797)",3.0
"(91894.28584880478,91905.10028407119)",3.0
"(91926.729154604,91937.5435898704)",3.0
"(94587.08023014035,94597.89466540675)",3.0
"(94641.15240647238,94651.96684173879)",3.0
"(95041.28651132947,95052.10094659588)",3.0
"(95127.80199346073,95138.61642872714)",3.0
"(95441.42061618656,95452.23505145297)",3.0
"(95571.19383938346,95582.00827464987)",3.0
"(95971.32794424055,95982.14237950696)",3.0
"(96036.21455583899,96047.0289911054)",3.0
"(99194.0296536301,99204.84408889651)",3.0
"(99269.73070049495,99280.54513576136)",3.0
"(99799.63802854894,99810.45246381535)",3.0
"(99907.78238121302,99918.59681647943)",3.0
"(100145.69995707399,100156.5143923404)",3.0
"(100232.21543920526,100243.02987447166)",3.0
"(103887.49455925112,103898.30899451753)",3.0
"(103974.01004138238,103984.82447664879)",3.0
"(104417.40188730511,104428.21632257152)",3.0
"(104525.54623996919,104536.36067523558)",3.0
"(108429.55737114242,108440.37180640883)",3.0
"(108559.33059433932,108570.14502960573)",3.0
