in s,C1 in V,C4 in V
-1.292E-07,5.37109E-01,-2.03689E+00
-1.288E-07,3.41797E-01,-2.02713E+00
-1.284E-07,3.41797E-01,-2.02225E+00
-1.280E-07,4.39453E-01,-2.02225E+00
-1.276E-07,3.41797E-01,-2.01736E+00
-1.272E-07,7.32422E-01,-2.03201E+00
-1.268E-07,7.32422E-01,-2.01736E+00
-1.264E-07,4.39453E-01,-2.02713E+00
-1.260E-07,8.30078E-01,-2.02713E+00
-1.256E-07,7.32422E-01,-2.01248E+00
-1.252E-07,5.37109E-01,-2.03201E+00
-1.248E-07,7.32422E-01,-2.01736E+00
-1.244E-07,6.34766E-01,-2.02713E+00
-1.240E-07,5.37109E-01,-2.02713E+00
-1.236E-07,6.34766E-01,-2.01736E+00
-1.232E-07,6.34766E-01,-2.02225E+00
-1.228E-07,6.34766E-01,-2.01248E+00
-1.224E-07,5.37109E-01,-2.03201E+00
-1.220E-07,5.37109E-01,-2.01736E+00
-1.216E-07,7.32422E-01,-2.03689E+00
-1.212E-07,3.41797E-01,-2.01248E+00
-1.208E-07,7.32422E-01,-2.04178E+00
-1.204E-07,6.34766E-01,-2.03201E+00
-1.200E-07,6.34766E-01,-2.04178E+00
-1.196E-07,1.12305E+00,-2.02713E+00
-1.192E-07,9.27734E-01,-2.03201E+00
-1.188E-07,3.41797E-01,-2.02225E+00
-1.184E-07,9.27734E-01,-2.02713E+00
-1.180E-07,3.41797E-01,-2.03201E+00
-1.176E-07,4.39453E-01,-2.04178E+00
-1.172E-07,3.41797E-01,-2.03689E+00
-1.168E-07,5.37109E-01,-2.04178E+00
-1.164E-07,2.44141E-01,-2.02225E+00
-1.160E-07,7.32422E-01,-2.02713E+00
-1.156E-07,7.32422E-01,-2.02225E+00
-1.152E-07,4.39453E-01,-2.02225E+00
-1.148E-07,4.39453E-01,-2.03201E+00
-1.144E-07,1.02539E+00,-2.02713E+00
-1.140E-07,6.34766E-01,-2.02713E+00
-1.136E-07,5.37109E-01,-2.01736E+00
-1.132E-07,1.02539E+00,-2.03689E+00
-1.128E-07,6.34766E-01,-2.01736E+00
-1.124E-07,7.32422E-01,-2.02713E+00
-1.120E-07,9.27734E-01,-2.04178E+00
-1.116E-07,7.32422E-01,-2.02225E+00
-1.112E-07,7.32422E-01,-2.01248E+00
-1.108E-07,9.27734E-01,-2.01736E+00
-1.104E-07,6.34766E-01,-2.04178E+00
-1.100E-07,4.39453E-01,-2.03201E+00
-1.096E-07,6.34766E-01,-2.03689E+00
-1.092E-07,2.44141E-01,-2.03201E+00
-1.088E-07,6.34766E-01,-2.02225E+00
-1.084E-07,4.39453E-01,-2.01736E+00
-1.080E-07,4.39453E-01,-2.02713E+00
-1.076E-07,6.34766E-01,-2.02225E+00
-1.072E-07,6.34766E-01,-2.02225E+00
-1.068E-07,1.02539E+00,-2.04178E+00
-1.064E-07,1.02539E+00,-2.02713E+00
