Grouptype,GroupIndex,Group Section,Pad Label,Pixel X center,Pixel Y center,Pad X center,Pad Y center
RowPad,1,A,T10+,-51879.978,7239.935,-61326.616,8587.681
RowPad,1,A,T08-,-41279.978,7239.935,-61277.886,7832.085
RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925
RowPad,1,A,B09-,-46579.978,7239.935,-61207.886,7953.329
RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168
RowPad,1,A,T09-,-46579.978,7239.935,-61137.886,8074.572
RowPad,1,A,B10-,-51879.978,7239.935,-61067.886,8195.816
RowPad,1,A,T10-,-51879.978,7239.935,-60997.886,8317.059
RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303
RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546
RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257
RowPad,2,A,B00+,3770.022,11829.869,-60146.616,10631.501
RowPad,2,A,T00+,3770.022,11829.869,-60076.616,10752.745
RowPad,2,A,B01+,-1529.978,11829.869,-60006.616,10873.988
RowPad,2,A,T01+,-1529.978,11829.869,-59936.616,10995.232
RowPad,2,A,X00-,3770.022,11829.869,-59887.886,10239.636
RowPad,2,A,B02+,-6829.978,11829.869,-59866.616,11116.475
RowPad,2,A,B00-,3770.022,11829.869,-59817.886,10360.879
RowPad,2,A,T02+,-6829.978,11829.869,-59796.616,11237.719
RowPad,2,A,T00-,3770.022,11829.869,-59747.886,10482.123
RowPad,2,A,B03+,-12129.978,11829.869,-59726.616,11358.962
RowPad,2,A,B01-,-1529.978,11829.869,-59677.886,10603.366
RowPad,2,A,T03+,-12129.978,11829.869,-59656.616,11480.206
RowPad,2,A,T01-,-1529.978,11829.869,-59607.886,10724.61
RowPad,2,A,B04+,-17429.978,11829.869,-59586.616,11601.449
RowPad,2,A,B02-,-6829.978,11829.869,-59537.886,10845.853
RowPad,2,A,T04+,-17429.978,11829.869,-59516.616,11722.693
RowPad,2,A,T02-,-6829.978,11829.869,-59467.886,10967.097
RowPad,2,A,B05+,-22729.978,11829.869,-59446.616,11843.937
RowPad,2,A,B03-,-12129.978,11829.869,-59397.886,11088.341
RowPad,2,A,T05+,-22729.978,11829.869,-59376.616,11965.18
RowPad,2,A,T03-,-12129.978,11829.869,-59327.886,11209.584
RowPad,2,A,B06+,-28029.978,11829.869,-59306.616,12086.424
RowPad,2,A,B04-,-17429.978,11829.869,-59257.886,11330.828
RowPad,2,A,T06+,-28029.978,11829.869,-59236.616,12207.667
RowPad,2,A,T04-,-17429.978,11829.869,-59187.886,11452.071
RowPad,2,A,B07+,-33329.978,11829.869,-59166.616,12328.911
RowPad,2,A,B05-,-22729.978,11829.869,-59117.886,11573.315
RowPad,2,A,T07+,-33329.978,11829.869,-59096.616,12450.154
RowPad,2,A,T05-,-22729.978,11829.869,-59047.886,11694.558
RowPad,2,A,B08+,-38629.978,11829.869,-59026.616,12571.398
RowPad,2,A,B06-,-28029.978,11829.869,-58977.886,11815.802
RowPad,2,A,T08+,-38629.978,11829.869,-58956.616,12692.642
RowPad,2,A,T06-,-28029.978,11829.869,-58907.886,11937.046
RowPad,2,A,B09+,-43929.978,11829.869,-58886.616,12813.885
RowPad,2,A,B07-,-33329.978,11829.869,-58837.886,12058.289
RowPad,2,A,T09+,-43929.978,11829.869,-58816.616,12935.129
RowPad,2,A,T07-,-33329.978,11829.869,-58767.886,12179.533
RowPad,2,A,B10+,-49229.978,11829.869,-58746.616,13056.372
RowPad,2,A,B08-,-38629.978,11829.869,-58697.886,12300.776
RowPad,2,A,T10+,-49229.978,11829.869,-58676.616,13177.616
RowPad,2,A,T08-,-38629.978,11829.869,-58627.886,12422.02
RowPad,2,A,B11+,-54529.978,11829.869,-58606.616,13298.859
RowPad,2,A,B09-,-43929.978,11829.869,-58557.886,12543.263
RowPad,2,A,T11+,-54529.978,11829.869,-58536.616,13420.103
RowPad,2,A,T09-,-43929.978,11829.869,-58487.886,12664.507
RowPad,2,A,B10-,-49229.978,11829.869,-58417.886,12785.75
RowPad,2,A,T10-,-49229.978,11829.869,-58347.886,12906.994
RowPad,2,A,B11-,-54529.978,11829.869,-58277.886,13028.238
RowPad,2,A,T11-,-54529.978,11829.869,-58207.886,13149.481
RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192
RowPad,3,A,B00+,6420.022,16419.804,-57496.616,15221.436
RowPad,3,A,T00+,6420.022,16419.804,-57426.616,15342.679
RowPad,3,A,B01+,1120.022,16419.804,-57356.616,15463.923
RowPad,3,A,T01+,1120.022,16419.804,-57286.616,15585.166
RowPad,3,A,X00-,6420.022,16419.804,-57237.886,14829.57
RowPad,3,A,B02+,-4179.978,16419.804,-57216.616,15706.41
RowPad,3,A,B00-,6420.022,16419.804,-57167.886,14950.814
RowPad,3,A,T02+,-4179.978,16419.804,-57146.616,15827.653
RowPad,3,A,T00-,6420.022,16419.804,-57097.886,15072.057
RowPad,3,A,B03+,-9479.978,16419.804,-57076.616,15948.897
RowPad,3,A,B01-,1120.022,16419.804,-57027.886,15193.301
RowPad,3,A,T03+,-9479.978,16419.804,-57006.616,16070.141
RowPad,3,A,T01-,1120.022,16419.804,-56957.886,15314.545
RowPad,3,A,B04+,-14779.978,16419.804,-56936.616,16191.384
RowPad,3,A,B02-,-4179.978,16419.804,-56887.886,15435.788
RowPad,3,A,T04+,-14779.978,16419.804,-56866.616,16312.628
RowPad,3,A,T02-,-4179.978,16419.804,-56817.886,15557.032
RowPad,3,A,B05+,-20079.978,16419.804,-56796.616,16433.871
RowPad,3,A,B03-,-9479.978,16419.804,-56747.886,15678.275
RowPad,3,A,T05+,-20079.978,16419.804,-56726.616,16555.115
RowPad,3,A,T03-,-9479.978,16419.804,-56677.886,15799.519
RowPad,3,A,B06+,-25379.978,16419.804,-56656.616,16676.358
RowPad,3,A,B04-,-14779.978,16419.804,-56607.886,15920.762
RowPad,3,A,T06+,-25379.978,16419.804,-56586.616,16797.602
RowPad,3,A,T04-,-14779.978,16419.804,-56537.886,16042.006
RowPad,3,A,B07+,-30679.978,16419.804,-56516.616,16918.845
RowPad,3,A,B05-,-20079.978,16419.804,-56467.886,16163.249
RowPad,3,A,T07+,-30679.978,16419.804,-56446.616,17040.089
RowPad,3,A,T05-,-20079.978,16419.804,-56397.886,16284.493
RowPad,3,A,B08+,-35979.978,16419.804,-56376.616,17161.333
RowPad,3,A,B06-,-25379.978,16419.804,-56327.886,16405.737
RowPad,3,A,T08+,-35979.978,16419.804,-56306.616,17282.576
RowPad,3,A,T06-,-25379.978,16419.804,-56257.886,16526.98
RowPad,3,A,B09+,-41279.978,16419.804,-56236.616,17403.82
RowPad,3,A,B07-,-30679.978,16419.804,-56187.886,16648.224
RowPad,3,A,T09+,-41279.978,16419.804,-56166.616,17525.063
RowPad,3,A,T07-,-30679.978,16419.804,-56117.886,16769.467
RowPad,3,A,B10+,-46579.978,16419.804,-56096.616,17646.307
RowPad,3,A,B08-,-35979.978,16419.804,-56047.886,16890.711
RowPad,3,A,T10+,-46579.978,16419.804,-56026.616,17767.55
RowPad,3,A,T08-,-35979.978,16419.804,-55977.886,17011.954
RowPad,3,A,B11+,-51879.978,16419.804,-55956.616,17888.794
RowPad,3,A,B09-,-41279.978,16419.804,-55907.886,17133.198
RowPad,3,A,T11+,-51879.978,16419.804,-55886.616,18010.037
RowPad,3,A,T09-,-41279.978,16419.804,-55837.886,17254.441
RowPad,3,A,B10-,-46579.978,16419.804,-55767.886,17375.685
RowPad,3,A,T10-,-46579.978,16419.804,-55697.886,17496.929
RowPad,3,A,B11-,-51879.978,16419.804,-55627.886,17618.172
RowPad,3,A,T11-,-51879.978,16419.804,-55557.886,17739.416
RowPad,4,A,X00+,9070.022,21009.739,-54916.616,19690.127
RowPad,4,A,B00+,9070.022,21009.739,-54846.616,19811.37
RowPad,4,A,T00+,9070.022,21009.739,-54776.616,19932.614
RowPad,4,A,B01+,3770.022,21009.739,-54706.616,20053.857
RowPad,4,A,T01+,3770.022,21009.739,-54636.616,20175.101
RowPad,4,A,X00-,9070.022,21009.739,-54587.886,19419.505
RowPad,4,A,B02+,-1529.978,21009.739,-54566.616,20296.345
RowPad,4,A,B00-,9070.022,21009.739,-54517.886,19540.749
RowPad,4,A,T02+,-1529.978,21009.739,-54496.616,20417.588
RowPad,4,A,T00-,9070.022,21009.739,-54447.886,19661.992
RowPad,4,A,B03+,-6829.978,21009.739,-54426.616,20538.832
RowPad,4,A,B01-,3770.022,21009.739,-54377.886,19783.236
RowPad,4,A,T03+,-6829.978,21009.739,-54356.616,20660.075
RowPad,4,A,T01-,3770.022,21009.739,-54307.886,19904.479
RowPad,4,A,B04+,-12129.978,21009.739,-54286.616,20781.319
RowPad,4,A,B02-,-1529.978,21009.739,-54237.886,20025.723
RowPad,4,A,T04+,-12129.978,21009.739,-54216.616,20902.562
RowPad,4,A,T02-,-1529.978,21009.739,-54167.886,20146.966
RowPad,4,A,B05+,-17429.978,21009.739,-54146.616,21023.806
RowPad,4,A,B03-,-6829.978,21009.739,-54097.886,20268.21
RowPad,4,A,T05+,-17429.978,21009.739,-54076.616,21145.049
RowPad,4,A,T03-,-6829.978,21009.739,-54027.886,20389.453
RowPad,4,A,B06+,-22729.978,21009.739,-54006.616,21266.293
RowPad,4,A,B04-,-12129.978,21009.739,-53957.886,20510.697
RowPad,4,A,T06+,-22729.978,21009.739,-53936.616,21387.537
RowPad,4,A,T04-,-12129.978,21009.739,-53887.886,20631.941
RowPad,4,A,B07+,-28029.978,21009.739,-53866.616,21508.78
RowPad,4,A,B05-,-17429.978,21009.739,-53817.886,20753.184
RowPad,4,A,T07+,-28029.978,21009.739,-53796.616,21630.024
RowPad,4,A,T05-,-17429.978,21009.739,-53747.886,20874.428
RowPad,4,A,B08+,-33329.978,21009.739,-53726.616,21751.267
