Group Section,Pad X center,Pad Y center,Pixel X center,Pixel Y center
A,-58956.616,12692.642,-38629.978,11829.869
A,-58907.886,11937.046,-28029.978,11829.869
A,-58886.616,12813.885,-43929.978,11829.869
A,-58837.886,12058.289,-33329.978,11829.869
A,-58816.616,12935.129,-43929.978,11829.869
A,-58767.886,12179.533,-33329.978,11829.869
A,-58746.616,13056.372,-49229.978,11829.869
A,-58697.886,12300.776,-38629.978,11829.869
A,-58676.616,13177.616,-49229.978,11829.869
A,-58627.886,12422.02,-38629.978,11829.869
A,-58606.616,13298.859,-54529.978,11829.869
A,-58557.886,12543.263,-43929.978,11829.869
A,-58536.616,13420.103,-54529.978,11829.869
A,-58487.886,12664.507,-43929.978,11829.869
A,-58417.886,12785.75,-49229.978,11829.869
A,-58347.886,12906.994,-49229.978,11829.869
A,-58277.886,13028.238,-54529.978,11829.869
A,-58207.886,13149.481,-54529.978,11829.869
A,-57566.616,15100.192,6420.022,16419.804
A,-57496.616,15221.436,6420.022,16419.804
A,-57426.616,15342.679,6420.022,16419.804
A,-57356.616,15463.923,1120.022,16419.804
A,-57286.616,15585.166,1120.022,16419.804
A,-57237.886,14829.57,6420.022,16419.804
A,-57216.616,15706.41,-4179.978,16419.804
A,-57167.886,14950.814,6420.022,16419.804
A,-57146.616,15827.653,-4179.978,16419.804
A,-57097.886,15072.057,6420.022,16419.804
A,-57076.616,15948.897,-9479.978,16419.804
A,-57027.886,15193.301,1120.022,16419.804
A,-57006.616,16070.141,-9479.978,16419.804
A,-56957.886,15314.545,1120.022,16419.804
A,-56936.616,16191.384,-14779.978,16419.804
A,-56887.886,15435.788,-4179.978,16419.804
A,-56866.616,16312.628,-14779.978,16419.804
A,-56817.886,15557.032,-4179.978,16419.804
A,-56796.616,16433.871,-20079.978,16419.804
A,-56747.886,15678.275,-9479.978,16419.804
A,-56726.616,16555.115,-20079.978,16419.804
A,-56677.886,15799.519,-9479.978,16419.804
A,-56656.616,16676.358,-25379.978,16419.804
A,-56607.886,15920.762,-14779.978,16419.804
A,-56586.616,16797.602,-25379.978,16419.804
A,-56537.886,16042.006,-14779.978,16419.804
A,-56516.616,16918.845,-30679.978,16419.804
A,-56467.886,16163.249,-20079.978,16419.804
A,-56446.616,17040.089,-30679.978,16419.804
A,-56397.886,16284.493,-20079.978,16419.804
A,-56376.616,17161.333,-35979.978,16419.804
A,-56327.886,16405.737,-25379.978,16419.804
A,-56306.616,17282.576,-35979.978,16419.804
A,-56257.886,16526.98,-25379.978,16419.804
A,-56236.616,17403.82,-41279.978,16419.804
A,-56187.886,16648.224,-30679.978,16419.804
A,-56166.616,17525.063,-41279.978,16419.804
A,-56117.886,16769.467,-30679.978,16419.804
A,-56096.616,17646.307,-46579.978,16419.804
A,-56047.886,16890.711,-35979.978,16419.804
A,-56026.616,17767.55,-46579.978,16419.804
A,-55977.886,17011.954,-35979.978,16419.804
A,-55956.616,17888.794,-51879.978,16419.804
A,-55907.886,17133.198,-41279.978,16419.804
A,-55886.616,18010.037,-51879.978,16419.804
A,-55837.886,17254.441,-41279.978,16419.804
A,-55767.886,17375.685,-46579.978,16419.804
A,-55697.886,17496.929,-46579.978,16419.804
A,-55627.886,17618.172,-51879.978,16419.804
A,-55557.886,17739.416,-51879.978,16419.804
A,-54916.616,19690.127,9070.022,21009.739
A,-54846.616,19811.37,9070.022,21009.739
A,-54776.616,19932.614,9070.022,21009.739
A,-54706.616,20053.857,3770.022,21009.739
A,-54636.616,20175.101,3770.022,21009.739
A,-54587.886,19419.505,9070.022,21009.739
A,-54566.616,20296.345,-1529.978,21009.739
A,-54517.886,19540.749,9070.022,21009.739
A,-54496.616,20417.588,-1529.978,21009.739
A,-54447.886,19661.992,9070.022,21009.739
A,-54426.616,20538.832,-6829.978,21009.739
A,-54377.886,19783.236,3770.022,21009.739
A,-54356.616,20660.075,-6829.978,21009.739
A,-54307.886,19904.479,3770.022,21009.739
A,-54286.616,20781.319,-12129.978,21009.739
A,-54237.886,20025.723,-1529.978,21009.739
A,-54216.616,20902.562,-12129.978,21009.739
A,-54167.886,20146.966,-1529.978,21009.739
A,-54146.616,21023.806,-17429.978,21009.739
A,-54097.886,20268.21,-6829.978,21009.739
A,-54076.616,21145.049,-17429.978,21009.739
A,-54027.886,20389.453,-6829.978,21009.739
A,-54006.616,21266.293,-22729.978,21009.739
A,-53957.886,20510.697,-12129.978,21009.739
A,-53936.616,21387.537,-22729.978,21009.739
A,-53887.886,20631.941,-12129.978,21009.739
A,-53866.616,21508.78,-28029.978,21009.739
A,-53817.886,20753.184,-17429.978,21009.739
A,-53796.616,21630.024,-28029.978,21009.739
A,-53747.886,20874.428,-17429.978,21009.739
A,-53726.616,21751.267,-33329.978,21009.739
A,-53677.886,20995.671,-22729.978,21009.739
A,-53656.616,21872.511,-33329.978,21009.739
A,-53607.886,21116.915,-22729.978,21009.739
A,-53586.616,21993.754,-38629.978,21009.739
A,-53537.886,21238.158,-28029.978,21009.739
A,-53516.616,22114.998,-38629.978,21009.739
A,-53467.886,21359.402,-28029.978,21009.739
A,-53446.616,22236.241,-43929.978,21009.739
A,-53397.886,21480.645,-33329.978,21009.739
A,-53376.616,22357.485,-43929.978,21009.739
A,-53327.886,21601.889,-33329.978,21009.739
A,-53306.616,22478.729,-49229.978,21009.739
A,-53257.886,21723.133,-38629.978,21009.739
A,-53236.616,22599.972,-49229.978,21009.739
A,-53187.886,21844.376,-38629.978,21009.739
A,-53117.886,21965.62,-43929.978,21009.739
A,-53047.886,22086.863,-43929.978,21009.739
A,-52977.886,22208.107,-49229.978,21009.739
A,-52907.886,22329.35,-49229.978,21009.739
A,-52266.616,24280.061,11720.022,25599.673
A,-52196.616,24401.305,11720.022,25599.673
A,-52126.616,24522.549,11720.022,25599.673
A,-52056.616,24643.792,6420.022,25599.673
A,-51986.616,24765.036,6420.022,25599.673
A,-51937.886,24009.44,11720.022,25599.673
A,-51916.616,24886.279,1120.022,25599.673
A,-51867.886,24130.683,11720.022,25599.673
A,-51846.616,25007.523,1120.022,25599.673
A,-51797.886,24251.927,11720.022,25599.673
A,-51776.616,25128.766,-4179.978,25599.673
A,-51727.886,24373.17,6420.022,25599.673
A,-51706.616,25250.01,-4179.978,25599.673
A,-51657.886,24494.414,6420.022,25599.673
A,-51636.616,25371.253,-9479.978,25599.673
A,-51587.886,24615.657,1120.022,25599.673
A,-51566.616,25492.497,-9479.978,25599.673
A,-51517.886,24736.901,1120.022,25599.673
A,-51496.616,25613.741,-14779.978,25599.673
A,-51447.886,24858.145,-4179.978,25599.673
A,-51426.616,25734.984,-14779.978,25599.673
A,-51377.886,24979.388,-4179.978,25599.673
A,-51356.616,25856.228,-20079.978,25599.673
A,-51307.886,25100.632,-9479.978,25599.673
A,-51286.616,25977.471,-20079.978,25599.673
A,-51237.886,25221.875,-9479.978,25599.673
A,-51216.616,26098.715,-25379.978,25599.673
A,-51167.886,25343.119,-14779.978,25599.673
A,-51146.616,26219.958,-25379.978,25599.673
A,-51097.886,25464.362,-14779.978,25599.673
A,-51076.616,26341.202,-30679.978,25599.673
A,-51027.886,25585.606,-20079.978,25599.673
A,-51006.616,26462.445,-30679.978,25599.673
A,-50957.886,25706.849,-20079.978,25599.673
A,-50936.616,26583.689,-35979.978,25599.673
A,-50887.886,25828.093,-25379.978,25599.673
A,-50866.616,26704.933,-35979.978,25599.673
A,-50817.886,25949.337,-25379.978,25599.673
A,-50796.616,26826.176,-41279.978,25599.673
A,-50747.886,26070.58,-30679.978,25599.673
A,-50726.616,26947.42,-41279.978,25599.673
A,-50677.886,26191.824,-30679.978,25599.673
A,-50656.616,27068.663,-46579.978,25599.673
A,-50607.886,26313.067,-35979.978,25599.673
A,-50586.616,27189.907,-46579.978,25599.673
A,-50537.886,26434.311,-35979.978,25599.673
A,-50467.886,26555.554,-41279.978,25599.673
A,-50397.886,26676.798,-41279.978,25599.673
A,-50327.886,26798.041,-46579.978,25599.673
A,-50257.886,26919.285,-46579.978,25599.673
A,-49616.616,28869.996,14370.022,30189.608
A,-49546.616,28991.24,14370.022,30189.608
A,-49476.616,29112.483,14370.022,30189.608
A,-49406.616,29233.727,9070.022,30189.608
A,-49336.616,29354.97,9070.022,30189.608
A,-49287.886,28599.374,14370.022,30189.608
A,-49266.616,29476.214,3770.022,30189.608
A,-49217.886,28720.618,14370.022,30189.608
A,-49196.616,29597.457,3770.022,30189.608
A,-49147.886,28841.861,14370.022,30189.608
A,-49126.616,29718.701,-1529.978,30189.608
A,-49077.886,28963.105,9070.022,30189.608
A,-49056.616,29839.945,-1529.978,30189.608
A,-49007.886,29084.348,9070.022,30189.608
A,-48986.616,29961.188,-6829.978,30189.608
A,-48937.886,29205.592,3770.022,30189.608
A,-48916.616,30082.432,-6829.978,30189.608
A,-48867.886,29326.836,3770.022,30189.608
A,-48846.616,30203.675,-12129.978,30189.608
A,-48797.886,29448.079,-1529.978,30189.608
A,-48776.616,30324.919,-12129.978,30189.608
A,-48727.886,29569.323,-1529.978,30189.608
A,-48706.616,30446.162,-17429.978,30189.608
A,-48657.886,29690.566,-6829.978,30189.608
A,-48636.616,30567.406,-17429.978,30189.608
A,-48587.886,29811.81,-6829.978,30189.608
A,-48566.616,30688.649,-22729.978,30189.608
A,-48517.886,29933.053,-12129.978,30189.608
A,-48496.616,30809.893,-22729.978,30189.608
A,-48447.886,30054.297,-12129.978,30189.608
A,-48426.616,30931.137,-28029.978,30189.608
A,-48377.886,30175.541,-17429.978,30189.608
A,-48356.616,31052.38,-28029.978,30189.608
A,-48307.886,30296.784,-17429.978,30189.608
A,-48286.616,31173.624,-33329.978,30189.608
A,-48237.886,30418.028,-22729.978,30189.608
A,-48216.616,31294.867,-33329.978,30189.608
A,-48167.886,30539.271,-22729.978,30189.608
A,-48146.616,31416.111,-38629.978,30189.608
A,-48097.886,30660.515,-28029.978,30189.608
A,-48076.616,31537.354,-38629.978,30189.608
A,-48027.886,30781.758,-28029.978,30189.608
A,-48006.616,31658.598,-43929.978,30189.608
A,-47957.886,30903.002,-33329.978,30189.608
A,-47936.616,31779.841,-43929.978,30189.608
A,-47887.886,31024.245,-33329.978,30189.608
A,-47817.886,31145.489,-38629.978,30189.608
A,-47747.886,31266.733,-38629.978,30189.608
A,-47677.886,31387.976,-43929.978,30189.608
A,-47607.886,31509.22,-43929.978,30189.608
A,-46966.616,33459.931,17020.022,34779.542
A,-46896.616,33581.174,17020.022,34779.542
A,-46826.616,33702.418,17020.022,34779.542
A,-46756.616,33823.661,11720.022,34779.542
A,-46686.616,33944.905,11720.022,34779.542
A,-46637.886,33189.309,17020.022,34779.542
A,-46616.616,34066.148,6420.022,34779.542
A,-46567.886,33310.552,17020.022,34779.542
A,-46546.616,34187.392,6420.022,34779.542
A,-46497.886,33431.796,17020.022,34779.542
A,-46476.616,34308.636,1120.022,34779.542
A,-46427.886,33553.04,11720.022,34779.542
A,-46406.616,34429.879,1120.022,34779.542
A,-46357.886,33674.283,11720.022,34779.542
A,-46336.616,34551.123,-4179.978,34779.542
A,-46287.886,33795.527,6420.022,34779.542
A,-46266.616,34672.366,-4179.978,34779.542
A,-46217.886,33916.77,6420.022,34779.542
A,-46196.616,34793.61,-9479.978,34779.542
A,-46147.886,34038.014,1120.022,34779.542
A,-46126.616,34914.853,-9479.978,34779.542
A,-46077.886,34159.257,1120.022,34779.542
A,-46056.616,35036.097,-14779.978,34779.542
A,-46007.886,34280.501,-4179.978,34779.542
A,-45986.616,35157.34,-14779.978,34779.542
A,-45937.886,34401.744,-4179.978,34779.542
A,-45916.616,35278.584,-20079.978,34779.542
A,-45867.886,34522.988,-9479.978,34779.542
A,-45846.616,35399.828,-20079.978,34779.542
A,-45797.886,34644.232,-9479.978,34779.542
A,-45776.616,35521.071,-25379.978,34779.542
A,-45727.886,34765.475,-14779.978,34779.542
A,-45706.616,35642.315,-25379.978,34779.542
A,-45657.886,34886.719,-14779.978,34779.542
A,-45636.616,35763.558,-30679.978,34779.542
A,-45587.886,35007.962,-20079.978,34779.542
A,-45566.616,35884.802,-30679.978,34779.542
A,-45517.886,35129.206,-20079.978,34779.542
A,-45496.616,36006.045,-35979.978,34779.542
A,-45447.886,35250.449,-25379.978,34779.542
A,-45426.616,36127.289,-35979.978,34779.542
A,-45377.886,35371.693,-25379.978,34779.542
A,-45356.616,36248.532,-41279.978,34779.542
A,-45307.886,35492.936,-30679.978,34779.542
A,-45286.616,36369.776,-41279.978,34779.542
A,-45237.886,35614.18,-30679.978,34779.542
A,-45167.886,35735.424,-35979.978,34779.542
A,-45097.886,35856.667,-35979.978,34779.542
A,-45027.886,35977.911,-41279.978,34779.542
A,-44957.886,36099.154,-41279.978,34779.542
A,-44316.616,38049.865,19670.022,39369.477
A,-44246.616,38171.109,19670.022,39369.477
A,-44176.616,38292.352,19670.022,39369.477
A,-44106.616,38413.596,14370.022,39369.477
A,-44036.616,38534.84,14370.022,39369.477
A,-43987.886,37779.244,19670.022,39369.477
A,-43966.616,38656.083,9070.022,39369.477
A,-43917.886,37900.487,19670.022,39369.477
A,-43896.616,38777.327,9070.022,39369.477
A,-43847.886,38021.731,19670.022,39369.477
A,-43826.616,38898.57,3770.022,39369.477
A,-43777.886,38142.974,14370.022,39369.477
A,-43756.616,39019.814,3770.022,39369.477
A,-43707.886,38264.218,14370.022,39369.477
A,-43686.616,39141.057,-1529.978,39369.477
A,-43637.886,38385.461,9070.022,39369.477
A,-43616.616,39262.301,-1529.978,39369.477
A,-43567.886,38506.705,9070.022,39369.477
A,-43546.616,39383.544,-6829.978,39369.477
A,-43497.886,38627.948,3770.022,39369.477
A,-43476.616,39504.788,-6829.978,39369.477
A,-43427.886,38749.192,3770.022,39369.477
A,-43406.616,39626.032,-12129.978,39369.477
A,-43357.886,38870.436,-1529.978,39369.477
A,-43336.616,39747.275,-12129.978,39369.477
A,-43287.886,38991.679,-1529.978,39369.477
A,-43266.616,39868.519,-17429.978,39369.477
A,-43217.886,39112.923,-6829.978,39369.477
A,-43196.616,39989.762,-17429.978,39369.477
A,-43147.886,39234.166,-6829.978,39369.477
A,-43126.616,40111.006,-22729.978,39369.477
A,-43077.886,39355.41,-12129.978,39369.477
A,-43056.616,40232.249,-22729.978,39369.477
A,-43007.886,39476.653,-12129.978,39369.477
A,-42986.616,40353.493,-28029.978,39369.477
A,-42937.886,39597.897,-17429.978,39369.477
A,-42916.616,40474.736,-28029.978,39369.477
A,-42867.886,39719.14,-17429.978,39369.477
A,-42846.616,40595.98,-33329.978,39369.477
A,-42797.886,39840.384,-22729.978,39369.477
A,-42776.616,40717.224,-33329.978,39369.477
A,-42727.886,39961.628,-22729.978,39369.477
A,-42706.616,40838.467,-38629.978,39369.477
A,-42657.886,40082.871,-28029.978,39369.477
A,-42636.616,40959.711,-38629.978,39369.477
A,-42587.886,40204.115,-28029.978,39369.477
A,-42517.886,40325.358,-33329.978,39369.477
A,-42447.886,40446.602,-33329.978,39369.477
A,-42377.886,40567.845,-38629.978,39369.477
A,-42307.886,40689.089,-38629.978,39369.477
A,-41666.616,42639.8,22320.022,43959.412
A,-41596.616,42761.044,22320.022,43959.412
A,-41526.616,42882.287,22320.022,43959.412
A,-41456.616,43003.531,17020.022,43959.412
A,-41386.616,43124.774,17020.022,43959.412
A,-41337.886,42369.178,22320.022,43959.412
A,-41316.616,43246.018,11720.022,43959.412
A,-41267.886,42490.422,22320.022,43959.412
A,-41246.616,43367.261,11720.022,43959.412
A,-41197.886,42611.665,22320.022,43959.412
A,-41176.616,43488.505,6420.022,43959.412
A,-41127.886,42732.909,17020.022,43959.412
A,-41106.616,43609.748,6420.022,43959.412
A,-41057.886,42854.152,17020.022,43959.412
A,-41036.616,43730.992,1120.022,43959.412
A,-40987.886,42975.396,11720.022,43959.412
A,-40966.616,43852.236,1120.022,43959.412
A,-40917.886,43096.64,11720.022,43959.412
A,-40896.616,43973.479,-4179.978,43959.412
A,-40847.886,43217.883,6420.022,43959.412
A,-40826.616,44094.723,-4179.978,43959.412
A,-40777.886,43339.127,6420.022,43959.412
A,-40756.616,44215.966,-9479.978,43959.412
A,-40707.886,43460.37,1120.022,43959.412
A,-40686.616,44337.21,-9479.978,43959.412
A,-40637.886,43581.614,1120.022,43959.412
A,-40616.616,44458.453,-14779.978,43959.412
A,-40567.886,43702.857,-4179.978,43959.412
A,-40546.616,44579.697,-14779.978,43959.412
A,-40497.886,43824.101,-4179.978,43959.412
A,-40476.616,44700.94,-20079.978,43959.412
A,-40427.886,43945.344,-9479.978,43959.412
A,-40406.616,44822.184,-20079.978,43959.412
A,-40357.886,44066.588,-9479.978,43959.412
A,-40336.616,44943.428,-25379.978,43959.412
A,-40287.886,44187.832,-14779.978,43959.412
A,-40266.616,45064.671,-25379.978,43959.412
A,-40217.886,44309.075,-14779.978,43959.412
A,-40196.616,45185.915,-30679.978,43959.412
A,-40147.886,44430.319,-20079.978,43959.412
A,-40126.616,45307.158,-30679.978,43959.412
A,-40077.886,44551.562,-20079.978,43959.412
A,-40056.616,45428.402,-35979.978,43959.412
A,-40007.886,44672.806,-25379.978,43959.412
A,-39986.616,45549.645,-35979.978,43959.412
A,-39937.886,44794.049,-25379.978,43959.412
A,-39867.886,44915.293,-30679.978,43959.412
A,-39797.886,45036.536,-30679.978,43959.412
A,-39727.886,45157.78,-35979.978,43959.412
A,-39657.886,45279.024,-35979.978,43959.412
A,-39016.616,47229.735,24970.022,48549.346
A,-38946.616,47350.978,24970.022,48549.346
A,-38876.616,47472.222,24970.022,48549.346
A,-38806.616,47593.465,19670.022,48549.346
A,-38736.616,47714.709,19670.022,48549.346
A,-38687.886,46959.113,24970.022,48549.346
A,-38666.616,47835.952,14370.022,48549.346
A,-38617.886,47080.356,24970.022,48549.346
A,-38596.616,47957.196,14370.022,48549.346
A,-38547.886,47201.6,24970.022,48549.346
A,-38526.616,48078.44,9070.022,48549.346
A,-38477.886,47322.844,19670.022,48549.346
A,-38456.616,48199.683,9070.022,48549.346
A,-38407.886,47444.087,19670.022,48549.346
A,-38386.616,48320.927,3770.022,48549.346
A,-38337.886,47565.331,14370.022,48549.346
A,-38316.616,48442.17,3770.022,48549.346
A,-38267.886,47686.574,14370.022,48549.346
A,-38246.616,48563.414,-1529.978,48549.346
A,-38197.886,47807.818,9070.022,48549.346
A,-38176.616,48684.657,-1529.978,48549.346
A,-38127.886,47929.061,9070.022,48549.346
A,-38106.616,48805.901,-6829.978,48549.346
A,-38057.886,48050.305,3770.022,48549.346
A,-38036.616,48927.144,-6829.978,48549.346
A,-37987.886,48171.548,3770.022,48549.346
A,-37966.616,49048.388,-12129.978,48549.346
A,-37917.886,48292.792,-1529.978,48549.346
A,-37896.616,49169.632,-12129.978,48549.346
A,-37847.886,48414.036,-1529.978,48549.346
A,-37826.616,49290.875,-17429.978,48549.346
A,-37777.886,48535.279,-6829.978,48549.346
A,-37756.616,49412.119,-17429.978,48549.346
A,-37707.886,48656.523,-6829.978,48549.346
A,-37686.616,49533.362,-22729.978,48549.346
A,-37637.886,48777.766,-12129.978,48549.346
A,-37616.616,49654.606,-22729.978,48549.346
A,-37567.886,48899.01,-12129.978,48549.346
A,-37546.616,49775.849,-28029.978,48549.346
A,-37497.886,49020.253,-17429.978,48549.346
A,-37476.616,49897.093,-28029.978,48549.346
A,-37427.886,49141.497,-17429.978,48549.346
A,-37406.616,50018.336,-33329.978,48549.346
A,-37357.886,49262.74,-22729.978,48549.346
A,-37336.616,50139.58,-33329.978,48549.346
A,-37287.886,49383.984,-22729.978,48549.346
A,-37217.886,49505.228,-28029.978,48549.346
A,-37147.886,49626.471,-28029.978,48549.346
A,-37077.886,49747.715,-33329.978,48549.346
A,-37007.886,49868.958,-33329.978,48549.346
A,-36366.616,51819.669,27620.022,53139.281
A,-36296.616,51940.913,27620.022,53139.281
A,-36226.616,52062.156,27620.022,53139.281
A,-36156.616,52183.4,22320.022,53139.281
A,-36086.616,52304.643,22320.022,53139.281
A,-36037.886,51549.047,27620.022,53139.281
A,-36016.616,52425.887,17020.022,53139.281
A,-35967.886,51670.291,27620.022,53139.281
A,-35946.616,52547.131,17020.022,53139.281
A,-35897.886,51791.535,27620.022,53139.281
A,-35876.616,52668.374,11720.022,53139.281
A,-35827.886,51912.778,22320.022,53139.281
A,-35806.616,52789.618,11720.022,53139.281
A,-35757.886,52034.022,22320.022,53139.281
A,-35736.616,52910.861,6420.022,53139.281
