in s,C1 in V,C4 in V
-3.56000E-08,5.37109E-01,-1.22635E+00
-3.54000E-08,3.41797E-01,-1.22635E+00
-3.52000E-08,3.41797E-01,-1.21658E+00
-3.50000E-08,3.41797E-01,-1.21658E+00
-3.48000E-08,4.39453E-01,-1.22635E+00
-3.46000E-08,6.34766E-01,-1.22635E+00
-3.44000E-08,9.27734E-01,-1.21170E+00
-3.42000E-08,1.02539E+00,-1.20193E+00
-3.40000E-08,8.30078E-01,-1.20682E+00
-3.38000E-08,5.37109E-01,-1.22146E+00
-3.36000E-08,4.39453E-01,-1.22146E+00
-3.34000E-08,5.37109E-01,-1.21658E+00
-3.32000E-08,5.37109E-01,-1.21170E+00
-3.30000E-08,4.39453E-01,-1.21658E+00
-3.28000E-08,4.39453E-01,-1.21658E+00
-3.26000E-08,6.34766E-01,-1.22146E+00
-3.24000E-08,8.30078E-01,-1.23123E+00
-3.22000E-08,8.30078E-01,-1.23611E+00
-3.20000E-08,7.32422E-01,-1.23123E+00
-3.18000E-08,7.32422E-01,-1.22635E+00
-3.16000E-08,7.32422E-01,-1.22635E+00
-3.14000E-08,5.37109E-01,-1.22635E+00
-3.12000E-08,3.41797E-01,-1.22635E+00
-3.10000E-08,3.41797E-01,-1.22635E+00
-3.08000E-08,5.37109E-01,-1.23123E+00
-3.06000E-08,6.34766E-01,-1.23611E+00
-3.04000E-08,6.34766E-01,-1.24100E+00
-3.02000E-08,5.37109E-01,-1.23611E+00
-3.00000E-08,5.37109E-01,-1.23123E+00
-2.98000E-08,6.34766E-01,-1.22635E+00
-2.96000E-08,5.37109E-01,-1.22146E+00
-2.94000E-08,3.41797E-01,-1.22146E+00
-2.92000E-08,2.44141E-01,-1.22146E+00
-2.90000E-08,3.41797E-01,-1.22146E+00
-2.88000E-08,5.37109E-01,-1.22146E+00
-2.86000E-08,6.34766E-01,-1.22146E+00
-2.84000E-08,6.34766E-01,-1.22635E+00
-2.82000E-08,5.37109E-01,-1.23123E+00
-2.80000E-08,3.41797E-01,-1.23611E+00
-2.78000E-08,2.44141E-01,-1.23611E+00
-2.76000E-08,4.39453E-01,-1.23611E+00
-2.74000E-08,6.34766E-01,-1.23123E+00
-2.72000E-08,7.32422E-01,-1.22635E+00
-2.70000E-08,5.37109E-01,-1.21658E+00
-2.68000E-08,4.39453E-01,-1.21170E+00
-2.66000E-08,4.39453E-01,-1.21658E+00
-2.64000E-08,5.37109E-01,-1.23123E+00
-2.62000E-08,5.37109E-01,-1.23123E+00
-2.60000E-08,4.39453E-01,-1.21658E+00
-2.58000E-08,5.37109E-01,-1.20682E+00
-2.56000E-08,7.32422E-01,-1.21658E+00
-2.54000E-08,9.27734E-01,-1.23123E+00
-2.52000E-08,9.27734E-01,-1.23611E+00
-2.50000E-08,7.32422E-01,-1.23123E+00
-2.48000E-08,6.34766E-01,-1.23123E+00
-2.46000E-08,7.32422E-01,-1.24100E+00
-2.44000E-08,7.32422E-01,-1.24588E+00
-2.42000E-08,5.37109E-01,-1.23611E+00
-2.40000E-08,2.44141E-01,-1.23123E+00
-2.38000E-08,2.44141E-01,-1.23123E+00
-2.36000E-08,4.39453E-01,-1.23611E+00
-2.34000E-08,6.34766E-01,-1.23611E+00
-2.32000E-08,6.34766E-01,-1.22635E+00
-2.30000E-08,6.34766E-01,-1.21658E+00
-2.28000E-08,6.34766E-01,-1.21658E+00
-2.26000E-08,5.37109E-01,-1.22146E+00
-2.24000E-08,2.44141E-01,-1.22635E+00
-2.22000E-08,1.46484E-01,-1.22635E+00
-2.20000E-08,3.41797E-01,-1.21658E+00
-2.18000E-08,6.34766E-01,-1.21658E+00
-2.16000E-08,6.34766E-01,-1.22635E+00
-2.14000E-08,5.37109E-01,-1.23611E+00
-2.12000E-08,4.39453E-01,-1.24100E+00
-2.10000E-08,5.37109E-01,-1.24100E+00
-2.08000E-08,5.37109E-01,-1.23611E+00
-2.06000E-08,5.37109E-01,-1.22635E+00
-2.04000E-08,6.34766E-01,-1.21658E+00
-2.02000E-08,7.32422E-01,-1.21658E+00
-2.00000E-08,8.30078E-01,-1.22146E+00
-1.98000E-08,7.32422E-01,-1.22635E+00
-1.96000E-08,6.34766E-01,-1.22146E+00
-1.94000E-08,5.37109E-01,-1.22146E+00
-1.92000E-08,5.37109E-01,-1.23123E+00
-1.90000E-08,5.37109E-01,-1.23611E+00
-1.88000E-08,5.37109E-01,-1.23123E+00
-1.86000E-08,4.39453E-01,-1.22635E+00
-1.84000E-08,3.41797E-01,-1.23123E+00
